年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,100.0,48.0,78.0,110.0,12.0,31.0,0.98,152.0
2014-01,65.0,25.0,45.0,60.5,3.0,14.5,0.78,84.0
2014-02,33.5,5.0,16.5,29.0,1.0,12.0,0.845,47.0
2014-03,39.5,3.5,18.0,35.0,1.0,12.0,0.625,51.0
2014-04,32.0,2.5,17.0,30.0,1.0,9.0,0.53,36.5
2014-05,27.0,4.0,12.0,22.0,1.0,10.0,0.51,48.0
2014-06,29.0,5.0,10.0,23.0,1.0,15.0,0.52,41.0
2014-07,26.0,5.0,9.0,23.0,2.0,14.0,0.52,31.0
2014-08,26.0,5.0,8.0,24.0,2.0,14.0,0.52,33.0
2014-09,29.0,6.5,9.5,26.5,2.0,17.0,0.55,28.0
2014-10,44.0,12.0,24.0,42.0,2.0,14.0,0.54,64.0
2014-11,34.5,8.0,13.0,32.0,1.0,12.0,0.55,63.5
2014-12,44.0,6.0,20.0,40.0,2.0,14.0,0.68,74.0
2015-01,52.0,43.0,24.0,48.0,2.0,21.0,0.63,85.0
2015-02,44.0,29.0,25.5,40.0,1.0,10.0,0.65,77.0
2015-03,33.0,10.0,16.0,30.0,2.0,9.0,0.55,54.0
2015-04,34.5,8.0,13.0,28.0,2.0,12.0,0.595,58.0
2015-05,30.0,12.0,13.0,26.0,2.0,8.0,0.6,56.0
2015-06,24.0,8.5,9.0,22.0,3.0,10.5,0.49,34.5
2015-07,30.0,26.0,10.0,24.0,4.0,16.0,0.58,49.0
2015-08,26.0,14.0,10.0,22.0,2.0,12.0,0.56,34.0
2015-09,27.0,18.0,11.0,23.5,3.0,13.5,0.6799999999999999,36.0
2015-10,34.0,34.0,14.0,31.0,2.0,18.0,0.75,57.0
2015-11,26.0,20.0,10.5,24.0,2.5,8.0,0.58,41.0
2015-12,35.0,33.0,13.0,26.0,2.0,12.0,0.71,64.0
2016-01,37.0,21.0,16.0,27.0,3.0,14.0,0.79,53.0
2016-02,38.0,30.0,19.0,30.0,3.0,11.0,0.74,72.0
2016-03,31.0,11.0,14.0,27.0,3.0,13.0,0.6,51.0
2016-04,33.5,6.0,13.5,30.5,2.0,9.0,0.635,40.5
2016-05,27.0,3.0,11.0,22.0,2.0,8.0,0.61,36.0
2016-06,27.0,12.5,7.0,19.0,3.0,10.5,0.58,53.0
2016-07,24.0,14.0,8.0,21.0,3.0,9.0,0.56,33.0
2016-08,28.0,19.0,9.0,25.0,2.0,13.0,0.51,38.0
2016-09,29.0,21.0,8.0,23.5,3.0,12.5,0.58,35.5
2016-10,32.0,41.0,12.0,27.0,2.0,13.0,0.61,41.0
2016-11,33.5,17.5,10.0,24.5,1.0,11.0,0.6,53.0
2016-12,42.0,29.0,17.0,35.0,1.0,11.0,0.66,79.0
2017-01,38.0,21.0,16.0,31.0,2.0,9.0,0.56,67.0
2017-02,37.0,13.5,12.5,27.5,1.0,8.5,0.585,68.5
2017-03,38.0,30.0,19.0,36.0,2.0,9.0,0.56,56.0
2017-04,34.0,11.0,13.5,27.0,1.0,10.0,0.545,57.0
2017-05,25.0,3.0,11.0,22.0,1.0,10.0,0.53,39.0
2017-06,27.0,15.0,8.0,18.5,1.0,9.0,0.49,42.0
2017-07,24.0,12.0,8.0,18.0,2.0,10.0,0.5,31.0
2017-08,22.0,9.0,8.0,18.0,2.0,10.0,0.47,32.0
2017-09,25.0,13.0,10.5,22.0,2.0,12.5,0.505,27.5
2017-10,34.5,73.5,15.5,27.5,2.0,12.0,0.645,62.0
2017-11,31.5,15.5,13.5,26.5,2.0,10.0,0.625,54.5
2017-12,47.0,35.0,21.0,38.0,2.0,11.0,0.66,79.0
2018-01,34.0,17.0,15.0,30.0,1.0,12.0,0.59,59.0
2018-02,41.5,22.0,25.0,37.0,2.0,9.5,0.665,60.5
2018-03,35.0,12.0,17.0,31.0,2.0,9.0,0.55,66.0
2018-04,30.0,2.5,13.0,25.0,1.0,9.0,0.585,50.5
2018-05,23.0,2.0,11.0,19.0,2.0,8.0,0.54,33.0
2018-06,27.5,16.5,10.0,22.0,3.0,11.0,0.56,40.0
2018-07,27.0,27.0,9.0,21.0,3.0,12.0,0.59,44.0
2018-08,30.0,33.0,11.0,26.0,4.0,11.0,0.52,43.0
2018-09,26.0,32.0,10.0,22.0,4.0,11.0,0.5,38.0
2018-10,44.0,77.0,16.0,34.0,2.0,9.0,0.58,80.0
2018-11,30.0,28.0,12.5,26.5,3.0,9.0,0.53,50.0
2018-12,31.0,28.0,13.0,25.0,3.0,9.0,0.57,56.0
2019-01,37.0,35.0,12.0,22.0,4.0,7.0,0.59,70.0
2019-02,26.5,27.0,11.0,23.0,3.5,5.0,0.42,45.5
2019-03,30.0,18.0,14.0,26.0,2.0,7.0,0.53,49.0
2019-04,24.5,5.0,10.0,20.0,2.0,6.0,0.43,40.0
2019-05,35.0,28.0,12.0,26.0,2.0,7.0,0.48,65.0
2019-06,23.0,26.0,8.0,19.0,2.0,8.0,0.45,44.0
2019-07,24.0,34.5,8.5,21.5,3.0,9.0,0.41,46.0
2019-08,19.5,12.0,6.0,16.5,2.0,9.0,0.46499999999999997,33.0
2019-09,24.0,43.5,12.5,22.5,4.0,9.0,0.475,39.5
2019-10,30.0,60.0,13.0,28.0,4.0,7.0,0.57,64.0
2019-11,41.0,68.5,18.5,42.0,4.0,9.5,0.495,90.5
2019-12,29.0,28.0,12.0,29.0,4.0,12.0,0.54,70.0
2020-01,27.0,22.0,9.0,26.0,4.0,5.0,0.5,67.0
2020-02,24.0,29.0,12.0,23.0,4.0,4.0,0.4,70.0
2020-03,20.0,10.0,9.0,20.0,4.0,7.0,0.4,43.0
2020-04,24.0,20.0,11.0,22.0,2.0,8.0,0.43,59.5
2020-05,19.0,7.0,9.0,18.0,3.0,7.0,0.4,38.0
2020-06,19.0,26.5,6.5,17.0,2.5,5.0,0.38,46.0
2020-07,18.0,21.0,7.0,17.0,3.0,6.0,0.36,38.0
2020-08,18.0,26.0,6.0,16.0,3.0,10.0,0.4,29.0
