年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,87,25,28,104,43,58,1.93,24
2014-01,358,179,314,365,194,94,4.42,56
2014-02,370,188,323,378,216,72,4.45,59
2014-03,262,188,143,354,114,59,2.16,101
2014-04,184,190,287,294,85,55,2.4,106
2014-05,158,181,115,238,53,43,1.54,131
2014-06,208,190,160,210,65,39,1.64,165
2014-07,144,174,94,143,49,30,1.41,172
2014-08,149,184,105,166,43,35,1.26,148
2014-09,130,181,96,166,38,32,1.42,70
2014-10,192,174,151,212,66,49,2.08,74
2014-11,300,183,250,331,96,75,3.07,44
2014-12,218,181,169,189,161,93,3.32,53
2015-01,348,362,292,414,219,107,3.57,58
2015-02,219,355,169,271,128,79,1.93,75
2015-03,241,360,195,305,106,67,1.95,89
2015-04,171,360,123,287,64,65,1.52,112
2015-05,173,352,131,172,58,44,1.48,139
2015-06,117,345,84,174,47,50,1.4,119
2015-07,156,363,118,159,38,44,1.3,128
2015-08,154,358,94,255,42,49,1.28,119
2015-09,91,341,66,112,45,42,1.4,100
2015-10,214,363,164,207,69,78,2.24,112
2015-11,185,356,142,224,72,74,3.22,74
2015-12,397,364,355,441,113,99,4.47,51
2016-01,398,364,385,520,115,96,4.56,60
2016-02,265,361,214,300,74,63,3.25,105
2016-03,462,362,156,661,81,64,2.88,125
2016-04,157,359,92,247,51,59,2.43,126
2016-05,159,358,85,220,53,47,1.56,177
2016-06,130,362,59,108,36,43,1.54,182
2016-07,120,356,90,123,25,35,1.15,159
2016-08,101,361,74,111,33,53,1.42,137
2016-09,156,362,117,164,34,53,1.43,134
2016-10,127,335,95,134,39,54,1.3,95
2016-11,279,358,153,382,49,73,2.16,58
2016-12,365,360,320,377,54,82,3.28,60
2017-01,377,358,305,438,69,83,3.63,64
2017-02,250,360,203,272,57,72,2.64,84
2017-03,198,363,149,190,55,89,1.74,94
2017-04,340,361,115,439,36,56,1.38,103
2017-05,453,361,196,668,31,55,1.32,155
2017-06,125,359,83,127,23,42,1.16,177
2017-07,144,365,99,150,17,38,1.43,181
2017-08,120,361,79,114,25,36,1.3,165
2017-09,107,350,64,135,29,46,1.29,113
2017-10,124,337,93,133,26,55,1.3,61
2017-11,222,362,173,213,36,82,1.79,64
2017-12,276,360,225,294,44,79,2.11,60
2018-01,341,366,290,344,46,83,2.86,77
2018-02,306,357,194,445,44,59,2.34,86
2018-03,282,361,231,290,25,65,1.63,116
2018-04,239,359,104,363,23,57,1.1,131
2018-05,174,355,80,293,21,57,1.11,146
2018-06,111,353,51,119,14,49,1.78,168
2018-07,113,361,68,116,13,32,1.08,160
2018-08,120,361,59,100,12,28,1.22,190
2018-09,83,348,47,113,15,43,1.05,126
2018-10,153,362,116,124,19,58,1.07,90
2018-11,428,366,170,544,23,68,1.67,102
2018-12,287,361,236,387,35,77,2.07,42
2019-01,350,363,301,341,33,98,2.7,48
2019-02,221,360,172,183,24,45,1.64,100
2019-03,169,361,128,167,16,57,1.39,84
2019-04,158,359,118,234,21,62,1.56,132
2019-05,351,357,120,476,13,52,0.95,141
2019-06,93,352,37,107,14,42,0.79,163
2019-07,77,338,45,88,7,38,0.95,142
2019-08,85,362,62,108,9,25,1.22,141
2019-09,76,323,51,91,11,43,1.07,159
2019-10,179,354,105,260,11,52,1.31,124
2019-11,191,364,145,166,17,66,1.21,74
2019-12,241,360,191,212,20,72,2.03,52
2020-01,294,361,244,228,19,69,2.23,77
2020-02,179,362,137,146,13,35,1.36,86
2020-03,141,362,107,170,13,55,1.04,115
2020-04,113,358,79,145,12,53,1.11,128
2020-05,96,346,43,142,9,54,0.77,131
2020-06,101,361,45,140,9,46,0.98,172
2020-07,87,358,42,84,7,33,0.85,165
2020-08,62,342,38,69,8,34,1.13,126
2020-09,87,361,64,105,11,43,1.04,130
2020-10,112,351,83,173,14,63,1.15,65
2020-11,194,365,147,163,17,66,1.46,103
2020-12,206,351,156,188,16,69,1.69,63
2021-01,265,357,215,246,24,76,2.14,87
2021-02,176,352,134,136,16,51,1.24,93
2021-03,500,366,200,871,11,45,0.98,109
2021-04,325,348,104,436,10,39,0.92,111
2021-05,236,363,98,371,11,42,0.98,155
2021-06,84,350,42,91,11,39,0.86,179
2021-07,66,350,27,59,7,23,0.74,133
2021-08,77,355,42,69,8,34,0.99,143
2021-09,66,347,39,78,9,32,1.02,122
2021-10,107,356,80,113,11,47,1.19,111
2021-11,176,362,133,175,19,68,1.19,80
2021-12,202,338,153,173,20,67,1.46,51
2022-01,229,323,181,198,17,58,1.63,60
2022-02,151,334,115,142,11,37,1.0,85
2022-03,307,336,124,418,13,55,1.12,134
