年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,48,5,30,50,12,26,0.57,52
2013-11,43,6,21,40,14,28,0.57,19
2013-12,22,4,12,12,16,28,0.55,13
2014-01,30,1,18,28,13,24,0.55,15
2014-02,25,1,7,7,9,13,0.44,25
2014-03,37,7,20,29,8,27,0.45,21
2014-04,41,11,16,21,7,22,0.37,15
2014-05,45,37,22,37,6,19,0.47,53
2014-06,36,6,16,21,6,17,0.52,53
2014-07,33,7,14,32,5,10,0.45,33
2014-08,26,12,12,22,8,14,0.47,41
2014-09,27,14,12,17,8,15,0.54,32
2014-10,42,6,15,39,9,16,0.55,16
2014-11,40,6,21,33,10,31,0.55,20
2014-12,39,5,24,38,17,34,0.59,10
2015-01,25,14,12,17,9,27,0.56,19
2015-02,31,11,14,17,8,13,0.53,27
2015-03,37,26,14,22,9,23,0.51,27
2015-04,45,85,19,22,8,26,0.44,37
2015-05,44,85,19,26,7,20,0.54,27
2015-06,40,102,11,11,6,19,0.49,36
2015-07,28,26,6,8,7,4,0.4,48
2015-08,28,33,9,17,6,9,0.5,27
2015-09,36,31,10,23,7,17,0.48,50
2015-10,43,58,16,30,9,22,0.59,51
2015-11,37,63,19,14,8,24,0.57,10
2015-12,49,56,32,44,13,31,0.68,9
2016-01,27,19,17,20,10,18,0.58,17
2016-02,41,39,20,27,9,19,0.59,33
2016-03,38,33,15,14,9,17,0.38,28
2016-04,48,84,22,35,8,23,0.41,27
2016-05,46,90,14,15,6,23,0.48,29
2016-06,28,46,16,19,6,18,0.49,19
2016-07,25,28,9,24,6,10,0.45,31
2016-08,23,5,8,19,7,12,0.5,34
2016-09,21,20,7,10,8,15,0.46,24
2016-10,28,40,5,9,8,18,0.44,31
2016-11,31,5,9,15,8,19,0.45,15
2016-12,29,1,14,17,10,26,0.54,15
2017-01,30,8,10,15,9,12,0.47,9
2017-02,27,5,12,17,8,18,0.48,13
2017-03,40,35,16,26,7,27,0.52,41
2017-04,43,111,20,32,6,23,0.56,28
2017-05,39,29,13,22,6,15,0.41,44
2017-06,43,99,11,14,5,18,0.41,30
2017-07,30,17,15,28,5,9,0.46,42
2017-08,25,13,9,24,5,12,0.51,33
2017-09,26,32,9,14,5,16,0.55,34
2017-10,30,28,6,13,6,15,0.46,45
2017-11,34,16,9,14,7,17,0.5,17
2017-12,31,12,18,27,7,32,0.65,19
2018-01,28,17,8,9,6,22,0.47,16
2018-02,41,6,15,23,8,24,0.49,39
2018-03,38,7,17,24,7,22,0.41,30
2018-04,43,40,18,28,7,26,0.47,49
2018-05,44,96,12,25,5,22,0.41,52
2018-06,33,46,12,17,6,14,0.41,49
2018-07,21,4,8,18,5,10,0.36,26
2018-08,26,9,7,19,3,11,0.41,26
2018-09,21,20,7,18,4,17,0.41,14
2018-10,33,40,11,17,5,15,0.39,44
2018-11,26,22,11,9,4,23,0.43,26
2018-12,26,17,6,13,4,23,0.38,11
2019-01,26,13,12,16,4,20,0.43,13
2019-02,30,54,10,14,4,12,0.39,21
2019-03,39,24,14,29,4,20,0.47,28
2019-04,29,14,15,12,4,27,0.48,33
2019-05,32,22,11,22,4,16,0.41,45
2019-06,29,39,13,9,3,16,0.4,45
2019-07,17,19,8,10,3,19,0.31,22
2019-08,22,25,7,15,3,5,0.4,18
2019-09,14,6,7,9,4,17,0.5,13
2019-10,18,8,9,14,5,17,0.4,26
2019-11,25,20,12,19,5,26,0.42,20
2019-12,25,18,13,17,5,27,0.38,9
2020-01,20,11,10,9,4,18,0.42,11
2020-02,19,17,12,6,4,14,0.33,35
2020-03,25,42,8,8,4,17,0.35,35
2020-04,36,36,12,28,5,17,0.37,53
2020-05,28,59,10,14,5,18,0.5,42
2020-06,20,28,10,11,4,19,0.52,41
2020-07,23,43,9,12,4,17,0.37,24
2020-08,22,58,8,20,4,13,0.36,33
2020-09,26,53,10,17,4,16,0.43,30
2020-10,24,23,9,17,5,18,0.47,25
2020-11,20,22,10,11,4,24,0.43,13
2020-12,24,23,14,18,4,23,0.42,8
2021-01,32,22,13,25,4,21,0.44,11
2021-02,23,11,10,16,4,14,0.37,12
2021-03,30,22,13,17,4,23,0.43,27
2021-04,28,26,11,24,3,20,0.38,26
2021-05,28,51,11,16,4,17,0.45,49
2021-06,19,21,9,14,4,17,0.41,36
2021-07,15,22,4,9,4,4,0.35,28
2021-08,18,37,6,11,4,12,0.4,26
2021-09,10,10,2,8,4,8,0.44,27
2021-10,19,30,6,16,4,12,0.43,29
2021-11,26,38,8,16,4,23,0.48,21
2021-12,24,26,12,24,4,18,0.49,8
2022-01,23,13,12,10,4,18,0.56,24
2022-02,21,27,6,8,4,14,0.48,54
2022-03,19,3,7,8,4,14,0.42,43
