年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,155,335,117,157,182,68,1.23,68
2015-02,106,283,79,113,64,48,0.96,99
2015-03,73,130,53,79,129,43,1.04,86
2015-04,113,308,84,125,113,51,1.91,107
2015-05,120,312,90,118,88,42,2.09,123
2015-06,80,266,58,77,88,33,0.85,73
2015-07,97,312,71,90,76,21,1.39,105
2015-08,95,317,71,108,99,28,0.81,94
2015-09,89,291,65,95,54,28,0.69,103
2015-10,113,307,84,124,86,44,1.07,88
2015-11,93,283,69,102,41,51,1.4,46
2015-12,99,273,70,121,54,59,1.12,43
2016-01,126,246,91,178,104,74,1.16,59
2016-02,264,332,219,327,69,46,1.36,91
2016-03,92,269,63,132,83,71,0.92,108
2016-04,86,314,63,87,66,51,0.69,117
2016-05,94,329,54,79,54,38,0.75,118
2016-06,76,277,52,75,48,28,0.95,94
2016-07,69,283,46,67,58,23,0.88,102
2016-08,77,331,56,89,108,22,1.69,105
2016-09,103,323,66,108,77,38,1.23,125
2016-10,80,330,55,100,41,47,1.08,105
2016-11,108,287,79,157,55,48,1.39,65
2016-12,155,300,117,210,89,62,1.62,86
2017-01,218,289,173,257,129,77,1.82,78
2017-02,102,260,73,127,54,62,1.56,103
2017-03,118,337,88,143,65,61,1.24,90
2017-04,94,294,66,132,77,55,1.23,113
2017-05,114,352,66,106,82,36,1.08,134
2017-06,64,207,44,64,33,24,1.18,80
2017-07,93,328,60,93,60,21,1.2,109
2017-08,65,333,45,74,81,23,1.81,68
2017-09,109,354,82,122,63,32,1.3,100
2017-10,101,348,74,110,67,43,1.2,105
2017-11,115,290,86,132,90,65,1.32,107
2017-12,120,343,90,152,190,77,1.45,58
2018-01,123,315,93,167,115,62,1.59,48
2018-02,186,347,141,198,45,40,1.27,60
2018-03,84,209,54,117,64,59,1.23,68
2018-04,93,295,62,133,53,34,1.28,75
2018-05,88,280,45,82,52,26,1.57,144
2018-06,88,288,52,77,28,22,1.11,143
2018-07,68,292,33,63,56,21,0.84,92
2018-08,89,318,46,71,37,15,0.97,135
2018-09,75,358,42,77,31,19,1.23,128
2018-10,85,333,61,99,39,33,0.98,126
2018-11,81,284,58,107,44,49,1.15,96
2018-12,89,215,60,126,59,61,1.44,40
2019-01,127,327,95,155,38,56,2.14,65
2019-02,121,202,90,121,18,31,1.6,66
2019-03,88,320,64,106,22,33,0.92,84
2019-04,74,310,44,87,31,32,0.69,90
2019-05,85,327,54,110,34,26,0.67,101
2019-06,65,313,42,73,61,22,0.71,88
2019-07,56,308,37,61,26,18,0.52,92
2019-08,60,270,39,66,24,18,0.64,99
2019-09,87,343,52,93,26,36,0.76,160
2019-10,100,353,61,151,62,41,1.12,108
2019-11,93,334,62,136,40,58,1.0,83
2019-12,111,310,83,146,122,62,1.41,72
2020-01,77,196,52,103,31,55,1.1,69
2020-02,69,286,49,78,16,25,0.93,86
2020-03,70,273,47,89,37,42,0.9,72
2020-04,78,301,57,101,32,47,0.84,132
2020-05,64,298,43,78,26,25,0.87,127
2020-06,67,346,47,77,13,25,1.15,82
2020-07,53,294,34,55,20,19,0.67,82
2020-08,56,342,36,62,22,20,0.79,100
2020-09,67,324,47,74,29,29,0.9,117
2020-10,82,339,56,101,26,43,0.87,112
2020-11,86,311,49,122,66,50,1.09,87
2020-12,92,290,68,117,65,66,1.35,64
2021-01,117,276,84,168,64,55,1.3,57
2021-02,102,345,76,108,55,37,1.05,74
2021-03,74,250,46,97,31,37,0.97,80
2021-04,115,362,53,180,36,36,0.92,109
2021-05,74,328,36,77,45,26,0.95,120
2021-06,57,317,36,59,61,26,0.92,109
2021-07,51,320,32,58,37,16,0.71,70
2021-08,50,281,31,52,25,15,0.71,110
2021-09,63,337,38,65,29,23,0.63,119
2021-10,82,302,60,96,18,35,0.91,88
2021-11,77,290,56,89,29,36,0.89,80
2021-12,110,344,81,142,46,50,1.05,90
2022-01,110,296,83,122,36,60,1.05,57
2022-02,97,277,72,89,42,28,0.82,81
2022-03,69,200,48,86,27,32,0.92,95
