年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,33,6,22,28,20,23,0.67,10
2015-02,19,2,9,11,3,10,0.63,10
2015-03,22,1,14,17,12,16,0.65,14
2015-04,23,3,13,17,7,15,0.7,14
2015-05,41,57,25,33,19,12,0.31,27
2015-06,27,11,18,22,13,12,0.3,24
2015-07,26,27,12,14,6,7,0.29,36
2015-08,28,33,19,23,10,8,0.31,35
2015-09,32,13,17,30,14,12,0.31,20
2015-10,35,54,21,31,5,18,0.32,15
2015-11,28,27,14,27,8,20,0.48,10
2015-12,24,14,13,20,13,28,0.55,9
2016-01,29,22,18,26,12,20,0.53,10
2016-02,33,56,22,31,6,10,0.47,33
2016-03,34,60,15,22,18,15,0.54,15
2016-04,35,21,21,26,14,14,0.4,24
2016-05,29,10,15,22,12,11,0.41,21
2016-06,19,3,10,18,6,13,0.51,14
2016-07,30,47,15,29,7,12,0.64,25
2016-08,33,48,14,28,4,8,0.59,39
2016-09,19,14,8,17,6,13,0.65,19
2016-10,25,23,11,24,2,15,0.63,15
2016-11,18,22,8,17,2,18,0.79,9
2016-12,36,49,20,35,18,27,0.94,15
2017-01,33,35,22,32,6,7,1.0,9
2017-02,35,37,22,33,6,6,1.0,16
2017-03,29,7,11,19,3,14,0.88,10
2017-04,32,12,14,23,12,20,0.92,33
2017-05,38,75,22,35,11,12,0.79,54
2017-06,23,10,13,22,5,10,0.85,23
2017-07,34,47,16,32,5,8,0.87,26
2017-08,30,23,16,27,11,7,0.93,32
2017-09,36,91,18,33,14,9,0.94,17
2017-10,25,36,9,18,7,11,1.0,20
2017-11,28,13,18,24,10,18,0.98,3
2017-12,24,14,14,23,9,22,0.93,5
2018-01,21,5,12,20,6,20,0.89,5
2018-02,24,3,13,21,4,5,0.87,12
2018-03,25,8,14,23,5,9,0.91,5
2018-04,24,5,13,21,8,8,0.72,13
2018-05,35,22,13,28,6,6,0.87,31
2018-06,30,19,13,23,4,5,0.63,33
2018-07,32,54,11,29,8,7,0.58,21
2018-08,24,25,6,21,6,3,0.56,36
2018-09,30,82,13,26,6,5,0.49,27
2018-10,25,30,16,23,11,11,0.7,23
2018-11,24,33,10,23,8,15,0.67,9
2018-12,16,5,7,13,5,16,0.74,4
2019-01,19,4,9,16,6,22,1.03,3
2019-02,14,3,5,11,1,3,0.54,6
2019-03,19,7,10,16,2,11,0.36,14
2019-04,27,17,13,24,4,12,0.41,17
2019-05,32,47,15,31,3,8,0.29,26
2019-06,29,45,8,16,2,5,0.21,19
2019-07,21,6,8,17,3,7,0.32,22
2019-08,24,44,8,23,4,7,0.31,27
2019-09,23,61,11,23,2,10,0.32,39
2019-10,37,96,21,37,6,15,0.35,10
2019-11,21,22,11,21,9,19,0.31,4
2019-12,20,17,12,19,8,21,0.5,4
2020-01,16,15,5,10,3,4,0.38,5
2020-02,17,25,7,12,2,4,0.36,12
2020-03,20,46,7,16,3,10,0.4,12
2020-04,31,78,16,25,3,9,0.49,42
2020-05,21,17,10,19,7,11,0.5,41
2020-06,22,32,11,20,4,9,0.45,22
2020-07,19,30,9,14,3,6,0.42,21
2020-08,23,113,11,23,6,7,0.35,34
2020-09,17,36,10,16,7,9,0.5,17
2020-10,24,60,14,23,6,7,0.49,36
2020-11,20,40,13,18,10,20,0.54,3
2020-12,31,62,18,30,8,14,0.46,8
2021-01,45,68,24,42,6,21,0.47,9
2021-02,14,9,9,13,4,8,0.36,14
2021-03,20,16,10,17,6,11,0.51,8
2021-04,31,69,17,29,7,14,0.4,21
2021-05,21,8,8,15,7,8,0.45,34
2021-06,19,18,8,14,6,6,0.44,22
2021-07,20,35,9,18,7,8,0.4,22
2021-08,23,72,11,22,6,6,0.32,28
2021-09,25,76,12,23,10,10,0.36,47
2021-10,15,35,7,12,3,8,0.37,26
2021-11,26,48,11,24,4,8,0.42,9
2021-12,30,85,18,32,6,16,0.35,11
2022-01,17,23,6,10,3,8,0.41,15
2022-02,16,15,6,11,4,6,0.4,14
2022-03,20,3,6,10,4,10,0.35,32
