年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,69,28,42,82,23,36,0.8,34
2013-11,59,20,12,57,27,20,0.37,17
2013-12,69,25,31,56,49,31,0.56,6
2014-01,44,15,16,44,29,19,0.63,10
2014-02,42,38,14,37,25,11,0.6,39
2014-03,68,30,35,86,27,22,0.78,30
2014-04,52,54,13,30,10,10,0.6,59
2014-05,62,75,20,41,16,16,0.57,46
2014-06,62,73,24,55,13,10,0.54,76
2014-07,53,67,12,29,13,10,0.59,76
2014-08,40,33,13,32,22,17,0.56,40
2014-09,36,23,10,33,12,14,0.61,48
2014-10,43,13,10,42,17,18,0.71,29
2014-11,42,20,16,41,19,29,0.54,11
2014-12,45,20,16,47,25,17,0.56,9
2015-01,41,42,16,41,29,24,0.76,11
2015-02,39,15,15,37,24,14,0.58,20
2015-03,48,74,18,49,20,17,0.64,34
2015-04,51,177,24,53,14,7,0.5,50
2015-05,48,118,15,50,10,9,0.37,43
2015-06,51,197,16,37,18,11,0.57,76
2015-07,46,93,15,33,19,8,0.44,49
2015-08,49,130,21,35,16,8,0.6,68
2015-09,44,138,13,38,10,7,0.5,61
2015-10,46,71,12,46,5,19,0.58,12
2015-11,28,30,14,22,8,10,0.52,12
2015-12,37,45,11,36,16,19,0.48,6
2016-01,40,76,17,39,21,15,0.44,11
2016-02,39,26,11,29,19,12,0.57,26
2016-03,47,65,16,49,12,21,0.43,45
2016-04,45,64,15,41,21,19,0.5,64
2016-05,55,109,18,57,21,11,0.48,49
2016-06,59,251,15,39,23,15,0.56,87
2016-07,50,144,17,37,16,6,0.7,56
2016-08,37,92,9,33,8,9,0.64,33
2016-09,38,77,7,35,9,11,0.67,59
2016-10,42,92,16,41,15,15,0.63,30
2016-11,38,69,15,37,15,17,0.7,19
2016-12,40,17,12,39,26,14,0.84,12
2017-01,37,21,10,33,27,12,0.69,15
2017-02,41,52,15,40,19,11,0.61,25
2017-03,50,51,22,53,30,18,0.83,37
2017-04,60,192,14,71,27,12,0.71,60
2017-05,54,128,12,29,19,11,0.57,66
2017-06,47,105,8,27,8,9,0.56,82
2017-07,39,96,14,31,11,11,0.58,61
2017-08,35,63,6,18,8,6,0.39,43
2017-09,36,98,7,33,11,14,0.36,17
2017-10,27,58,6,15,8,8,0.36,30
2017-11,42,48,8,42,12,14,0.46,21
2017-12,45,65,15,44,13,28,0.6,13
2018-01,35,19,11,34,10,14,0.54,6
2018-02,48,40,14,50,8,8,0.44,24
2018-03,47,94,13,38,8,12,0.46,40
2018-04,44,31,11,40,6,8,0.32,62
2018-05,51,99,14,49,7,15,0.41,67
2018-06,55,191,20,39,9,11,0.4,89
2018-07,32,67,6,19,4,7,0.15,52
2018-08,28,49,8,20,2,7,0.2,41
2018-09,33,104,6,15,3,18,0.15,53
2018-10,32,58,6,28,5,22,0.25,36
2018-11,30,69,8,26,3,15,0.18,15
2018-12,34,113,11,31,6,20,0.28,17
2019-01,49,80,17,51,9,10,0.36,9
2019-02,36,98,13,22,3,4,0.3,27
2019-03,47,77,11,40,5,11,0.28,42
2019-04,45,121,10,21,4,8,0.26,50
2019-05,42,76,9,35,4,11,0.22,75
2019-06,51,220,19,35,5,9,0.3,90
2019-07,25,77,7,23,3,6,0.33,64
2019-08,25,61,6,9,4,1,0.24,29
2019-09,25,76,4,24,3,10,0.2,45
2019-10,22,39,5,18,3,7,0.23,24
2019-11,32,80,11,32,5,15,0.25,13
2019-12,32,23,13,32,5,17,0.48,8
2020-01,36,64,20,29,5,3,0.33,13
2020-02,22,30,8,16,4,2,0.28,30
2020-03,23,68,4,24,4,10,0.16,39
2020-04,31,25,10,24,5,11,0.21,50
2020-05,34,94,10,24,3,9,0.21,68
2020-06,29,122,6,15,4,9,0.31,71
2020-07,24,86,5,11,4,6,0.28,77
2020-08,20,70,3,6,4,5,0.2,35
2020-09,18,22,6,12,4,12,0.29,51
2020-10,34,62,12,33,6,26,0.35,27
2020-11,25,49,11,16,5,13,0.3,24
2020-12,35,105,8,35,5,10,0.37,6
2021-01,25,17,8,25,7,14,0.49,14
2021-02,28,46,9,26,7,7,0.48,36
2021-03,25,51,11,20,6,8,0.37,41
2021-04,34,91,8,32,6,11,0.34,55
2021-05,28,78,8,26,6,8,0.33,54
2021-06,28,74,11,20,6,7,0.35,52
2021-07,18,24,6,11,6,4,0.33,51
2021-08,27,118,4,9,5,4,0.34,71
2021-09,22,41,1,4,5,4,0.39,58
2021-10,22,80,3,9,6,7,0.26,31
2021-11,20,41,6,11,7,11,0.4,18
2021-12,23,20,6,20,8,7,0.38,8
2022-01,24,18,12,22,7,14,0.53,17
2022-02,24,26,9,18,8,7,0.5,49
2022-03,27,42,8,22,8,7,0.45,43
