年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,50,30,28,46,20,7,0.24,23
2015-02,53,64,19,57,12,4,0.39,39
2015-03,50,107,26,48,12,7,0.57,39
2015-04,45,27,16,47,3,3,1.16,32
2015-05,51,92,18,39,2,3,1.08,44
2015-06,49,92,10,29,4,3,0.33,63
2015-07,55,162,9,18,6,6,0.65,88
2015-08,43,97,13,30,5,7,0.84,79
2015-09,39,89,8,12,2,6,0.3,33
2015-10,37,51,14,18,3,5,0.26,47
2015-11,29,30,13,21,16,9,0.36,14
2015-12,34,27,15,31,9,4,0.35,16
2016-01,33,8,17,24,23,4,0.39,25
2016-02,31,10,13,26,17,3,0.16,33
2016-03,41,77,18,21,11,6,0.25,31
2016-04,50,89,19,43,3,3,0.25,52
2016-05,52,130,2,8,3,2,0.22,77
2016-06,49,110,11,20,2,3,0.32,63
2016-07,48,136,6,16,2,3,0.39,81
2016-08,44,61,6,17,2,3,0.44,82
2016-09,50,117,13,29,5,9,0.4,51
2016-10,36,75,12,35,2,4,0.45,24
2016-11,46,98,19,45,9,6,0.52,19
2016-12,56,47,25,59,11,11,0.78,12
2017-01,29,5,15,28,9,8,0.65,17
2017-02,35,27,12,32,8,8,0.48,30
2017-03,37,19,11,21,4,9,0.36,46
2017-04,52,70,10,33,5,7,0.29,80
2017-05,54,59,12,24,7,6,0.45,72
2017-06,56,159,12,35,6,7,0.52,84
2017-07,58,175,9,14,6,9,0.46,94
2017-08,36,85,5,18,6,11,0.46,40
2017-09,47,138,12,38,7,14,0.48,46
2017-10,26,39,3,6,6,10,0.38,30
2017-11,41,41,11,36,9,16,0.42,22
2017-12,35,6,11,28,7,12,0.44,23
2018-01,49,21,17,50,10,8,0.46,23
2018-02,45,45,11,29,8,6,0.54,47
2018-03,61,48,19,66,9,7,0.29,57
2018-04,52,115,8,18,7,2,0.34,65
2018-05,54,94,13,54,8,5,0.32,78
2018-06,58,122,11,42,9,10,0.53,81
2018-07,40,91,6,18,7,6,0.65,55
2018-08,36,80,6,15,7,5,0.64,66
2018-09,30,88,7,17,7,7,0.48,45
2018-10,32,47,10,29,7,12,0.35,34
2018-11,28,53,11,26,7,8,0.35,12
2018-12,35,73,11,32,7,10,0.37,16
2019-01,30,9,15,25,5,9,0.53,22
2019-02,50,38,24,48,5,5,0.42,46
2019-03,37,12,13,28,5,7,0.4,52
2019-04,47,138,9,11,5,9,0.28,65
2019-05,45,101,5,11,4,5,0.34,60
2019-06,38,135,4,7,6,8,0.41,78
2019-07,35,124,8,21,6,12,0.47,64
2019-08,25,49,9,18,8,10,0.54,55
2019-09,26,75,5,16,7,10,0.53,53
2019-10,23,52,8,20,7,7,0.49,21
2019-11,29,32,13,27,8,12,0.36,17
2019-12,34,37,12,33,6,16,0.43,18
2020-01,40,70,18,40,7,16,0.45,25
2020-02,28,50,9,23,5,5,0.31,45
2020-03,50,115,16,53,6,6,0.35,54
2020-04,40,82,16,36,8,9,0.35,62
2020-05,42,117,11,38,6,7,0.22,61
2020-06,35,190,11,27,6,10,0.34,70
2020-07,27,86,7,22,6,10,0.33,60
2020-08,21,70,5,17,6,10,0.25,47
2020-09,23,98,9,21,7,11,0.38,32
2020-10,40,66,12,40,9,14,0.23,33
2020-11,21,20,6,19,8,7,0.2,28
2020-12,31,29,15,28,4,7,0.2,26
2021-01,20,8,12,20,2,5,0.17,19
2021-02,30,42,13,28,4,11,0.23,38
2021-03,41,96,19,41,5,10,0.2,12
2021-04,25,66,9,19,6,7,0.1,50
2021-05,46,178,16,46,8,8,0.12,57
2021-06,29,142,6,19,6,10,0.2,62
2021-07,32,208,9,26,5,10,0.17,69
2021-08,30,180,9,22,6,12,0.28,51
2021-09,25,53,7,13,7,11,0.33,48
2021-10,32,114,13,30,6,11,0.18,23
2021-11,33,125,12,33,4,5,0.13,20
2021-12,34,41,11,33,4,11,0.21,20
2022-01,41,54,16,42,4,15,0.28,13
2022-02,33,113,6,32,3,6,0.2,44
2022-03,38,133,13,39,4,9,0.22,40
