年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,79,32,57,69,9,37,0.87,57
2013-11,33,3,15,24,10,28,0.55,2
2013-12,23,8,9,11,13,27,0.79,5
2014-01,53,11,36,51,9,21,0.91,17
2014-02,22,1,7,18,5,17,0.75,11
2014-03,33,5,19,12,6,13,0.62,14
2014-04,35,3,20,27,5,12,0.99,13
2014-05,14,1,5,10,5,4,0.65,13
2014-06,18,1,7,14,4,3,0.53,28
2014-07,17,1,6,14,5,5,0.55,16
2014-08,15,1,7,12,7,6,0.65,18
2014-09,20,1,7,16,7,5,0.83,21
2014-10,43,17,24,41,10,19,0.78,37
2014-11,35,9,21,31,12,14,0.71,5
2014-12,23,10,12,20,10,16,0.78,7
2015-01,25,12,17,21,8,28,1.17,10
2015-02,20,2,12,16,6,12,0.59,11
2015-03,25,2,16,21,6,12,0.58,4
2015-04,20,1,11,19,4,4,0.48,6
2015-05,17,1,8,15,6,5,0.65,22
2015-06,17,1,5,12,2,6,0.55,26
2015-07,19,8,6,10,2,6,0.6,26
2015-08,17,2,7,15,4,8,0.59,16
2015-09,15,2,7,11,4,9,0.56,16
2015-10,16,1,7,12,2,7,0.48,17
2015-11,26,13,15,22,3,14,0.49,9
2015-12,23,10,13,15,4,17,0.84,6
2016-01,25,9,15,16,5,17,0.64,5
2016-02,14,2,9,5,4,4,0.65,9
2016-03,21,6,13,10,5,20,0.71,6
2016-04,24,2,15,22,4,5,0.68,13
2016-05,20,2,11,13,4,4,0.48,29
2016-06,19,2,5,11,5,4,0.53,21
2016-07,18,2,6,12,4,6,0.57,24
2016-08,21,6,7,16,3,11,0.59,18
2016-09,18,6,8,17,5,12,0.63,9
2016-10,16,2,6,13,6,8,0.57,15
2016-11,20,17,9,17,7,23,0.57,5
2016-12,32,25,14,31,8,29,0.67,13
2017-01,27,18,17,22,5,17,0.53,4
2017-02,36,22,24,27,6,15,0.58,8
2017-03,32,15,16,28,4,19,0.58,4
2017-04,28,12,14,27,3,4,0.59,13
2017-05,22,3,11,16,4,8,0.54,23
2017-06,17,2,6,13,4,5,0.53,22
2017-07,16,2,4,10,4,8,0.54,12
2017-08,18,2,4,9,4,7,0.56,22
2017-09,19,3,5,13,5,7,0.54,6
2017-10,25,18,12,15,7,13,0.62,12
2017-11,24,27,13,23,5,34,0.74,6
2017-12,32,30,15,31,7,29,0.51,8
2018-01,24,20,16,15,5,29,0.53,2
2018-02,14,3,8,10,5,16,0.42,16
2018-03,17,3,9,12,5,7,0.43,23
2018-04,23,3,13,22,6,9,0.5,17
2018-05,25,5,11,19,4,4,0.46,37
2018-06,18,1,6,14,4,3,0.43,16
2018-07,16,2,7,11,3,3,0.4,17
2018-08,18,1,7,10,4,6,0.55,30
2018-09,19,8,8,16,3,2,0.44,22
2018-10,31,52,19,26,4,11,0.44,7
2018-11,31,43,13,30,5,23,0.45,2
2018-12,22,22,11,21,4,22,0.5,3
2019-01,39,32,22,37,4,25,0.55,2
2019-02,22,13,8,17,3,3,0.45,6
2019-03,21,3,9,17,3,6,0.47,2
2019-04,21,1,10,17,3,2,0.46,16
2019-05,18,2,4,11,1,3,0.46,22
2019-06,16,4,5,12,2,5,0.4,15
2019-07,18,9,5,10,2,4,0.49,32
2019-08,17,8,8,16,3,7,0.46,33
2019-09,18,26,9,17,3,12,0.47,12
2019-10,33,96,12,32,3,10,0.49,34
2019-11,42,95,14,42,4,32,0.47,27
2019-12,38,54,15,38,4,30,0.44,17
2020-01,13,20,4,10,3,9,0.48,17
2020-02,13,8,1,2,2,8,0.38,22
2020-03,19,6,7,14,2,8,0.45,2
2020-04,20,8,5,12,2,8,0.32,3
2020-05,15,5,4,14,2,5,0.42,35
2020-06,13,5,3,10,2,4,0.44,22
2020-07,13,5,4,12,2,5,0.44,27
2020-08,11,4,3,8,2,8,0.38,16
2020-09,13,5,3,12,1,11,0.52,13
2020-10,28,64,9,20,2,10,0.48,37
2020-11,22,23,11,22,3,22,0.49,6
2020-12,24,52,8,24,2,25,0.43,7
2021-01,36,44,14,36,2,24,0.38,25
2021-02,17,13,6,10,2,11,0.45,10
2021-03,21,8,7,21,2,7,0.43,6
2021-04,19,12,9,19,2,6,0.42,11
2021-05,15,5,3,13,2,6,0.42,30
2021-06,13,4,5,10,2,4,0.4,30
2021-07,11,6,2,7,2,4,0.43,23
2021-08,13,6,3,12,2,6,0.4,19
2021-09,13,5,3,12,3,8,0.4,21
2021-10,9,5,2,5,3,8,0.48,18
2021-11,21,39,5,19,3,18,0.27,32
2021-12,26,36,16,19,3,25,0.4,5
2022-01,15,16,6,10,3,12,0.55,6
2022-02,10,3,3,2,3,8,0.4,4
2022-03,18,13,8,10,3,8,0.29,10
