年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,106,268,73,137,72,58,1.05,9
2015-02,68,149,22,85,63,30,0.81,21
2015-03,51,95,9,52,10,33,0.7,34
2015-04,44,102,9,31,8,38,0.45,42
2015-05,50,83,15,42,4,28,0.34,52
2015-06,52,149,22,45,4,27,0.54,49
2015-07,42,77,8,31,3,13,0.56,43
2015-08,41,81,7,20,2,12,0.67,55
2015-09,37,38,13,26,2,7,0.61,9
2015-10,26,5,3,8,4,7,0.47,19
2015-11,26,14,8,21,7,20,0.68,15
2015-12,31,12,9,23,18,21,1.34,20
2016-01,31,22,12,21,10,3,1.09,29
2016-02,25,2,8,17,5,3,0.85,30
2016-03,42,53,15,30,13,17,0.7,47
2016-04,46,60,13,33,12,6,0.88,70
2016-05,35,49,17,27,7,5,0.66,64
2016-06,48,150,15,37,8,16,0.73,47
2016-07,37,91,17,24,5,6,0.77,51
2016-08,41,49,13,30,6,10,0.79,41
2016-09,39,67,13,34,9,17,0.73,41
2016-10,43,46,19,38,9,13,0.53,23
2016-11,53,114,31,60,16,21,0.94,20
2016-12,61,74,27,64,19,20,1.22,21
2017-01,66,112,45,69,29,17,0.91,35
2017-02,60,93,36,57,26,15,0.83,32
2017-03,51,66,16,27,15,6,0.44,42
2017-04,36,36,17,29,12,8,0.32,54
2017-05,38,10,14,24,8,5,0.5,48
2017-06,32,17,13,20,12,8,0.48,40
2017-07,32,21,8,12,11,4,0.48,51
2017-08,28,32,8,15,9,6,0.51,42
2017-09,29,32,10,25,10,8,0.56,28
2017-10,30,49,11,22,8,8,0.45,25
2017-11,71,125,34,90,23,29,1.13,22
2017-12,56,82,33,63,27,23,1.2,16
2018-01,44,31,20,44,22,15,0.83,22
2018-02,40,59,19,38,12,11,0.67,36
2018-03,43,42,22,37,9,12,0.39,38
2018-04,41,64,20,25,9,5,0.42,53
2018-05,51,82,17,37,10,7,0.33,76
2018-06,50,105,18,35,9,4,0.3,64
2018-07,46,157,22,32,7,6,0.47,50
2018-08,30,34,19,13,9,5,0.5,54
2018-09,35,98,18,26,9,6,0.51,33
2018-10,42,88,23,33,12,9,0.51,37
2018-11,42,64,25,39,14,11,0.56,23
2018-12,43,94,19,42,22,9,0.7,25
2019-01,34,18,15,33,18,16,0.81,30
2019-02,40,30,14,36,5,9,0.5,34
2019-03,38,23,14,30,6,14,0.51,53
2019-04,35,49,10,22,4,7,0.43,45
2019-05,33,18,8,14,4,7,0.33,56
2019-06,29,74,7,10,5,7,0.35,55
2019-07,26,61,7,14,3,8,0.26,45
2019-08,23,30,9,20,4,7,0.44,34
2019-09,20,19,7,12,4,8,0.25,37
2019-10,21,30,9,17,4,10,0.42,27
2019-11,29,47,16,29,6,14,0.5,25
2019-12,53,60,29,58,10,18,0.55,23
2020-01,49,135,28,54,10,17,0.54,31
2020-02,37,96,14,38,8,6,0.33,47
2020-03,30,68,11,24,7,12,0.33,45
2020-04,39,41,18,29,8,11,0.32,60
2020-05,24,21,9,11,5,8,0.27,66
2020-06,25,101,7,9,4,8,0.25,49
2020-07,25,64,6,9,4,9,0.33,40
2020-08,21,69,7,9,4,9,0.34,50
2020-09,19,21,7,13,2,14,0.21,15
2020-10,22,29,7,12,2,13,0.19,20
2020-11,21,19,11,20,3,17,0.32,11
2020-12,41,84,19,42,4,13,0.5,24
2021-01,27,26,12,28,4,18,0.4,16
2021-02,25,13,11,21,5,18,0.43,33
2021-03,42,113,15,43,5,12,0.39,17
2021-04,27,32,16,21,3,12,0.1,32
2021-05,24,57,11,17,2,19,0.22,45
2021-06,32,116,14,22,2,9,0.18,53
2021-07,33,211,11,24,2,12,0.09,53
2021-08,36,177,14,30,4,9,0.17,58
2021-09,28,89,12,20,3,12,0.2,40
2021-10,22,57,9,13,3,12,0.23,30
2021-11,26,25,12,23,4,13,0.18,25
2021-12,30,54,19,28,5,26,0.33,16
2022-01,35,103,21,34,7,22,0.53,29
2022-02,34,113,19,31,5,6,0.29,48
2022-03,40,157,19,40,4,12,0.19,47
