年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,117.0,77.0,149.0,126.0,25.0,42.0,1.0,74.0
2014-01,123.0,108.5,85.5,139.5,22.0,34.5,1.1,67.0
2014-02,80.5,85.5,58.0,78.5,10.5,30.0,1.04,61.0
2014-03,93.0,112.0,58.5,110.0,15.0,34.0,0.8,67.0
2014-04,90.5,123.5,60.5,121.0,11.0,36.0,0.745,69.0
2014-05,98.0,120.0,59.0,125.0,12.0,30.0,0.78,81.0
2014-06,74.5,117.0,50.5,91.5,8.5,23.0,0.77,84.0
2014-07,69.0,110.0,35.0,77.0,8.0,21.0,0.68,75.0
2014-08,59.0,69.0,35.0,60.0,10.0,19.0,0.84,74.0
2014-09,69.0,137.5,36.5,68.5,11.5,21.0,0.88,74.5
2014-10,97.0,121.0,50.0,95.0,15.0,18.0,0.9,136.0
2014-11,95.0,105.5,66.5,120.5,21.5,38.5,1.025,59.5
2014-12,96.0,111.0,69.0,120.0,27.0,55.0,0.91,88.0
2015-01,100.0,213.0,72.0,125.0,21.0,48.0,1.06,108.0
2015-02,81.0,190.0,54.5,91.0,12.0,21.0,0.92,28.5
2015-03,71.0,174.0,47.0,82.0,11.0,22.0,0.84,25.0
2015-04,73.0,205.0,47.0,89.5,12.5,21.0,0.725,30.5
2015-05,82.0,243.0,48.0,107.0,11.0,24.0,0.82,49.0
2015-06,62.5,223.5,31.5,69.5,7.0,22.0,0.77,81.5
2015-07,62.0,205.0,28.0,66.0,7.0,19.0,0.71,80.0
2015-08,65.5,225.0,30.5,73.0,9.0,21.5,0.69,91.5
2015-09,69.5,266.0,37.5,78.5,10.0,26.0,0.785,97.5
2015-10,74.0,223.0,45.0,95.0,12.0,32.0,0.81,95.0
2015-11,59.5,171.5,35.0,67.0,10.0,37.5,1.0,65.0
2015-12,96.0,224.0,68.0,120.0,14.0,51.0,1.22,79.0
2016-01,82.0,188.0,54.0,99.0,13.0,52.0,1.04,73.0
2016-02,73.0,190.0,51.0,92.0,8.0,35.0,0.73,80.0
2016-03,98.0,243.0,62.0,139.0,10.0,46.0,0.79,82.0
2016-04,69.0,219.0,37.0,80.5,5.5,32.0,0.74,73.0
2016-05,69.0,188.0,35.0,77.0,4.0,26.0,0.73,72.0
2016-06,52.5,165.0,26.0,53.0,4.0,23.5,0.655,69.5
2016-07,43.0,130.0,19.0,44.0,4.0,19.0,0.6,35.0
2016-08,50.0,165.0,28.0,50.0,4.0,22.0,0.63,58.0
2016-09,60.0,201.5,33.0,56.5,4.0,15.5,0.64,64.0
2016-10,71.0,270.0,32.0,64.0,6.0,17.0,0.74,34.0
2016-11,68.0,144.5,42.5,74.5,6.0,24.0,0.88,31.5
2016-12,89.0,152.0,63.0,102.0,13.0,29.0,0.95,35.0
2017-01,80.0,167.0,53.0,82.0,8.0,29.0,0.91,49.0
2017-02,77.5,165.5,54.0,83.5,9.5,25.0,0.88,37.5
2017-03,72.0,199.0,47.0,87.0,12.0,27.0,0.67,35.0
2017-04,70.5,165.0,42.0,79.5,17.0,22.5,0.765,45.5
2017-05,69.0,153.0,40.0,75.0,14.0,24.0,0.73,48.0
2017-06,51.0,138.0,25.5,53.5,12.5,21.0,0.66,33.5
2017-07,37.0,86.0,17.0,37.0,9.0,12.0,0.59,34.0
2017-08,41.0,108.0,18.0,35.0,11.0,16.0,0.62,61.0
2017-09,60.0,186.5,26.0,52.5,9.0,16.5,0.7,76.0
2017-10,61.5,195.5,33.5,66.0,10.0,23.0,0.68,59.0
2017-11,72.0,202.5,44.5,88.5,9.5,36.0,0.83,49.5
2017-12,88.0,201.0,59.0,112.0,11.0,45.0,0.95,44.0
2018-01,79.0,186.0,51.0,67.0,10.0,41.0,0.95,52.0
2018-02,69.5,182.5,41.0,84.0,8.0,17.0,0.75,64.0
2018-03,62.0,135.0,35.0,70.0,9.0,26.0,0.71,74.0
2018-04,71.5,215.0,39.5,85.5,11.0,24.5,0.67,90.5
2018-05,60.0,143.0,30.0,51.0,7.0,22.0,0.69,79.0
2018-06,56.5,154.5,32.0,46.0,5.0,20.0,0.56,82.5
2018-07,42.0,131.0,17.0,34.0,4.0,16.0,0.51,68.0
2018-08,40.0,93.0,20.0,33.0,4.0,16.0,0.55,56.0
2018-09,52.0,224.5,27.0,49.0,6.0,23.5,0.65,68.0
2018-10,62.0,224.0,32.0,68.0,6.0,31.0,0.71,54.0
2018-11,65.0,172.0,36.0,76.0,5.0,34.5,0.815,32.0
2018-12,73.0,174.0,40.0,91.0,2.0,18.0,0.99,14.0
2019-01,83.5,185.0,60.0,92.0,2.0,21.0,1.24,5.5
2019-02,48.0,96.5,32.5,45.5,2.0,10.5,1.2,20.0
2019-03,65.0,198.0,36.0,78.0,4.0,31.0,0.77,54.0
2019-04,65.5,218.0,35.5,75.5,6.0,33.0,0.795,68.0
2019-05,60.0,161.0,27.0,47.0,7.0,26.0,0.66,92.0
2019-06,41.0,146.0,25.0,35.0,2.0,13.0,0.69,52.0
2019-07,29.5,67.5,15.0,24.0,2.0,10.0,0.535,41.0
2019-08,39.5,146.5,16.5,39.0,2.0,19.0,0.575,28.5
2019-09,46.0,169.0,22.0,46.0,2.0,18.0,0.77,63.0
2019-10,57.0,233.0,30.0,67.0,2.0,28.0,0.86,34.0
2019-11,68.5,194.0,43.5,82.5,2.0,40.5,0.865,25.0
2019-12,66.0,178.0,46.0,81.0,2.0,43.0,1.0,24.0
2020-01,49.0,122.0,33.0,44.0,2.0,23.0,1.15,27.0
2020-02,41.0,124.0,28.0,34.0,2.0,11.0,1.05,36.0
2020-03,61.0,216.0,32.0,60.0,2.0,27.0,0.98,29.0
2020-04,65.5,234.0,33.5,78.0,2.0,30.5,0.765,44.5
2020-05,51.0,190.0,22.0,51.0,8.0,17.0,0.79,66.0
2020-06,26.5,114.5,12.0,27.0,6.0,14.0,0.6799999999999999,39.0
2020-07,46.0,258.0,13.0,41.0,7.0,17.0,0.65,45.0
2020-08,51.0,299.0,18.0,56.0,8.0,15.0,0.61,54.0
2020-09,54.0,288.5,21.5,60.0,8.0,20.5,0.735,74.0
2020-10,60.0,231.0,24.0,70.0,13.0,28.0,0.66,93.0
2020-11,62.0,158.5,25.5,70.5,1.5,33.5,0.675,27.5
2020-12,55.0,151.0,25.0,60.0,3.0,32.0,0.86,24.0
2021-01,77.0,192.0,43.0,91.0,3.0,39.0,0.98,38.0
2021-02,53.0,163.0,30.0,51.0,3.0,19.0,0.97,56.5
2021-03,53.0,119.0,27.0,59.0,5.0,40.0,0.85,52.0
2021-04,57.5,218.0,26.0,59.5,5.0,42.5,0.815,54.5
2021-05,45.0,190.0,20.0,51.0,6.0,29.0,0.8,65.0
2021-06,41.5,216.0,21.0,38.0,4.0,22.0,0.7,65.0
2021-07,34.0,211.0,14.0,34.0,3.0,21.0,0.55,48.0
2021-08,38.0,186.0,18.0,30.0,3.0,24.0,0.6,50.0
2021-09,44.0,269.0,21.5,45.0,5.0,29.0,0.555,62.0
2021-10,34.0,141.0,13.0,32.0,5.0,36.0,0.66,44.0
2021-11,50.5,148.5,28.0,55.0,5.0,45.0,0.7,41.0
2021-12,64.0,201.5,44.0,75.0,8.0,52.0,0.78,47.0
