年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,110.5,67.0,56.5,75.5,23.5,18.5,1.47,19.0
2013-11,109.0,61.5,52.0,76.0,39.5,16.5,3.15,20.5
2013-12,116.0,47.0,81.0,89.0,56.0,23.0,3.73,24.0
2014-01,117.5,74.5,88.0,126.0,65.5,21.0,3.2199999999999998,31.5
2014-02,83.5,78.5,58.0,105.0,38.0,21.5,2.4000000000000004,26.5
2014-03,87.5,93.0,61.5,102.5,49.0,32.5,2.605,42.5
2014-04,95.5,139.0,68.5,116.0,47.5,37.0,2.92,55.5
2014-05,94.0,110.0,67.0,115.0,49.0,34.0,2.14,50.0
2014-06,80.0,122.5,55.5,91.5,46.0,37.5,1.9649999999999999,52.5
2014-07,70.0,105.0,50.0,73.0,49.0,30.0,1.44,60.0
2014-08,58.0,77.0,39.0,60.0,33.0,24.0,1.89,41.0
2014-09,58.5,83.0,40.0,60.5,25.0,28.5,2.16,30.0
2014-10,93.0,108.0,65.0,105.0,45.0,43.0,2.11,32.0
2014-11,85.0,97.5,62.0,67.0,106.5,36.5,2.27,36.0
2014-12,73.0,70.0,51.0,60.0,126.0,26.0,2.97,22.0
2015-01,149.0,294.0,113.0,153.0,220.0,45.0,3.7,27.0
2015-02,78.0,181.0,50.5,99.5,131.0,41.0,3.0549999999999997,42.0
2015-03,85.0,207.0,55.0,104.0,50.0,40.0,2.35,44.0
2015-04,67.5,142.0,46.0,72.5,34.0,31.0,2.0700000000000003,49.5
2015-05,63.0,170.0,41.0,70.0,28.0,26.0,1.58,59.0
2015-06,51.5,146.0,28.0,53.5,25.0,24.5,1.5950000000000002,51.0
2015-07,55.0,183.0,31.0,52.0,16.0,19.0,1.1,76.0
2015-08,55.0,168.0,32.0,52.0,15.0,20.0,1.62,56.0
2015-09,57.0,196.5,38.0,57.5,15.0,22.0,2.07,47.0
2015-10,71.0,196.0,49.0,81.0,21.0,36.0,2.44,41.0
2015-11,101.0,301.0,75.0,103.5,57.5,36.0,2.385,16.5
2015-12,149.0,286.0,113.0,168.0,79.0,47.0,3.48,11.0
2016-01,118.0,283.0,88.0,123.0,57.0,39.0,3.71,20.0
2016-02,94.0,237.0,66.0,96.0,57.0,27.0,3.16,40.0
2016-03,87.0,205.0,60.0,116.0,26.0,28.0,2.39,48.0
2016-04,77.5,233.5,45.0,98.5,22.0,26.5,2.69,54.0
2016-05,86.0,288.0,52.0,109.0,36.0,23.0,2.31,80.0
2016-06,77.0,281.5,42.0,90.5,53.0,24.0,2.28,74.0
2016-07,61.0,229.0,29.0,69.0,29.0,15.0,1.26,59.0
2016-08,57.0,238.0,29.0,58.0,26.0,18.0,1.21,67.0
2016-09,61.0,165.5,35.0,67.0,25.5,31.0,1.37,53.5
2016-10,52.0,156.0,25.0,56.0,41.0,35.0,1.35,37.0
2016-11,221.5,360.0,163.0,258.5,224.5,65.0,3.715,24.0
2016-12,228.0,353.0,181.0,280.0,345.0,63.0,3.44,21.0
2017-01,219.0,343.0,172.0,227.0,287.0,52.0,3.55,27.0
2017-02,148.0,341.0,110.5,166.0,128.5,43.0,2.395,47.5
2017-03,106.0,306.0,76.0,125.0,59.0,36.0,1.69,60.0
2017-04,91.0,300.0,59.0,110.5,42.0,37.5,1.68,74.5
2017-05,98.0,290.0,55.0,95.0,33.0,31.0,1.47,110.0
2017-06,110.0,341.5,54.5,95.0,35.0,23.0,1.3450000000000002,145.5
2017-07,96.0,341.0,54.0,86.0,24.0,15.0,1.31,125.0
2017-08,93.0,351.0,58.0,93.0,32.0,22.0,1.56,107.0
2017-09,85.5,325.0,52.5,92.0,32.5,37.5,1.755,76.0
2017-10,76.5,275.5,53.5,86.0,28.0,36.5,1.935,32.0
2017-11,102.5,321.5,72.5,128.0,48.0,50.0,2.04,22.0
2017-12,128.0,340.0,95.0,144.0,123.0,52.0,2.56,21.0
2018-01,150.0,343.0,116.0,168.0,130.0,48.0,2.71,21.0
2018-02,115.5,312.5,83.5,137.0,111.5,43.0,2.14,46.0
2018-03,114.0,312.0,83.0,131.0,44.0,36.0,1.81,78.0
2018-04,97.0,294.5,60.0,123.5,30.0,33.0,1.5550000000000002,80.5
2018-05,94.0,303.0,58.0,118.0,30.0,32.0,1.47,100.0
2018-06,93.5,307.5,47.5,91.5,31.0,24.0,1.375,127.5
2018-07,83.0,338.0,52.0,84.0,23.0,18.0,1.31,113.0
2018-08,83.0,338.0,52.0,84.0,23.0,19.0,1.44,123.0
