年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,168,73,127,158,39,31,3.13,31
2013-11,390,114,341,172,105,65,18.61,44
2013-12,401,114,969,227,78,32,8.03,55
2014-01,246,180,198,276,173,54,6.02,60
2014-02,151,160,115,209,84,51,4.25,37
2014-03,141,158,102,213,75,45,3.76,62
2014-04,204,181,155,221,83,53,5.22,96
2014-05,153,163,95,248,122,57,3.16,69
2014-06,166,177,123,173,70,44,2.77,73
2014-07,159,182,121,140,88,50,2.35,92
2014-08,173,189,131,162,57,35,3.67,74
2014-09,84,153,61,95,56,44,2.7,46
2014-10,133,159,100,172,90,67,3.39,44
2014-11,285,188,229,327,346,75,3.34,61
2014-12,239,163,188,245,245,50,6.13,41
2015-01,346,443,278,434,549,79,6.01,45
2015-02,156,299,118,169,297,68,5.14,62
2015-03,134,329,101,160,122,69,4.07,67
2015-04,88,288,61,117,59,44,2.65,73
2015-05,97,330,70,129,83,49,8.42,82
2015-06,119,365,89,126,42,35,8.17,80
2015-07,113,360,81,118,44,29,1.91,104
2015-08,85,303,44,118,32,32,2.32,72
2015-09,86,314,63,94,37,35,2.66,84
2015-10,153,347,116,175,36,56,3.47,81
2015-11,303,365,248,314,154,68,6.06,48
2015-12,241,358,190,292,144,71,6.01,51
2016-01,282,362,229,328,151,68,7.33,58
2016-02,222,345,169,214,108,39,5.45,67
2016-03,129,340,97,180,56,43,14.83,106
2016-04,144,347,109,201,48,41,3.97,91
2016-05,120,358,86,167,108,38,3.23,129
2016-06,102,361,75,134,111,36,3.28,118
2016-07,98,348,62,142,86,30,2.1,104
2016-08,83,325,47,94,64,35,1.8,102
2016-09,104,335,76,135,56,48,2.08,84
2016-10,98,313,70,124,88,55,2.32,67
2016-11,374,367,327,406,499,82,5.59,45
2016-12,423,366,387,506,729,119,6.97,55
2017-01,497,366,528,667,800,122,9.02,56
2017-02,347,365,296,368,400,83,5.29,77
2017-03,166,364,125,185,160,60,3.07,112
2017-04,145,366,110,181,73,53,2.95,115
2017-05,212,362,127,341,52,47,2.05,158
2017-06,149,366,85,146,63,30,2.74,207
2017-07,132,365,73,128,58,41,2.35,162
2017-08,125,366,93,133,55,38,2.84,164
2017-09,148,364,111,179,66,53,3.27,128
2017-10,203,363,155,217,75,61,3.27,66
2017-11,230,366,182,277,126,72,4.12,58
2017-12,278,366,225,312,204,85,4.78,61
2018-01,376,367,327,413,246,102,6.52,61
2018-02,357,367,308,427,251,60,4.89,69
2018-03,181,355,139,238,98,51,2.71,112
2018-04,182,358,84,261,56,46,2.04,123
2018-05,180,361,86,261,54,43,2.23,137
2018-06,127,366,91,125,38,38,2.37,175
2018-07,140,365,103,140,37,24,2.39,167
2018-08,120,365,83,123,41,26,1.71,178
2018-09,110,366,82,112,31,37,2.48,123
2018-10,157,364,119,169,37,51,2.43,100
2018-11,199,362,154,247,75,67,3.26,104
2018-12,240,353,190,295,134,74,3.85,70
2019-01,362,366,313,384,239,76,4.64,72
2019-02,228,357,180,234,109,51,3.75,107
2019-03,137,325,103,150,53,42,1.75,100
2019-04,125,353,94,176,46,45,1.93,114
2019-05,134,352,68,198,32,38,1.68,152
2019-06,110,359,54,113,33,35,1.79,214
2019-07,92,362,48,85,30,35,1.6,163
2019-08,86,360,63,92,22,41,1.93,108
2019-09,88,364,63,98,19,44,1.82,168
2019-10,221,357,77,308,25,62,2.14,107
2019-11,155,358,117,164,65,70,2.18,58
2019-12,300,365,250,314,80,81,3.48,54
2020-01,366,366,317,372,142,95,3.88,65
2020-02,234,363,185,209,76,66,2.6,80
2020-03,93,347,69,134,34,52,1.23,115
2020-04,88,342,57,124,23,53,1.25,124
2020-05,107,345,40,164,27,51,1.44,126
2020-06,102,365,67,121,22,49,1.85,179
2020-07,85,354,44,68,16,35,2.29,163
2020-08,68,353,34,70,18,34,1.8,117
2020-09,102,363,75,118,26,50,2.36,124
2020-10,132,363,100,183,38,73,2.42,53
2020-11,148,362,112,175,47,81,2.68,92
2020-12,162,349,123,182,60,66,2.96,59
2021-01,404,357,180,656,72,75,2.64,60
2021-02,228,365,181,189,38,65,3.3,80
2021-03,475,357,184,1064,20,53,1.95,98
2021-04,332,362,122,441,24,40,1.45,99
2021-05,290,362,122,403,18,49,1.52,162
2021-06,87,365,56,76,13,40,1.45,183
2021-07,80,364,48,67,10,36,1.43,147
2021-08,86,365,56,63,11,37,1.55,139
2021-09,111,366,83,104,13,36,2.02,114
2021-10,138,362,104,121,14,54,1.81,72
2021-11,165,358,125,156,33,65,2.25,63
2021-12,162,362,123,142,39,64,2.47,54
2022-01,207,336,162,169,46,63,2.56,74
2022-02,152,334,116,114,39,49,1.48,76
2022-03,466,337,192,832,30,61,1.77,98
