年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,98,57,53,117,39,45,1.62,18
2013-11,71,56,44,78,32,38,1.07,8
2013-12,99,45,56,118,31,56,1.96,6
2014-01,59,34,33,67,54,36,1.63,7
2014-02,40,36,22,40,28,25,1.1,13
2014-03,81,103,48,109,42,46,1.09,20
2014-04,49,36,27,44,17,26,0.62,21
2014-05,49,67,27,53,15,29,0.6,28
2014-06,42,27,19,33,3,12,0.61,35
2014-07,34,13,13,33,12,21,0.87,45
2014-08,42,68,16,44,12,21,0.83,25
2014-09,37,47,18,35,12,14,0.5,31
2014-10,38,11,17,36,12,20,0.5,16
2014-11,55,49,29,61,25,37,0.66,14
2014-12,73,50,32,93,38,31,0.74,7
2015-01,47,97,28,48,27,23,0.7,8
2015-02,40,39,23,31,10,8,0.64,12
2015-03,69,143,34,85,15,30,0.72,18
2015-04,44,59,26,40,10,24,0.58,31
2015-05,53,101,24,55,5,18,0.59,46
2015-06,38,109,11,22,3,14,0.69,44
2015-07,43,57,15,42,2,14,0.69,47
2015-08,38,126,15,36,5,16,0.75,25
2015-09,33,42,13,29,7,18,0.52,41
2015-10,45,132,20,37,10,19,0.77,19
2015-11,28,26,17,27,6,15,0.57,9
2015-12,55,112,26,61,18,25,0.57,7
2016-01,57,126,25,64,27,20,0.75,6
2016-02,28,16,15,20,13,11,0.81,16
2016-03,52,180,22,56,18,25,0.62,32
2016-04,55,178,30,56,12,22,0.7,23
2016-05,47,142,27,43,9,16,0.47,41
2016-06,49,121,17,44,6,14,0.56,45
2016-07,39,86,14,33,3,10,0.41,29
2016-08,38,89,10,34,5,12,0.5,49
2016-09,29,48,13,28,5,15,0.52,44
2016-10,31,35,16,24,4,19,0.55,22
2016-11,40,80,19,37,5,22,0.54,6
2016-12,44,47,26,36,10,25,0.74,5
2017-01,39,19,20,39,6,11,0.56,9
2017-02,49,88,26,49,11,16,0.64,26
2017-03,53,138,22,54,11,22,0.59,44
2017-04,60,139,25,69,9,23,0.61,57
2017-05,43,80,16,44,6,18,0.61,69
2017-06,54,189,11,34,7,20,0.55,82
2017-07,33,56,8,21,6,17,0.75,30
2017-08,37,93,9,28,6,13,0.65,48
2017-09,33,49,7,22,5,21,0.69,17
2017-10,32,43,9,24,5,16,0.41,28
2017-11,51,93,16,53,11,26,0.56,12
2017-12,48,79,22,49,18,34,0.82,6
2018-01,47,84,23,48,17,24,0.65,10
2018-02,38,10,13,32,12,13,0.46,21
2018-03,45,90,14,38,4,18,0.56,30
2018-04,47,104,17,55,5,15,0.39,37
2018-05,45,76,16,36,5,19,0.35,50
2018-06,41,131,11,37,4,13,0.29,48
2018-07,21,4,6,12,5,13,0.22,36
2018-08,26,17,9,23,5,11,0.25,35
2018-09,34,107,11,24,4,21,0.36,46
2018-10,52,175,17,54,8,28,0.43,31
2018-11,37,88,18,34,3,22,0.4,18
2018-12,43,148,12,44,5,22,0.42,6
2019-01,67,163,33,75,11,23,0.6,9
2019-02,43,176,21,42,7,13,0.35,23
2019-03,51,167,23,53,7,29,0.4,49
2019-04,40,58,17,34,4,22,0.35,39
2019-05,43,81,13,34,4,18,0.37,57
2019-06,50,192,17,29,4,14,0.4,79
2019-07,25,80,10,23,7,15,0.45,32
2019-08,19,22,2,7,4,8,0.34,26
2019-09,38,143,10,36,5,15,0.44,65
2019-10,31,122,8,30,3,13,0.36,31
2019-11,41,101,18,41,5,20,0.28,11
2019-12,35,65,13,35,5,22,0.52,14
2020-01,26,28,18,18,4,14,0.77,7
2020-02,26,85,13,22,4,10,0.5,21
2020-03,35,178,8,41,4,11,0.35,43
2020-04,56,205,19,51,2,21,0.48,63
2020-05,34,136,14,30,3,20,0.48,62
2020-06,20,56,7,12,2,13,0.43,51
2020-07,25,89,5,10,2,10,0.5,49
2020-08,21,41,9,19,3,15,0.63,44
2020-09,44,225,16,44,5,21,0.62,52
2020-10,56,162,22,64,5,32,0.63,22
2020-11,35,154,21,30,4,26,0.5,18
2020-12,35,100,14,35,6,23,0.6,15
2021-01,54,124,14,63,9,18,0.59,9
2021-02,41,97,12,33,3,11,0.45,38
2021-03,26,60,17,20,3,17,0.43,43
2021-04,28,48,12,22,3,15,0.48,39
2021-05,26,64,6,20,4,16,0.43,48
2021-06,23,64,8,13,4,9,0.65,42
2021-07,13,9,4,4,4,4,0.39,33
2021-08,22,85,9,15,3,10,0.37,50
2021-09,20,41,3,4,3,10,0.33,48
2021-10,23,85,7,20,3,12,0.39,28
2021-11,32,92,12,29,4,19,0.37,25
2021-12,26,46,10,26,4,14,0.45,20
2022-01,39,63,23,34,6,18,0.59,18
2022-02,31,100,17,30,7,14,0.54,44
2022-03,36,94,15,28,4,18,0.43,47
