年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,90,45,65,111,35,46,1.34,63
2013-11,181,79,115,179,80,63,1.97,72
2013-12,172,163,124,197,137,63,2.37,45
2014-01,159,126,121,169,162,50,2.22,53
2014-02,246,170,196,280,115,58,3.04,69
2014-03,147,162,111,174,77,47,1.63,87
2014-04,198,187,152,241,31,55,2.21,92
2014-05,135,156,94,204,23,43,1.61,153
2014-06,144,181,109,174,24,40,1.62,119
2014-07,89,160,64,98,24,30,1.98,118
2014-08,82,138,57,82,23,33,1.85,106
2014-09,97,146,72,104,26,42,2.12,93
2014-10,94,132,70,128,40,61,1.99,125
2014-11,151,158,114,176,100,61,3.02,57
2014-12,278,178,227,326,157,66,3.38,44
2015-01,175,289,134,207,136,62,3.01,43
2015-02,372,364,125,791,128,55,2.67,48
2015-03,184,356,142,278,75,48,2.35,65
2015-04,105,312,71,135,29,40,1.47,112
2015-05,98,316,64,107,26,38,1.45,129
2015-06,117,333,87,117,14,35,1.58,117
2015-07,80,270,56,74,14,27,1.43,79
2015-08,82,311,56,108,13,20,1.42,111
2015-09,75,262,53,84,15,42,1.59,83
2015-10,135,297,102,144,36,49,2.07,92
2015-11,415,365,389,365,78,52,2.77,73
2015-12,156,307,119,142,156,61,2.68,53
2016-01,172,345,130,166,132,53,2.84,56
2016-02,116,330,87,124,108,49,2.54,65
2016-03,376,361,103,537,73,51,2.05,127
2016-04,157,364,103,252,31,43,1.92,127
2016-05,124,359,86,119,23,38,1.6,158
2016-06,115,355,79,103,19,27,1.74,167
2016-07,74,286,51,80,10,26,1.41,104
2016-08,58,244,32,57,11,22,1.38,89
2016-09,70,272,49,83,15,31,1.61,81
2016-10,127,358,96,139,27,48,1.71,74
2016-11,136,309,102,164,75,48,2.08,66
2016-12,188,293,142,195,102,60,2.79,57
2017-01,203,284,156,204,134,52,2.76,66
2017-02,145,289,110,143,103,53,2.34,81
2017-03,192,358,148,202,53,48,2.0,104
2017-04,108,325,80,122,20,36,1.32,118
2017-05,133,322,58,213,14,28,0.97,128
2017-06,90,292,49,89,15,24,1.13,140
2017-07,69,231,30,55,7,22,1.01,118
2017-08,52,277,27,51,11,25,1.02,83
2017-09,71,284,45,75,14,36,1.0,109
2017-10,90,233,65,115,32,50,1.52,87
2017-11,108,263,81,131,44,52,1.5,69
2017-12,126,217,95,135,54,48,2.0,48
2018-01,108,253,80,128,65,50,2.04,63
2018-02,170,345,138,175,64,40,1.8,74
2018-03,145,334,110,136,41,37,1.48,129
2018-04,92,328,59,121,20,29,1.14,148
2018-05,105,315,47,117,15,31,1.02,157
2018-06,85,320,42,62,17,25,0.85,136
2018-07,51,224,35,52,12,14,0.99,90
2018-08,58,239,32,51,9,24,0.94,102
2018-09,50,236,26,48,15,28,0.98,72
2018-10,89,308,65,102,20,44,1.39,65
2018-11,98,294,65,142,40,42,1.65,49
2018-12,117,288,88,122,55,46,2.0,50
2019-01,222,342,173,221,58,53,2.43,55
2019-02,149,312,113,150,47,46,1.74,62
2019-03,224,365,177,222,39,49,2.32,102
2019-04,90,298,65,102,15,28,1.06,112
2019-05,98,327,55,101,17,28,1.02,150
2019-06,73,268,26,40,11,26,0.73,130
2019-07,52,200,25,42,10,18,0.78,94
2019-08,48,204,24,48,8,20,0.91,84
2019-09,60,203,42,62,13,30,1.06,79
2019-10,94,307,69,114,18,42,1.37,105
2019-11,80,287,54,105,29,47,1.52,62
2019-12,140,288,106,143,37,50,1.52,55
2020-01,126,323,95,115,43,48,2.0,84
2020-02,126,346,95,126,34,35,1.61,74
2020-03,75,292,54,87,26,24,1.12,89
2020-04,118,364,89,136,20,26,1.13,124
2020-05,75,319,32,101,15,19,0.9,101
2020-06,56,305,36,58,17,26,0.77,141
2020-07,49,269,28,51,11,18,0.75,99
2020-08,37,264,24,33,7,15,0.78,97
2020-09,45,255,26,46,10,22,0.82,101
2020-10,94,279,70,115,20,41,1.32,104
2020-11,115,323,86,143,27,44,1.62,67
2020-12,165,353,125,160,41,52,2.21,51
2021-01,116,322,87,111,41,47,1.82,64
2021-02,143,336,108,133,28,40,1.6,77
2021-03,190,358,145,177,24,39,1.82,98
2021-04,82,323,52,105,16,39,0.9,96
2021-05,185,316,70,252,12,23,0.82,133
2021-06,52,261,30,43,10,16,0.92,136
2021-07,44,299,25,44,6,15,0.66,101
2021-08,49,319,26,50,7,21,0.88,119
2021-09,51,261,29,53,10,20,0.83,92
2021-10,73,298,49,74,12,38,1.01,89
2021-11,105,327,78,128,23,38,1.82,66
2021-12,121,314,91,125,35,43,1.78,58
2022-01,102,250,74,99,32,43,1.69,57
2022-02,112,310,84,111,27,41,1.55,72
2022-03,95,291,70,97,16,30,1.2,97
