年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,70.0,24.0,47.5,77.5,24.5,39.5,0.815,48.5
2013-11,79.5,30.0,56.5,89.0,27.0,42.0,0.845,37.0
2013-12,124.0,51.0,91.0,136.0,39.0,57.0,1.1,32.0
2014-01,91.5,67.5,67.5,98.5,25.0,45.0,0.94,37.5
2014-02,54.0,30.5,37.0,45.5,13.5,32.5,0.65,50.0
2014-03,68.5,44.0,44.5,66.0,19.0,35.0,0.755,62.5
2014-04,61.0,43.5,39.0,55.0,15.0,28.0,0.65,79.0
2014-05,64.0,49.0,37.0,57.0,13.0,28.0,0.7,79.0
2014-06,59.0,71.5,34.0,51.0,11.0,23.0,0.585,80.0
2014-07,44.0,37.0,20.0,38.0,10.0,21.0,0.53,59.0
2014-08,47.0,51.0,26.0,42.0,12.0,25.0,0.61,51.0
2014-09,55.0,66.5,29.5,53.5,11.5,26.0,0.625,57.0
2014-10,75.0,70.0,49.0,78.0,12.0,31.0,0.67,71.0
2014-11,72.0,61.5,51.0,79.0,13.0,36.5,0.825,40.0
2014-12,87.0,79.0,63.0,97.0,25.0,47.0,0.85,40.0
2015-01,90.0,140.0,66.0,105.0,26.0,48.0,0.92,38.0
2015-02,68.0,100.0,47.0,59.5,8.0,24.0,0.78,58.5
2015-03,67.0,132.0,37.0,52.0,8.0,28.0,0.71,60.0
2015-04,62.5,134.5,41.0,60.0,11.0,31.0,0.635,76.5
2015-05,62.0,145.0,35.0,49.0,7.0,24.0,0.66,69.0
2015-06,44.0,103.5,22.5,39.5,7.5,20.0,0.53,49.5
2015-07,38.0,54.0,16.0,32.0,7.0,15.0,0.48,53.0
2015-08,49.0,127.0,25.0,42.0,7.0,14.0,0.52,61.0
2015-09,52.5,176.5,31.0,48.5,8.0,18.0,0.63,56.0
2015-10,58.0,133.0,37.0,58.0,7.0,24.0,0.56,54.0
2015-11,49.5,116.5,31.5,46.5,7.0,32.0,0.825,22.5
2015-12,59.0,123.0,37.0,56.0,9.0,35.0,0.92,22.0
2016-01,61.0,114.0,43.0,49.0,8.0,35.0,0.89,26.0
2016-02,61.0,120.0,37.0,60.0,6.0,22.0,0.66,50.0
2016-03,69.0,129.0,46.0,70.0,9.0,28.0,0.66,61.0
2016-04,49.5,97.5,26.0,41.5,5.0,22.0,0.66,53.0
2016-05,48.0,90.0,25.0,43.0,6.0,17.0,0.65,66.0
2016-06,41.0,85.5,19.5,34.5,6.0,18.0,0.535,51.5
2016-07,35.0,78.0,16.0,29.0,8.0,16.0,0.45,48.0
2016-08,38.0,84.0,17.0,32.0,4.0,12.0,0.5,60.0
2016-09,48.0,96.0,26.0,46.0,5.0,18.0,0.69,63.5
2016-10,43.0,108.0,21.0,41.0,6.0,21.0,0.73,44.0
2016-11,51.5,81.0,33.5,51.0,9.5,27.0,0.79,32.0
2016-12,73.0,109.0,53.0,69.0,12.0,35.0,0.82,31.0
2017-01,51.0,71.0,32.0,50.0,9.0,22.0,0.68,47.0
2017-02,57.5,87.5,38.5,55.5,11.5,22.0,0.605,60.5
2017-03,56.0,93.0,33.0,50.0,9.0,24.0,0.57,63.0
2017-04,60.0,112.0,33.5,55.0,11.0,22.0,0.595,73.0
2017-05,56.0,107.0,28.0,48.0,8.0,16.0,0.52,83.0
2017-06,40.0,68.0,17.0,30.5,5.0,19.0,0.575,59.5
2017-07,39.0,98.0,17.0,35.0,7.0,16.0,0.47,50.0
2017-08,42.0,125.0,19.0,35.0,7.0,16.0,0.57,56.0
2017-09,48.0,141.5,21.5,37.5,6.0,17.0,0.675,72.0
2017-10,52.0,169.0,31.5,46.5,7.0,24.5,0.885,62.0
2017-11,56.0,112.5,38.0,47.5,8.5,31.0,0.955,36.5
2017-12,83.0,173.0,60.0,79.0,8.0,39.0,1.11,31.0
2018-01,55.0,110.0,34.0,56.0,5.0,31.0,0.95,29.0
2018-02,61.5,108.0,35.5,52.5,5.0,18.5,0.625,60.0
2018-03,48.0,55.0,26.0,41.0,5.0,24.0,0.59,64.0
2018-04,65.5,106.5,32.5,62.0,7.0,22.0,0.62,80.5
2018-05,51.0,77.0,22.0,42.0,6.0,18.0,0.63,66.0
2018-06,41.5,88.0,18.5,35.0,5.0,17.0,0.535,61.0
2018-07,34.0,81.0,15.0,29.0,5.0,14.0,0.48,47.0
2018-08,43.0,131.0,19.0,35.0,5.0,13.0,0.47,68.0
2018-09,39.0,108.0,16.0,34.0,4.0,16.0,0.51,53.0
2018-10,53.0,154.0,28.0,46.0,7.0,22.0,0.58,60.0
2018-11,41.5,76.5,24.0,41.5,6.0,27.0,0.695,29.0
2018-12,58.0,114.0,34.0,54.0,6.0,30.0,0.84,21.0
2019-01,60.0,116.0,41.0,61.0,6.0,30.0,0.89,20.0
2019-02,28.0,28.0,14.5,23.0,5.0,14.5,0.875,39.0
2019-03,49.0,96.0,29.0,38.0,6.0,23.0,0.66,63.0
2019-04,41.5,66.0,20.0,37.0,6.0,21.0,0.59,55.5
2019-05,50.0,115.0,23.0,43.0,5.0,18.0,0.49,75.0
2019-06,34.0,82.0,15.0,32.0,4.0,17.0,0.49,46.0
2019-07,28.5,54.5,11.0,25.5,5.0,14.5,0.45,35.5
2019-08,29.5,66.0,13.0,26.5,5.0,11.0,0.42000000000000004,47.0
2019-09,44.5,196.5,20.0,44.5,5.0,17.0,0.535,84.5
2019-10,52.0,191.0,30.0,55.0,5.0,21.0,0.66,69.0
2019-11,56.0,140.5,30.5,62.5,5.0,29.5,0.695,46.0
2019-12,58.0,101.0,35.0,59.0,6.0,33.0,0.88,28.0
2020-01,35.0,46.0,19.0,32.0,4.0,17.0,0.74,38.0
2020-02,33.0,75.0,22.0,28.0,4.0,8.0,0.58,55.0
2020-03,39.0,93.0,20.0,35.0,4.0,18.0,0.57,56.0
2020-04,46.5,112.0,25.5,46.0,5.0,19.0,0.445,83.0
2020-05,43.0,132.0,19.0,40.0,4.0,15.0,0.45,74.0
2020-06,28.0,110.0,10.0,27.0,4.0,15.0,0.35,44.0
2020-07,34.0,140.0,12.0,34.0,4.0,15.0,0.41,46.0
2020-08,29.0,144.0,11.0,29.0,5.0,11.0,0.45,50.0
2020-09,41.5,181.0,20.0,40.0,5.0,18.5,0.645,64.0
2020-10,44.0,174.0,21.0,45.0,5.0,22.0,0.52,68.0
2020-11,44.5,118.0,22.5,44.5,5.0,31.0,0.725,44.5
2020-12,59.0,141.0,39.0,62.0,6.0,34.0,0.84,29.0
2021-01,56.0,92.0,33.0,61.0,8.0,31.0,0.65,34.0
2021-02,39.5,73.5,23.0,38.0,5.5,12.0,0.41500000000000004,55.0
2021-03,43.0,65.0,24.0,42.0,5.0,20.0,0.53,50.0
2021-04,42.5,122.0,21.5,42.0,5.0,17.0,0.43,69.5
2021-05,34.0,88.0,15.0,33.0,5.0,16.0,0.43,47.0
2021-06,29.5,114.0,13.0,28.0,5.0,13.0,0.355,42.0
2021-07,28.0,130.0,11.0,26.0,5.0,11.0,0.4,46.0
2021-08,24.0,88.0,10.0,23.0,6.0,11.0,0.37,45.0
2021-09,35.5,168.5,17.0,32.5,5.5,12.0,0.395,62.0
2021-10,35.0,137.0,15.0,34.0,6.0,19.0,0.39,38.0
2021-11,45.0,123.0,22.5,44.0,6.0,25.5,0.535,31.0
2021-12,57.0,146.0,34.0,60.0,6.0,33.0,0.54,28.0
2022-01,38.0,80.0,25.0,38.0,6.0,25.0,0.56,34.0
2022-02,26.0,57.5,16.5,23.0,6.0,14.5,0.47,49.0
2022-03,39.0,78.0,21.0,39.0,6.0,18.0,0.42,56.0
