年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,83,35,59,92,37,46,0.87,53
2013-11,109,100,84,127,46,66,1.21,92
2013-12,215,107,154,209,58,80,1.78,56
2014-01,237,162,192,235,55,70,1.77,64
2014-02,77,93,56,77,25,60,1.08,81
2014-03,96,113,69,133,58,71,1.38,113
2014-04,129,162,97,118,27,42,1.0,129
2014-05,106,148,79,117,30,44,1.02,137
2014-06,120,134,64,92,28,34,1.04,170
2014-07,66,93,46,69,17,30,0.76,99
2014-08,75,148,51,65,25,36,1.01,92
2014-09,83,143,56,86,21,43,0.84,118
2014-10,107,165,78,117,23,39,0.94,95
2014-11,124,183,93,127,33,58,1.2,83
2014-12,130,178,98,154,56,78,1.12,64
2015-01,195,373,148,186,44,81,1.94,72
2015-02,155,317,118,167,24,60,1.09,117
2015-03,101,265,74,87,65,64,1.09,115
2015-04,104,280,69,92,23,49,1.06,130
2015-05,87,291,63,86,30,55,0.91,128
2015-06,73,265,49,69,19,32,0.75,87
2015-07,59,220,40,59,17,26,0.85,84
2015-08,78,284,45,66,17,20,0.71,99
2015-09,104,362,77,97,22,36,0.85,100
2015-10,102,277,76,95,28,42,1.04,97
2015-11,129,296,97,112,36,55,1.24,56
2015-12,118,355,88,109,22,59,1.54,49
2016-01,180,349,138,173,18,54,1.64,70
2016-02,136,341,99,147,19,44,0.94,85
2016-03,101,244,74,100,32,57,0.94,97
2016-04,82,284,53,76,24,41,1.07,115
2016-05,91,319,53,76,14,32,1.08,133
2016-06,64,203,33,50,16,29,0.79,108
2016-07,69,263,40,58,16,22,0.58,110
2016-08,81,347,44,59,16,23,0.84,130
2016-09,74,254,50,64,12,24,0.83,111
2016-10,86,313,63,75,15,39,0.99,81
2016-11,93,213,68,98,23,43,1.67,65
2016-12,131,269,98,131,29,48,1.25,56
2017-01,145,249,111,145,27,48,0.95,76
2017-02,113,301,85,116,20,44,0.93,109
2017-03,104,324,78,100,27,58,0.76,94
2017-04,82,225,51,97,16,39,0.97,113
2017-05,90,254,45,91,15,27,0.76,125
2017-06,61,229,42,61,11,30,0.87,75
2017-07,87,301,45,68,14,21,0.71,128
2017-08,57,298,29,54,11,20,0.65,77
2017-09,84,278,50,68,11,26,1.0,129
2017-10,92,316,61,75,14,31,1.19,99
2017-11,92,311,66,100,16,54,1.8,97
2017-12,150,344,115,149,19,71,1.72,79
2018-01,149,257,112,128,18,60,1.56,87
2018-02,136,356,102,108,10,31,0.97,80
2018-03,78,234,57,76,10,45,1.03,97
2018-04,105,297,70,157,13,36,0.94,119
2018-05,69,218,40,75,8,29,0.78,124
2018-06,66,210,36,52,7,26,0.77,104
2018-07,65,237,36,51,8,21,0.63,95
2018-08,70,232,48,60,7,30,0.86,112
2018-09,62,242,33,59,7,23,0.63,99
2018-10,68,270,46,73,11,38,0.76,99
2018-11,66,166,44,77,9,38,0.92,80
2018-12,109,272,81,101,12,52,1.29,47
2019-01,106,304,77,106,9,40,1.27,65
2019-02,65,161,47,65,6,31,1.1,66
2019-03,86,346,61,84,10,35,0.97,91
2019-04,70,301,46,87,8,39,0.73,89
2019-05,73,252,41,84,10,29,0.72,109
2019-06,57,216,26,50,7,24,0.76,82
2019-07,40,188,18,40,7,21,0.57,60
2019-08,43,181,24,43,5,15,0.63,90
2019-09,71,274,46,72,8,26,0.75,124
2019-10,98,360,73,115,7,36,1.09,97
2019-11,82,250,47,115,7,39,0.85,73
2019-12,88,289,64,93,8,60,1.5,55
2020-01,81,219,59,68,7,54,1.08,80
2020-02,69,210,43,82,5,16,0.79,105
2020-03,65,218,42,74,11,36,0.9,82
2020-04,70,266,49,83,7,31,0.75,133
2020-05,58,310,32,60,5,26,0.74,123
2020-06,37,205,19,38,4,24,0.59,66
2020-07,39,252,17,39,5,20,0.53,80
2020-08,48,299,27,51,8,17,0.7,84
2020-09,54,313,33,60,6,28,0.76,108
2020-10,69,268,35,87,7,31,0.61,98
2020-11,75,313,45,102,9,39,1.21,93
2020-12,82,289,58,91,9,50,1.17,53
2021-01,127,306,86,142,11,49,1.0,76
2021-02,75,291,52,79,8,30,0.86,99
2021-03,71,203,41,92,8,32,0.71,83
2021-04,79,299,40,108,8,36,0.78,119
2021-05,53,317,27,58,7,27,0.84,122
2021-06,46,264,21,42,7,23,0.55,98
2021-07,44,296,25,44,7,20,0.56,98
2021-08,43,221,22,42,6,16,0.53,70
2021-09,53,297,27,57,7,22,0.63,113
2021-10,75,280,54,82,7,33,0.63,95
2021-11,69,263,50,80,7,43,0.72,54
2021-12,85,298,62,95,8,46,0.81,53
2022-01,123,313,93,116,9,42,0.86,63
2022-02,76,303,56,64,7,28,0.65,76
2022-03,71,196,51,80,8,33,0.82,79
