年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,56,41,21,60,10,15,0.55,17
2015-02,50,53,18,53,2,5,0.24,32
2015-03,45,63,17,41,6,8,0.33,52
2015-04,44,71,23,36,1,8,0.3,43
2015-05,50,132,21,43,2,6,0.17,70
2015-06,49,126,16,38,2,7,0.26,68
2015-07,50,127,16,26,4,10,0.14,62
2015-08,39,61,18,33,4,11,0.31,46
2015-09,42,131,18,38,3,9,0.24,33
2015-10,40,90,20,40,3,7,0.21,26
2015-11,36,73,17,34,2,5,0.32,12
2015-12,37,35,17,33,3,4,0.32,9
2016-01,36,20,16,21,6,4,0.43,21
2016-02,34,18,16,24,6,3,0.32,26
2016-03,38,32,11,28,5,6,0.32,47
2016-04,54,86,16,41,3,4,0.21,58
2016-05,39,62,9,14,3,5,0.23,54
2016-06,49,151,10,26,4,6,0.22,80
2016-07,43,101,16,24,2,10,0.29,71
2016-08,35,34,11,21,6,9,0.4,46
2016-09,47,72,19,37,7,14,0.5,42
2016-10,49,169,22,50,2,8,0.33,34
2016-11,43,50,18,38,9,11,0.56,29
2016-12,55,60,25,58,8,7,0.36,14
2017-01,38,32,20,35,10,8,0.4,16
2017-02,36,37,19,31,10,6,0.4,25
2017-03,33,6,15,25,8,8,0.38,42
2017-04,42,51,17,38,8,6,0.35,54
2017-05,51,72,20,39,5,4,0.33,65
2017-06,55,214,14,30,4,8,0.4,86
2017-07,45,104,18,37,3,8,0.42,83
2017-08,53,200,15,37,4,6,0.59,56
2017-09,45,98,16,40,4,9,0.47,38
2017-10,28,47,15,22,4,11,0.43,23
2017-11,42,50,20,37,6,10,0.48,21
2017-12,38,21,14,32,5,9,0.44,13
2018-01,44,17,19,44,4,5,0.45,22
2018-02,40,14,18,37,3,5,0.51,34
2018-03,57,113,25,68,6,11,0.44,45
2018-04,55,76,14,30,4,6,0.4,52
2018-05,67,164,19,50,4,5,0.39,72
2018-06,56,178,16,38,6,9,0.39,81
2018-07,59,259,20,33,5,7,0.5,92
2018-08,41,102,18,34,4,8,0.5,66
2018-09,32,48,12,26,4,7,0.38,37
2018-10,35,40,14,28,5,7,0.39,28
2018-11,37,87,16,34,5,8,0.45,23
2018-12,42,72,14,40,7,8,0.52,13
2019-01,40,24,16,38,7,7,0.45,14
2019-02,40,72,15,37,7,7,0.55,40
2019-03,44,50,14,34,5,6,0.37,42
2019-04,49,129,11,18,5,7,0.25,59
2019-05,45,136,11,29,3,6,0.35,65
2019-06,38,103,10,27,5,10,0.4,47
2019-07,42,190,8,23,6,10,0.45,73
2019-08,34,140,9,25,7,9,0.51,71
2019-09,28,39,8,22,6,8,0.4,57
2019-10,26,71,8,24,5,9,0.38,24
2019-11,36,60,14,36,4,6,0.4,18
2019-12,29,32,12,27,5,10,0.45,14
2020-01,39,66,17,41,7,15,0.51,9
2020-02,24,37,10,17,7,5,0.38,39
2020-03,26,23,9,19,5,5,0.32,47
2020-04,38,100,11,37,6,8,0.38,47
2020-05,29,60,10,23,5,4,0.38,54
2020-06,40,203,12,37,6,8,0.45,61
2020-07,40,196,12,37,5,7,0.55,74
2020-08,27,86,10,21,5,10,0.55,45
2020-09,30,148,13,30,9,15,0.59,34
2020-10,34,76,13,31,6,7,0.34,20
2020-11,25,59,12,22,4,6,0.41,21
2020-12,26,28,13,23,6,7,0.39,14
2021-01,35,50,12,34,7,4,0.41,17
2021-02,34,82,11,34,7,8,0.46,24
2021-03,36,64,12,38,7,10,0.5,15
2021-04,29,80,8,28,7,5,0.4,50
2021-05,32,207,8,28,6,6,0.35,55
2021-06,36,178,9,30,6,3,0.31,44
2021-07,41,258,9,32,7,8,0.39,71
2021-08,22,60,7,16,6,3,0.4,49
2021-09,30,192,9,21,5,11,0.46,49
2021-10,31,137,7,30,7,5,0.43,30
2021-11,43,166,10,46,6,3,0.34,21
2021-12,41,65,14,44,8,7,0.42,14
2022-01,34,32,15,35,10,16,0.45,9
2022-02,34,90,13,32,10,10,0.39,31
2022-03,41,124,15,42,6,4,0.43,38
