年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,225,185,169,202,43,74,1.37,16
2014-01,31,1,21,27,12,19,0.45,2
2014-02,10,1,6,9,6,8,0.28,6
2014-03,16,1,10,15,5,15,0.63,7
2014-04,28,1,16,27,6,21,0.59,7
2014-05,29,6,12,27,8,13,0.52,16
2014-06,34,16,20,27,7,10,0.56,15
2014-07,22,1,11,19,8,9,0.4,19
2014-08,31,14,13,28,4,10,0.36,29
2014-09,27,5,13,25,7,12,0.41,13
2014-10,38,15,23,32,17,17,0.45,16
2014-11,34,7,13,18,34,18,0.36,10
2014-12,39,1,14,36,19,24,0.57,13
2015-01,28,18,17,8,24,19,0.58,15
2015-02,23,16,7,13,8,14,0.69,13
2015-03,32,20,18,22,14,15,0.63,10
2015-04,36,24,17,26,7,11,0.55,22
2015-05,38,49,16,31,15,15,0.65,28
2015-06,32,36,13,18,11,9,0.51,27
2015-07,31,35,12,21,19,11,0.5,37
2015-08,24,18,9,17,27,8,0.4,28
2015-09,23,4,10,13,26,11,0.56,35
2015-10,26,8,14,20,12,17,0.54,19
2015-11,16,2,8,11,7,18,0.55,11
2015-12,38,84,23,25,9,20,0.54,9
2016-01,39,51,20,6,20,13,0.54,14
2016-02,39,82,23,32,23,8,0.6,29
2016-03,34,60,14,24,13,12,0.61,21
2016-04,33,11,12,14,27,12,0.66,19
2016-05,39,78,13,21,23,9,0.63,40
2016-06,34,51,11,19,11,8,0.62,38
2016-07,20,10,7,11,11,6,0.42,30
2016-08,37,114,15,35,10,10,0.75,35
2016-09,21,8,7,6,6,9,0.62,33
2016-10,18,2,10,11,5,13,0.59,14
2016-11,21,16,9,13,7,13,0.62,18
2016-12,33,37,22,9,10,21,0.63,13
2017-01,28,12,19,16,9,9,0.7,18
2017-02,41,68,28,32,9,12,0.65,23
2017-03,41,44,25,4,8,8,0.52,23
2017-04,35,35,11,12,7,12,0.41,39
2017-05,38,39,17,12,13,11,0.45,40
2017-06,27,31,14,16,13,12,0.46,39
2017-07,21,16,13,15,10,10,0.46,39
2017-08,28,24,11,17,9,9,0.43,40
2017-09,33,49,13,21,9,11,0.49,43
2017-10,24,26,11,6,6,12,0.33,31
2017-11,38,92,18,25,5,16,0.57,19
2017-12,38,68,26,9,7,23,0.54,12
2018-01,18,6,10,4,5,12,0.52,15
2018-02,25,8,17,11,8,11,0.53,31
2018-03,29,14,16,19,5,12,0.46,22
2018-04,28,8,16,24,6,16,0.45,36
2018-05,34,24,10,18,5,7,0.35,40
2018-06,29,34,12,25,5,9,0.41,34
2018-07,25,16,9,18,6,10,0.38,43
2018-08,30,69,6,24,6,8,0.38,56
2018-09,26,43,9,22,7,11,0.49,33
2018-10,51,179,18,11,7,20,0.48,25
2018-11,16,6,9,13,6,15,0.43,8
2018-12,18,15,7,13,5,11,0.56,6
2019-01,34,70,22,25,5,15,0.54,10
2019-02,25,34,14,19,5,6,0.52,17
2019-03,41,76,21,24,5,13,0.36,21
2019-04,40,73,21,25,4,11,0.4,23
2019-05,37,78,12,24,6,9,0.29,42
2019-06,31,95,13,26,6,10,0.42,31
2019-07,28,66,11,26,5,9,0.45,44
2019-08,34,133,12,31,5,10,0.45,43
2019-09,27,73,13,16,7,10,0.39,65
2019-10,39,155,22,32,7,13,0.33,17
2019-11,26,44,15,15,6,16,0.39,7
2019-12,28,44,18,14,6,18,0.37,2
2020-01,18,58,11,12,6,8,0.3,3
2020-02,21,33,8,17,6,6,0.35,22
2020-03,22,58,8,14,7,10,0.33,26
2020-04,35,70,24,29,7,18,0.36,48
2020-05,34,87,17,30,8,14,0.47,41
2020-06,18,35,9,17,6,10,0.38,21
2020-07,14,9,3,6,7,10,0.42,22
2020-08,19,49,7,15,5,9,0.37,39
2020-09,23,95,6,14,5,10,0.38,37
2020-10,18,39,6,8,4,15,0.4,30
2020-11,19,20,11,14,4,18,0.37,5
2020-12,37,79,21,37,5,16,0.5,6
2021-01,46,96,20,48,4,22,0.36,8
2021-02,20,39,8,12,3,14,0.36,11
2021-03,28,43,19,25,4,16,0.36,19
2021-04,24,57,14,23,3,14,0.4,19
2021-05,21,11,7,15,4,7,0.43,30
2021-06,22,58,10,20,4,6,0.43,25
2021-07,14,19,5,11,4,5,0.38,25
2021-08,20,55,4,8,4,8,0.38,37
2021-09,27,79,8,18,5,11,0.35,55
2021-10,22,76,7,13,5,11,0.21,16
2021-11,26,66,13,25,5,15,0.29,13
2021-12,34,91,22,33,4,17,0.29,9
2022-01,19,17,11,15,4,14,0.44,16
2022-02,27,101,18,21,5,12,0.36,22
2022-03,15,6,5,8,4,14,0.33,28
