年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,125,88,88,150,40,51,1.66,80
2014-01,231,154,181,240,69,65,2.76,98
2014-02,98,107,72,112,54,53,2.52,71
2014-03,106,71,70,129,44,58,2.54,67
2014-04,82,73,60,90,28,38,2.5,87
2014-05,103,164,46,80,23,57,2.53,173
2014-06,119,135,66,114,40,35,1.16,147
2014-07,70,116,48,74,31,29,1.28,79
2014-08,77,141,50,76,44,25,1.35,99
2014-09,89,180,60,87,43,32,1.7,79
2014-10,139,166,105,148,53,46,2.02,115
2014-11,107,141,79,113,63,50,2.3,76
2014-12,98,153,72,137,96,58,2.31,70
2015-01,160,327,120,164,53,63,1.74,59
2015-02,138,261,104,132,54,71,1.81,58
2015-03,92,253,67,97,38,72,2.76,36
2015-04,128,342,96,105,39,49,1.7,78
2015-05,81,248,59,59,32,32,1.34,68
2015-06,51,156,23,53,27,25,1.08,39
2015-07,81,224,56,92,36,30,1.44,51
2015-08,100,327,73,118,51,35,1.34,91
2015-09,106,351,79,102,30,32,1.5,68
2015-10,114,320,85,113,47,36,1.55,61
2015-11,113,329,81,113,55,50,1.52,53
2015-12,126,252,95,116,55,59,2.75,42
2016-01,111,228,83,108,74,60,2.47,37
2016-02,146,186,113,139,69,40,1.65,53
2016-03,131,276,99,137,27,61,2.19,56
2016-04,121,341,90,106,27,63,1.55,47
2016-05,94,326,69,90,38,49,1.21,84
2016-06,73,249,50,61,48,35,1.1,60
2016-07,88,330,64,88,50,32,1.24,87
2016-08,95,342,69,98,34,34,1.21,88
2016-09,101,350,71,104,39,39,1.25,105
2016-10,53,263,31,55,25,35,1.12,76
2016-11,155,326,116,175,24,62,1.67,93
2016-12,132,328,100,127,22,64,1.29,74
2017-01,218,300,187,157,20,62,1.52,74
2017-02,103,308,77,102,21,39,1.05,88
2017-03,86,259,63,99,23,63,1.47,79
2017-04,83,250,58,99,52,45,1.13,118
2017-05,116,321,64,93,16,49,0.97,148
2017-06,48,150,23,48,25,27,0.92,71
2017-07,88,331,61,90,55,31,1.02,115
2017-08,65,336,39,77,46,31,0.84,72
2017-09,105,341,68,105,29,39,1.11,116
2017-10,127,338,96,130,21,46,1.15,102
2017-11,114,304,86,113,25,49,1.15,101
2017-12,134,295,99,113,30,70,1.16,81
2018-01,197,360,152,135,33,72,1.45,86
2018-02,105,227,78,91,22,49,1.05,82
2018-03,91,225,50,89,16,43,1.06,107
2018-04,93,193,59,98,18,64,1.13,103
2018-05,61,115,33,58,42,42,0.9,79
2018-06,79,258,50,71,23,37,0.98,99
2018-07,65,294,39,65,13,26,0.89,76
2018-08,72,287,46,65,20,27,1.03,104
2018-09,59,247,39,59,32,31,0.82,72
2018-10,91,345,67,101,44,48,1.07,100
2018-11,98,350,73,100,39,56,1.13,65
2018-12,107,245,80,112,29,58,1.26,44
2019-01,97,242,71,103,45,58,1.54,68
2019-02,71,182,49,85,25,40,1.86,82
2019-03,98,323,67,134,41,54,1.23,79
2019-04,73,264,51,78,16,52,1.13,49
2019-05,62,115,40,64,27,36,0.87,72
2019-06,60,265,29,49,12,27,0.82,100
2019-07,75,311,33,59,17,27,0.75,105
2019-08,76,342,51,95,36,33,0.9,84
2019-09,92,350,59,101,34,54,0.92,98
2019-10,90,359,66,101,41,47,1.0,94
2019-11,86,330,63,100,33,60,1.04,108
2019-12,102,322,76,122,43,79,1.34,82
2020-01,81,184,58,92,22,64,1.16,67
2020-02,62,221,44,55,14,27,0.8,70
2020-03,87,306,64,63,16,51,1.08,76
2020-04,61,209,41,64,36,64,0.94,84
2020-05,56,246,36,54,30,36,0.82,84
2020-06,36,176,24,35,24,25,0.68,80
2020-07,38,175,21,37,35,29,0.53,78
2020-08,70,347,49,79,55,39,0.89,80
2020-09,61,315,42,68,41,31,0.89,81
2020-10,63,255,40,68,33,47,0.93,87
2020-11,82,306,57,83,29,49,0.97,102
2020-12,104,288,78,104,32,67,1.11,83
2021-01,111,334,79,132,64,88,1.18,86
2021-02,61,231,41,71,28,40,0.96,95
2021-03,92,335,61,134,13,49,1.08,90
2021-04,70,285,49,86,18,39,0.93,80
2021-05,53,171,32,56,20,32,0.89,65
2021-06,72,293,37,62,16,32,0.83,114
2021-07,47,324,24,48,25,25,0.8,92
2021-08,48,300,20,44,21,31,0.79,77
2021-09,61,337,36,73,32,33,0.87,92
2021-10,90,357,67,85,13,33,0.93,115
2021-11,72,310,49,86,22,44,0.96,63
2021-12,123,323,93,115,21,54,1.15,76
2022-01,110,249,83,132,21,56,1.17,79
2022-02,64,183,44,63,20,42,0.85,81
2022-03,63,289,42,74,15,42,0.8,85
