年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,125,88,88,150,40,51,1.66,80
2014-01,30,1,17,7,4,12,1.75,13
2014-02,25,5,4,8,3,5,0.94,7
2014-03,17,1,5,14,3,15,1.24,4
2014-04,26,1,8,17,4,9,1.24,13
2014-05,21,1,6,13,5,5,0.71,8
2014-06,23,1,6,15,5,5,0.56,22
2014-07,19,1,4,8,6,5,0.77,22
2014-08,20,1,8,16,7,7,0.9,10
2014-09,20,2,7,14,9,7,1.19,22
2014-10,41,3,23,36,13,14,1.25,47
2014-11,19,2,8,11,13,10,1.58,7
2014-12,19,3,6,11,12,6,0.57,10
2015-01,20,1,9,17,13,23,0.9,8
2015-02,22,2,11,20,6,7,1.12,6
2015-03,18,2,7,9,7,13,0.78,0
2015-04,15,2,8,12,6,4,0.69,9
2015-05,23,3,10,18,6,7,0.54,11
2015-06,22,7,9,21,7,3,0.62,10
2015-07,22,11,9,20,7,4,0.67,15
2015-08,32,49,13,31,8,7,0.72,12
2015-09,23,15,12,22,9,9,0.6,12
2015-10,28,14,14,17,9,4,0.8,8
2015-11,17,7,11,6,11,11,0.81,4
2015-12,16,3,8,5,12,12,0.83,3
2016-01,17,8,8,10,13,12,1.02,3
2016-02,15,1,7,6,13,4,0.93,8
2016-03,11,1,6,5,15,7,0.57,4
2016-04,26,1,11,19,15,7,0.75,10
2016-05,30,20,11,26,12,7,0.59,13
2016-06,28,26,11,27,12,9,0.73,17
2016-07,25,29,10,22,12,6,0.78,14
2016-08,24,12,12,16,14,8,0.68,28
2016-09,24,12,9,13,3,13,0.83,13
2016-10,19,6,9,15,2,14,0.67,22
2016-11,13,3,6,10,4,16,0.69,7
2016-12,37,21,23,28,6,17,0.74,9
2017-01,15,1,7,8,5,8,0.67,5
2017-02,25,14,14,18,8,10,0.51,22
2017-03,26,7,12,20,4,10,0.63,5
2017-04,27,9,10,16,4,10,0.58,16
2017-05,27,5,11,20,4,10,0.6,29
2017-06,22,6,8,19,4,5,0.48,22
2017-07,18,8,8,16,6,6,0.54,18
2017-08,22,17,11,14,5,9,0.54,25
2017-09,22,13,10,20,5,17,0.59,7
2017-10,18,1,5,9,8,15,0.6,17
2017-11,13,1,7,12,6,16,0.59,11
2017-12,21,9,13,18,6,18,0.5,6
2018-01,27,11,15,4,6,14,0.45,3
2018-02,14,2,9,7,6,12,0.5,19
2018-03,24,6,6,12,7,11,0.48,21
2018-04,28,9,10,24,7,12,0.52,13
2018-05,26,1,9,21,5,7,0.47,20
2018-06,21,9,4,7,5,8,0.54,20
2018-07,19,4,10,17,5,8,0.56,16
2018-08,20,4,10,16,5,12,0.65,25
2018-09,19,9,8,7,5,6,0.56,26
2018-10,18,2,10,15,6,17,0.57,11
2018-11,19,7,7,16,7,20,0.59,5
2018-12,11,8,6,9,4,16,0.68,4
2019-01,20,4,11,19,5,21,0.69,3
2019-02,15,5,6,12,4,4,0.53,4
2019-03,16,4,6,9,4,13,0.51,5
2019-04,22,3,9,15,4,8,0.51,5
2019-05,17,2,9,16,4,8,0.48,19
2019-06,21,6,6,16,4,4,0.42,5
2019-07,23,16,9,20,6,4,0.46,20
2019-08,26,58,12,24,7,8,0.59,32
2019-09,18,23,9,17,8,14,0.62,25
2019-10,32,58,13,32,9,21,0.6,6
2019-11,27,31,12,25,8,13,0.52,28
2019-12,30,23,18,29,10,23,0.55,7
2020-01,12,16,6,10,6,6,0.62,12
2020-02,10,6,3,7,5,6,0.41,20
2020-03,10,8,1,7,5,9,0.32,5
2020-04,12,3,3,8,6,14,0.46,5
2020-05,19,13,9,18,8,9,0.42,26
2020-06,15,10,5,14,10,6,0.35,21
2020-07,17,22,6,16,10,5,0.4,24
2020-08,12,3,4,9,8,6,0.4,13
2020-09,15,13,4,12,6,15,0.43,14
2020-10,17,8,6,15,8,11,0.58,30
2020-11,21,20,11,20,8,17,0.6,21
2020-12,14,9,7,10,7,17,0.54,14
2021-01,25,21,13,24,6,13,0.48,13
2021-02,12,7,7,8,5,10,0.55,11
2021-03,18,16,8,14,5,10,0.45,6
2021-04,16,8,7,12,6,14,0.48,10
2021-05,18,8,7,13,6,6,0.47,30
2021-06,18,12,6,15,6,8,0.58,25
2021-07,15,16,6,12,7,9,0.45,32
2021-08,16,18,7,15,7,10,0.43,21
2021-09,21,46,7,18,8,12,0.53,32
2021-10,12,11,5,7,6,9,0.55,27
2021-11,17,17,6,14,8,9,0.48,20
2021-12,18,6,8,18,4,12,0.54,5
2022-01,13,1,7,11,4,3,0.68,6
2022-02,9,1,4,4,5,4,0.42,6
2022-03,15,9,5,10,6,12,0.44,12
