年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,34,2,14,23,8,10,0.3,9
2015-02,39,31,6,20,16,7,0.73,16
2015-03,30,5,10,14,1,9,0.38,22
2015-04,29,4,9,11,4,7,0.39,32
2015-05,41,28,10,21,3,5,0.27,35
2015-06,30,27,10,18,2,8,0.29,15
2015-07,38,53,16,18,2,8,0.22,46
2015-08,36,51,12,21,1,9,0.2,37
2015-09,27,12,5,9,2,4,0.3,6
2015-10,27,2,9,14,2,5,0.22,7
2015-11,26,17,15,15,3,12,0.42,3
2015-12,49,72,33,30,5,20,0.73,3
2016-01,146,264,110,98,11,26,0.93,6
2016-02,63,157,38,46,6,18,0.98,25
2016-03,33,2,16,26,8,11,0.54,26
2016-04,35,8,9,14,3,7,0.35,36
2016-05,30,4,4,10,3,5,0.3,40
2016-06,34,67,9,10,3,7,0.42,51
2016-07,32,65,6,11,1,4,0.35,54
2016-08,37,57,13,8,4,5,0.43,38
2016-09,37,19,8,33,6,9,0.46,6
2016-10,27,9,5,13,2,8,0.32,18
2016-11,24,1,8,15,3,7,0.08,7
2016-12,68,120,48,65,5,12,0.93,5
2017-01,138,183,104,154,6,30,1.55,7
2017-02,31,3,13,24,11,25,0.84,16
2017-03,50,73,28,47,3,17,0.87,34
2017-04,33,3,8,20,4,11,0.64,32
2017-05,32,1,6,15,4,10,0.58,46
2017-06,36,40,6,13,4,11,0.47,53
2017-07,41,112,8,24,5,11,0.48,41
2017-08,30,27,7,19,5,14,0.5,48
2017-09,31,37,10,29,5,7,0.29,32
2017-10,25,12,8,19,5,12,0.54,8
2017-11,33,12,15,24,6,24,0.2,6
2017-12,56,80,31,42,11,24,1.0,3
2018-01,53,187,34,51,7,13,1.05,6
2018-02,76,152,55,66,7,18,1.43,24
2018-03,25,1,10,10,5,9,0.73,20
2018-04,38,4,5,16,8,7,0.68,54
2018-05,38,22,10,21,6,1,0.08,62
2018-06,44,76,7,25,7,7,0.4,60
2018-07,39,102,7,23,9,6,0.32,49
2018-08,39,114,5,17,9,8,0.4,62
2018-09,25,21,6,5,7,6,0.45,26
2018-10,22,7,7,14,5,8,0.57,13
2018-11,26,5,6,19,5,7,0.43,10
2018-12,90,242,60,82,4,21,0.99,9
2019-01,34,12,20,30,2,15,0.7,9
2019-02,33,58,21,24,2,14,0.86,31
2019-03,34,5,18,32,3,6,0.8,9
2019-04,30,9,10,10,5,5,0.53,38
2019-05,38,36,3,12,4,6,0.42,50
2019-06,34,78,1,15,5,4,0.18,51
2019-07,30,92,6,18,6,9,0.28,58
2019-08,28,58,8,26,6,7,0.36,33
2019-09,21,38,5,15,7,8,0.35,35
2019-10,17,10,4,12,7,5,0.37,11
2019-11,17,9,9,13,7,11,0.56,12
2019-12,49,144,33,47,5,16,0.8,5
2020-01,123,231,93,121,5,22,1.3,11
2020-02,31,95,20,0,7,3,0.75,39
2020-03,21,5,5,14,6,5,0.23,38
2020-04,33,29,6,31,5,7,0.22,37
2020-05,32,58,7,29,8,6,0.34,54
2020-06,23,51,6,18,8,5,0.34,49
2020-07,16,14,9,14,6,3,0.38,50
2020-08,8,3,2,8,2,1,0.11,34
2020-09,11,3,8,20,7,7,0.12,27
2020-10,21,28,9,28,7,6,0.41,4
2020-11,18,9,9,16,7,8,0.43,9
2020-12,50,226,42,46,1,16,0.51,3
2021-01,78,119,56,78,4,29,0.96,9
2021-02,33,95,10,33,3,10,0.58,33
2021-03,25,16,10,20,3,7,0.47,41
2021-04,26,26,10,21,3,5,0.34,48
2021-05,31,84,11,25,4,5,0.39,50
2021-06,26,75,8,18,5,7,0.23,56
2021-07,22,48,10,13,4,7,0.21,59
2021-08,26,104,9,14,6,8,0.16,53
2021-09,25,66,10,17,5,11,0.15,35
2021-10,17,16,9,13,4,6,0.32,21
2021-11,26,33,9,26,2,6,0.35,12
2021-12,46,61,28,41,1,20,0.72,7
2022-01,85,219,63,75,1,19,1.16,6
2022-02,55,248,38,54,2,23,0.85,18
2022-03,20,2,8,12,4,8,0.43,30
