年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,196,321,152,165,50,69,1.98,61
2015-02,157,275,119,166,63,41,1.85,73
2015-03,130,330,98,126,51,42,2.13,70
2015-04,145,344,102,154,38,45,1.87,99
2015-05,101,350,74,140,52,84,0.98,93
2015-06,174,366,137,193,48,29,1.14,158
2015-07,94,327,69,87,55,42,0.65,75
2015-08,137,353,103,114,61,72,1.15,95
2015-09,151,365,114,164,59,80,1.45,86
2015-10,233,366,193,248,89,99,2.23,154
2015-11,168,352,127,169,265,60,2.15,136
2015-12,268,355,217,240,163,144,4.37,155
2016-01,223,340,176,238,60,83,3.08,55
2016-02,157,341,120,159,67,74,2.5,79
2016-03,149,304,112,139,80,75,1.42,113
2016-04,158,352,121,172,54,58,1.23,115
2016-05,138,347,89,195,36,49,1.13,139
2016-06,100,351,74,88,27,47,1.25,110
2016-07,82,325,57,61,17,33,1.66,109
2016-08,91,353,65,102,37,63,1.92,128
2016-09,122,351,91,115,69,67,1.71,108
2016-10,159,356,119,133,38,59,1.68,71
2016-11,239,364,189,229,63,56,2.11,89
2016-12,325,363,277,343,68,73,2.41,75
2017-01,286,352,236,308,59,68,2.59,85
2017-02,269,364,224,308,73,72,1.61,102
2017-03,168,351,128,213,57,56,1.21,118
2017-04,147,359,111,147,31,36,1.14,122
2017-05,358,346,186,508,28,31,1.06,154
2017-06,124,346,57,119,19,37,1.09,170
2017-07,117,356,81,156,13,25,1.64,129
2017-08,85,360,46,83,29,31,1.37,133
2017-09,116,351,75,135,32,39,1.27,134
2017-10,221,364,170,192,50,78,2.2,98
2017-11,192,358,152,206,42,88,1.59,85
2017-12,331,366,280,351,59,101,2.03,49
2018-01,314,358,263,301,45,76,2.17,70
2018-02,333,367,331,356,67,50,1.49,92
2018-03,168,354,122,171,32,56,1.17,119
2018-04,255,355,110,370,21,37,0.99,142
2018-05,141,359,87,199,20,31,0.91,164
2018-06,136,350,61,106,14,23,0.83,178
2018-07,90,326,37,73,14,23,0.74,128
2018-08,102,340,53,94,14,19,1.11,153
2018-09,87,363,62,90,18,47,1.18,127
2018-10,131,361,99,148,17,52,1.09,129
2018-11,260,356,209,321,15,60,1.68,87
2018-12,196,342,150,218,14,68,1.81,44
2019-01,286,357,236,280,14,77,2.14,71
2019-02,310,362,329,323,14,60,1.28,101
2019-03,143,348,108,153,10,49,0.77,102
2019-04,125,349,92,171,13,43,1.33,124
2019-05,120,344,51,188,15,36,1.01,139
2019-06,104,352,39,113,12,18,1.1,161
2019-07,101,345,41,61,10,21,0.93,155
2019-08,78,351,45,74,20,15,1.1,134
2019-09,84,342,52,90,21,34,1.1,140
2019-10,311,362,111,432,14,52,1.14,108
2019-11,167,364,127,228,29,63,1.21,107
2019-12,177,352,133,178,14,60,1.49,63
2020-01,262,351,212,268,17,51,1.93,93
2020-02,145,361,110,160,8,27,1.13,96
2020-03,135,349,102,158,10,33,1.11,120
2020-04,98,358,69,141,14,31,0.66,150
2020-05,88,352,41,121,11,26,0.67,158
2020-06,114,354,36,178,7,25,0.62,150
2020-07,65,343,36,60,6,22,0.8,143
2020-08,59,309,38,66,8,22,0.88,117
2020-09,85,349,61,97,17,34,0.76,134
2020-10,146,362,102,242,13,53,0.96,97
2020-11,142,359,107,180,14,50,1.29,85
2020-12,205,338,160,201,19,67,1.45,65
2021-01,252,362,204,309,14,54,1.7,67
2021-02,126,343,95,170,11,27,0.93,90
2021-03,429,349,139,996,11,27,0.78,93
2021-04,288,360,66,382,10,40,0.8,113
2021-05,346,355,94,527,15,16,1.09,148
2021-06,93,357,40,111,9,20,0.9,167
2021-07,58,355,18,34,5,9,0.8,150
2021-08,56,333,32,63,11,12,0.95,122
2021-09,72,360,43,94,8,16,0.87,124
2021-10,146,359,110,182,13,47,0.89,114
2021-11,198,360,152,241,23,59,1.25,106
2021-12,215,366,165,225,11,47,1.44,52
2022-01,188,318,144,208,12,49,1.44,74
2022-02,113,318,84,132,13,30,0.66,109
2022-03,253,325,96,310,9,25,0.74,107
