年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,49,33,30,49,15,25,0.95,4
2015-02,39,20,18,33,14,18,1.21,17
2015-03,31,6,14,26,11,12,0.85,27
2015-04,44,18,16,40,3,7,0.63,43
2015-05,39,20,10,25,4,4,0.37,43
2015-06,37,48,10,19,3,4,0.4,44
2015-07,36,65,11,19,4,12,0.7,55
2015-08,34,42,10,17,4,11,0.87,23
2015-09,29,17,10,16,2,10,0.52,5
2015-10,22,1,7,13,3,15,0.55,4
2015-11,27,19,14,19,8,19,0.72,4
2015-12,26,8,12,16,14,12,1.21,7
2016-01,49,83,33,41,19,30,1.53,7
2016-02,46,33,10,40,31,14,1.11,30
2016-03,25,1,8,17,9,15,0.61,21
2016-04,33,4,11,20,6,8,0.8,46
2016-05,29,4,7,18,3,9,0.66,42
2016-06,33,42,8,17,1,12,0.73,60
2016-07,36,101,9,14,2,11,0.83,56
2016-08,37,88,10,20,4,10,0.71,33
2016-09,35,34,10,20,4,12,0.78,25
2016-10,27,23,8,17,5,13,0.73,14
2016-11,29,2,16,23,11,19,0.89,13
2016-12,31,2,19,28,21,23,1.02,8
2017-01,44,28,30,34,29,37,1.65,16
2017-02,40,18,25,31,21,22,1.13,23
2017-03,37,8,19,37,13,16,0.83,27
2017-04,28,1,11,15,9,11,0.72,41
2017-05,35,6,11,17,9,9,0.64,51
2017-06,39,73,11,20,8,8,0.63,53
2017-07,52,168,14,32,6,11,0.76,77
2017-08,48,166,14,27,6,10,0.7,59
2017-09,40,97,16,25,6,11,0.67,29
2017-10,33,67,12,17,7,17,0.75,20
2017-11,36,10,21,32,15,24,1.13,10
2017-12,31,1,17,25,18,17,0.84,6
2018-01,40,13,26,32,29,28,1.22,14
2018-02,50,17,34,39,29,25,0.99,29
2018-03,31,4,11,15,12,10,0.6,37
2018-04,33,2,11,18,8,6,0.53,48
2018-05,40,23,10,22,6,6,0.32,57
2018-06,33,12,10,20,7,11,0.44,62
2018-07,39,103,10,20,8,12,0.45,62
2018-08,39,96,10,21,8,11,0.49,65
2018-09,31,56,10,23,5,5,0.41,31
2018-10,31,43,14,19,5,12,0.54,17
2018-11,26,5,11,23,7,13,0.42,6
2018-12,37,20,21,30,9,14,0.69,8
2019-01,55,84,36,53,17,27,1.24,18
2019-02,43,75,26,30,18,19,0.94,35
2019-03,31,4,15,21,10,16,0.66,23
2019-04,31,5,9,20,7,9,0.48,40
2019-05,32,8,8,15,5,10,0.36,59
2019-06,34,38,10,16,5,9,0.49,54
2019-07,43,139,10,18,6,11,0.59,77
2019-08,41,189,14,24,8,12,0.57,67
2019-11,77,316,54,79,27,52,1.27,17
