年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,70,161,50,72,12,25,0.54,7
2015-02,70,137,48,69,10,8,0.36,20
2015-03,71,182,37,75,10,18,0.38,22
2015-04,55,137,36,54,9,12,0.36,21
2015-05,65,208,32,62,7,8,0.27,50
2015-06,27,16,10,15,8,9,0.27,41
2015-07,31,31,10,23,10,8,0.3,48
2015-08,34,40,13,30,9,12,0.54,33
2015-09,36,46,15,30,8,15,0.56,37
2015-10,41,71,16,42,11,15,0.37,27
2015-11,38,90,26,33,8,15,0.47,5
2015-12,46,121,19,48,6,24,0.42,7
2016-01,63,176,20,74,6,13,0.42,8
2016-02,44,131,18,42,15,10,0.38,25
2016-03,47,72,26,48,10,16,0.37,33
2016-04,31,33,15,29,7,12,0.24,27
2016-05,45,109,15,32,6,10,0.31,45
2016-06,30,34,10,25,5,8,0.4,33
2016-07,24,37,4,13,5,6,0.32,36
2016-08,25,17,10,14,5,11,0.36,37
2016-09,41,118,26,39,7,13,0.33,27
2016-10,24,13,13,21,4,20,0.38,11
2016-11,34,87,22,30,6,11,0.3,6
2016-12,69,112,44,73,13,27,0.48,6
2017-01,52,102,32,48,11,15,0.46,6
2017-02,63,92,36,64,7,12,0.45,27
2017-03,61,101,25,64,11,22,0.48,37
2017-04,48,108,23,45,7,14,0.67,23
2017-05,39,30,14,23,4,10,0.43,60
2017-06,36,80,20,21,3,9,0.49,50
2017-07,26,33,11,22,4,6,0.4,37
2017-08,30,38,15,29,4,10,0.43,44
2017-09,29,56,9,23,5,14,0.52,26
2017-10,28,54,15,26,5,10,0.34,24
2017-11,60,124,35,67,6,27,0.44,9
2017-12,55,86,27,60,7,25,0.85,14
2018-01,61,132,36,65,5,23,0.71,14
2018-02,59,153,34,54,6,15,0.78,36
2018-03,59,153,35,60,6,12,0.55,20
2018-04,53,171,27,48,4,11,0.47,36
2018-05,25,9,13,22,3,8,0.37,37
2018-06,44,144,18,33,4,7,0.38,80
2018-07,29,54,13,25,4,9,0.35,28
2018-08,29,51,12,19,5,9,0.39,56
2018-09,36,83,18,33,5,15,0.33,35
2018-10,44,103,15,39,4,20,0.35,21
2018-11,38,147,26,22,3,17,0.55,13
2018-12,56,242,32,61,3,24,0.48,3
2019-01,73,168,37,94,3,25,0.58,16
2019-02,60,168,42,54,3,8,0.49,16
2019-03,56,159,28,59,4,11,0.34,40
2019-04,49,123,25,47,3,11,0.42,34
2019-05,45,122,15,29,4,5,0.31,41
2019-06,26,77,10,23,3,5,0.41,50
2019-07,26,66,11,21,4,6,0.21,66
2019-08,29,119,15,25,5,8,0.25,60
2019-09,37,125,18,31,4,12,0.22,66
2019-10,21,33,11,16,3,15,0.13,26
2019-11,31,61,16,31,3,17,0.23,15
2019-12,49,88,32,47,4,25,0.51,3
2020-01,44,102,30,34,4,14,0.68,8
2020-02,30,101,16,26,3,6,0.47,33
2020-03,30,120,18,26,4,10,0.42,23
2020-04,42,55,17,36,3,11,0.45,22
2020-05,30,85,14,25,4,7,0.35,54
2020-06,19,36,6,10,3,4,0.32,59
2020-07,21,54,8,13,3,4,0.32,40
2020-08,24,100,10,21,3,4,0.32,38
2020-09,32,103,13,25,4,8,0.38,47
2020-10,39,112,19,36,4,15,0.44,19
2020-11,27,78,17,24,4,18,0.52,23
2020-12,40,103,20,40,5,17,0.43,16
2021-01,53,103,29,57,3,17,0.44,14
2021-02,47,129,27,49,2,10,0.56,15
2021-03,41,79,19,34,3,13,0.4,36
2021-04,39,149,19,38,3,8,0.21,46
2021-05,28,92,13,22,4,5,0.24,45
2021-06,23,69,11,19,6,5,0.33,52
2021-07,17,26,9,12,5,3,0.33,41
2021-08,22,84,9,15,5,6,0.27,48
2021-09,24,66,9,13,5,7,0.27,42
2021-10,18,69,12,14,4,10,0.18,21
2021-11,30,67,15,28,5,16,0.19,27
2021-12,46,108,23,48,5,17,0.3,26
2022-01,51,113,35,46,5,16,0.41,12
2022-02,43,157,29,39,5,10,0.29,25
2022-03,28,81,13,27,4,10,0.35,42
