年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,67,91,41,38,5,12,0.0,20
2015-02,54,75,26,57,2,5,0.67,21
2015-03,55,80,11,6,1,5,0.05,40
2015-04,50,54,7,18,1,4,0.28,33
2015-05,42,36,4,25,0,4,0.02,50
2015-06,42,117,4,23,1,4,0.27,73
2015-07,58,208,8,34,1,1,0.34,46
2015-08,44,76,0,21,0,1,0.59,38
2015-09,43,104,3,25,1,1,0.12,30
2015-10,53,74,4,49,1,1,0.24,40
2015-11,89,234,32,126,2,5,0.5,22
2015-12,61,132,13,68,2,2,0.09,17
2016-01,75,159,46,96,1,11,0.9,23
2016-02,91,69,48,89,1,5,0.59,31
2016-03,14,1,0,0,1,5,0.34,2
2016-04,48,99,10,24,1,3,0.47,72
2016-05,56,93,5,19,2,4,0.55,50
2016-06,61,186,6,24,2,3,0.38,77
2016-07,53,188,5,24,2,5,0.43,63
2016-08,44,93,0,0,1,8,0.0,54
2016-09,39,41,6,23,1,6,0.26,45
2016-10,49,148,7,42,1,12,0.45,32
2016-11,42,30,7,31,1,11,0.45,40
2016-12,88,131,43,123,2,16,0.93,8
2017-01,40,19,11,15,1,4,0.6,33
2017-02,47,76,8,30,3,4,0.57,61
2017-03,59,135,5,40,1,8,0.45,38
2017-04,71,194,12,22,2,9,0.18,110
2017-05,88,188,8,17,1,5,0.35,135
2017-06,51,145,6,23,1,5,0.49,86
2017-07,49,154,6,27,1,7,0.29,89
2017-08,68,296,6,20,2,1,0.48,79
2017-09,51,141,8,35,5,1,0.15,62
2017-10,52,67,8,49,5,3,0.08,46
2017-11,69,156,22,86,2,13,0.81,47
2017-12,57,102,8,44,2,6,0.85,33
2018-01,93,199,34,134,2,7,0.69,20
2018-02,64,54,21,75,2,8,0.7,62
2018-03,69,180,9,80,1,5,0.42,28
2018-04,58,44,6,31,2,4,0.21,59
2018-05,64,176,3,20,1,1,0.23,75
2018-06,58,157,4,19,4,0,0.5,62
2018-07,78,314,6,29,1,1,0.58,105
2018-08,81,328,6,1,3,3,0.4,85
2018-09,50,229,4,14,1,3,0.34,42
2018-10,45,89,16,36,1,2,0.3,53
2018-11,39,90,11,36,2,2,0.45,2
2018-12,104,263,40,152,4,4,0.59,25
2019-01,55,85,24,46,4,1,0.2,21
2019-02,79,203,12,71,4,4,0.43,16
2019-03,60,159,8,60,5,3,0.13,45
2019-04,45,132,5,24,6,0,0.46,64
2019-05,55,132,4,8,6,1,0.3,73
2019-06,44,138,4,6,2,3,0.1,68
2019-07,40,149,4,16,3,1,0.16,74
2019-08,38,126,6,34,3,18,0.45,67
2019-09,32,93,6,26,2,13,0.13,17
2019-10,33,66,5,30,2,13,0.15,35
2019-11,38,58,15,40,4,20,0.1,26
2019-12,68,200,39,74,4,29,0.81,28
2020-01,24,14,16,21,1,12,0.4,19
2020-02,50,125,27,50,3,14,1.46,65
2020-03,0,2,0,0,0,0,0.0,0
2020-04,0,2,0,0,0,0,0.0,0
2020-05,22,11,5,16,1,7,0.0,56
2020-06,18,29,5,17,2,6,0.02,65
2020-07,16,22,5,10,5,4,0.0,84
2020-08,0,1,0,0,0,0,0.0,0
2020-09,0,1,0,0,0,0,0.0,0
2020-10,33,42,10,29,5,6,0.27,36
2020-11,0,1,0,0,1,1,0.08,0
2020-12,0,1,12,12,3,8,0.37,0
2021-01,0,1,6,19,3,11,0.73,0
2021-02,30,13,10,26,4,7,0.37,56
2021-03,36,36,5,36,2,2,0.28,48
2021-04,30,33,5,19,3,2,0.22,74
2021-05,39,130,6,23,3,2,0.17,68
2021-06,32,78,5,23,3,2,0.12,84
2021-07,29,152,7,21,4,3,0.15,82
2021-08,36,150,4,22,2,2,0.2,87
2021-09,36,213,8,30,2,7,0.21,72
2021-10,34,109,6,31,2,4,0.2,46
2021-11,47,134,6,50,4,5,0.21,47
2021-12,60,121,23,70,4,15,0.49,41
2022-01,60,168,18,70,5,13,0.61,52
2022-02,49,140,12,56,4,8,0.36,57
2022-03,46,107,10,48,5,6,0.23,51
