年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,120,80,87,123,23,50,1.38,31
2014-01,157,135,119,171,30,68,1.84,59
2014-02,183,159,140,151,17,49,1.8,79
2014-03,111,156,78,132,23,49,1.6,94
2014-04,270,188,77,396,9,33,1.21,90
2014-05,91,149,39,130,19,29,1.76,106
2014-06,76,139,30,75,6,36,1.74,129
2014-07,150,184,59,225,12,30,2.68,121
2014-08,98,165,40,122,10,41,2.23,104
2014-09,96,176,45,140,9,38,2.47,90
2014-10,101,128,48,150,9,84,2.25,54
2014-11,101,150,56,150,14,81,2.36,45
2014-12,164,285,123,219,28,51,2.72,55
2015-01,106,434,79,143,11,41,2.17,68
2015-02,186,351,142,272,18,47,2.03,73
2015-03,115,331,49,150,11,27,1.28,76
2015-04,149,351,38,198,13,27,1.64,92
2015-05,126,336,38,173,13,20,1.2,92
2015-06,78,267,31,109,17,21,1.23,115
2015-07,71,289,30,90,16,23,1.25,113
2015-08,115,350,35,147,20,28,1.36,108
2015-09,93,355,26,134,11,36,1.65,101
2015-10,85,261,34,119,16,35,2.01,103
2015-11,78,280,55,93,7,36,2.01,72
2015-12,199,347,150,270,11,41,2.2,63
2016-01,188,349,144,213,8,46,2.38,68
2016-02,150,359,113,193,13,48,2.04,89
2016-03,130,345,98,147,11,32,1.12,89
2016-04,69,199,19,83,8,24,1.38,105
2016-05,66,250,22,59,17,18,1.18,116
2016-06,67,251,13,47,10,19,1.18,116
2016-07,66,280,13,42,6,14,1.16,120
2016-08,60,289,17,58,7,19,1.29,112
2016-09,60,213,20,63,9,21,1.65,103
2016-10,73,287,36,96,10,22,2.06,85
2016-11,135,310,86,169,20,46,2.14,58
2016-12,152,299,115,161,27,38,2.02,55
2017-01,202,361,153,234,29,55,2.4,62
2017-02,154,353,117,180,23,45,1.5,92
2017-03,91,328,67,107,12,40,1.21,91
2017-04,71,285,25,90,12,32,0.97,99
2017-05,84,281,18,107,8,25,0.95,112
2017-06,67,252,22,75,15,30,1.26,115
2017-07,75,307,25,70,10,26,1.32,129
2017-08,67,312,22,79,9,28,1.19,115
2017-09,72,304,32,88,11,38,1.14,102
2017-10,94,314,37,127,19,53,1.21,59
2017-11,97,267,72,119,17,54,1.61,63
2017-12,145,355,109,178,12,35,1.56,43
2018-01,183,362,138,186,18,45,1.72,56
2018-02,141,351,107,163,21,45,1.56,89
2018-03,123,307,42,193,9,25,0.94,80
2018-04,81,258,29,103,7,23,0.9,110
2018-05,157,356,37,195,6,21,0.95,114
2018-06,71,301,21,69,9,19,0.96,123
2018-07,66,318,30,63,6,23,0.98,116
2018-08,65,308,19,65,6,26,0.97,109
2018-09,55,259,16,59,10,31,1.06,78
2018-10,68,285,23,83,10,37,1.0,71
2018-11,262,341,66,419,16,51,1.1,61
2018-12,159,339,120,186,16,57,1.96,48
2019-01,117,294,88,131,8,64,1.73,63
2019-02,118,321,89,125,10,46,1.34,94
2019-03,115,330,86,120,7,42,1.38,95
2019-04,71,250,14,90,5,24,0.61,105
2019-05,96,305,17,111,8,25,0.83,119
2019-06,67,296,10,45,6,27,0.59,117
2019-07,54,256,16,48,5,26,0.74,118
2019-08,59,312,14,60,6,33,0.85,107
2019-09,83,332,22,115,7,37,0.74,90
2019-10,69,338,32,87,8,46,1.03,77
2019-11,83,293,58,100,10,50,1.14,67
2019-12,166,362,126,180,11,61,1.69,46
2020-01,145,352,110,154,16,54,1.63,81
2020-02,143,346,109,114,12,29,1.8,88
2020-03,66,264,21,82,9,24,0.84,77
2020-04,113,353,26,151,7,25,0.73,96
2020-05,55,222,14,67,6,21,0.58,100
2020-06,53,307,14,59,6,22,0.62,111
2020-07,45,276,11,46,7,22,0.61,101
2020-08,37,249,14,32,5,15,1.18,106
2020-09,55,313,14,69,6,30,0.66,88
2020-10,69,310,21,88,7,40,0.63,69
2020-11,69,312,49,90,9,45,0.89,48
2020-12,186,362,141,173,7,69,1.25,39
2021-01,141,357,107,142,4,53,1.27,66
2021-02,180,362,136,159,5,47,1.55,77
2021-03,109,320,37,167,6,26,0.61,88
2021-04,63,201,17,78,6,30,0.63,104
2021-05,107,354,29,166,6,24,0.52,108
2021-06,44,245,16,46,8,22,0.56,101
2021-07,40,319,11,40,7,21,0.6,111
2021-08,40,263,14,37,8,25,0.6,104
2021-09,76,351,19,101,8,32,0.57,86
2021-10,80,339,31,109,9,54,0.76,68
2021-11,126,356,85,202,10,62,0.97,58
2021-12,443,350,91,735,11,53,1.23,51
2022-01,191,321,143,246,9,56,1.52,51
2022-02,161,334,122,188,11,50,1.49,115
2022-03,80,200,56,87,7,40,0.9,92
