年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,39,60,21,27,9,11,0.37,21
2015-02,30,2,18,28,5,8,0.42,13
2015-03,24,5,14,23,5,8,0.5,17
2015-04,39,25,25,36,5,10,0.44,20
2015-05,53,125,35,52,4,11,0.46,38
2015-06,28,22,12,21,9,11,0.44,33
2015-07,32,24,20,24,6,9,0.4,32
2015-08,25,27,12,20,5,8,0.36,25
2015-09,29,18,11,23,9,7,0.39,44
2015-10,32,39,19,31,7,11,0.38,30
2015-11,28,53,14,25,9,9,0.55,13
2015-12,63,161,35,73,9,20,0.52,11
2016-01,35,16,16,27,9,16,0.52,14
2016-02,27,6,15,26,8,15,0.48,20
2016-03,26,5,10,19,7,18,0.42,38
2016-04,38,15,13,25,6,15,0.53,40
2016-05,42,71,18,25,4,16,0.34,64
2016-06,40,98,10,22,8,16,0.49,49
2016-07,35,72,6,14,8,14,0.42,60
2016-08,38,118,12,27,8,25,0.39,56
2016-09,33,69,10,17,9,19,0.33,47
2016-10,22,14,13,18,7,26,0.51,27
2016-11,28,7,13,21,10,27,0.45,26
2016-12,36,47,23,34,10,30,0.56,23
2017-01,29,14,11,23,9,17,0.59,23
2017-02,48,76,20,48,9,23,0.41,46
2017-03,47,95,28,44,6,29,0.52,43
2017-04,43,108,14,26,3,21,0.51,51
2017-05,39,47,20,33,4,19,0.57,69
2017-06,34,76,14,28,7,20,0.41,53
2017-07,30,57,10,26,8,20,0.31,48
2017-08,29,19,10,23,8,16,0.36,42
2017-09,31,40,10,23,10,18,0.5,28
2017-10,23,23,9,18,5,20,0.31,31
2017-11,45,106,25,46,4,33,0.41,24
2017-12,48,86,33,45,5,27,0.61,22
2018-01,47,74,23,42,4,18,0.3,25
2018-02,37,22,19,31,6,17,0.49,40
2018-03,44,56,24,36,3,17,0.39,44
2018-04,43,83,27,42,4,21,0.35,48
2018-05,32,18,11,27,3,17,0.47,52
2018-06,45,167,17,36,4,15,0.41,74
2018-07,26,16,10,23,4,16,0.37,43
2018-08,33,47,12,26,4,18,0.5,64
2018-09,30,51,15,29,3,22,0.36,46
2018-10,50,134,19,50,3,21,0.38,26
2018-11,17,7,9,15,3,26,0.48,20
2018-12,34,40,21,30,4,28,0.36,16
2019-01,44,114,24,41,3,26,0.45,14
2019-02,32,49,19,28,3,9,0.31,22
2019-03,44,31,20,43,5,22,0.45,23
2019-04,28,22,13,26,5,16,0.41,16
2019-05,22,4,5,13,4,10,0.36,36
2019-06,16,10,4,10,3,9,0.53,36
2019-07,29,89,8,19,3,9,0.57,43
2019-08,21,27,5,13,4,7,0.43,27
2019-09,26,50,5,18,4,12,0.47,51
2019-10,27,63,9,26,4,13,0.44,33
2019-11,33,117,12,31,4,22,0.44,25
2019-12,35,48,17,33,4,28,0.61,13
2020-01,34,45,22,26,3,10,0.5,15
2020-02,26,46,14,21,3,10,0.49,32
2020-03,25,53,13,20,4,16,0.45,34
2020-04,48,75,17,45,4,20,0.5,42
2020-05,38,78,20,37,4,17,0.51,58
2020-06,20,34,5,6,5,8,0.57,53
2020-07,21,52,5,9,5,8,0.44,50
2020-08,20,70,7,17,5,7,0.49,55
2020-09,27,109,8,18,5,13,0.47,57
2020-10,27,119,12,19,5,10,0.4,34
2020-11,25,62,13,24,4,18,0.53,24
2020-12,45,136,17,45,4,15,0.45,22
2021-01,37,52,16,38,4,15,0.41,19
2021-02,31,44,14,25,4,12,0.43,45
2021-03,25,54,16,21,4,13,0.45,33
2021-04,31,107,16,30,4,13,0.41,50
2021-05,20,28,8,16,5,11,0.42,53
2021-06,21,35,8,15,5,11,0.48,56
2021-07,15,12,4,4,4,6,0.4,42
2021-08,23,91,9,15,4,9,0.55,56
2021-09,25,91,3,8,4,8,0.54,49
2021-10,22,84,9,22,4,11,0.51,10
2021-11,20,36,10,18,4,10,0.35,22
2021-12,35,68,21,34,5,13,0.21,19
2022-01,34,67,23,23,4,14,0.3,14
2022-02,30,90,18,23,4,9,0.28,30
2022-03,17,5,7,8,4,10,0.13,44
