年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-12,48.0,70.0,32.0,42.0,28.0,23.0,0.34,35.0
2015-01,67.0,92.0,42.0,70.0,22.0,24.0,0.89,41.0
2015-02,68.5,132.5,46.0,56.0,14.0,18.0,0.775,55.0
2015-03,54.0,82.0,31.0,53.0,9.0,12.0,0.5,72.0
2015-04,61.0,116.0,33.5,61.5,7.0,12.0,0.405,76.5
2015-05,53.0,104.0,23.0,47.0,5.0,12.0,0.39,76.0
2015-06,61.5,197.0,30.0,61.0,5.5,14.0,0.545,72.5
2015-07,63.0,211.0,26.0,66.0,15.0,14.0,0.68,79.0
2015-08,50.0,163.0,25.0,51.0,4.0,10.0,0.58,66.0
2015-09,44.5,92.5,17.5,43.5,5.0,14.0,0.535,40.5
2015-10,45.0,52.0,17.0,48.0,6.0,17.0,0.59,45.0
2015-11,71.5,225.5,40.5,76.0,15.0,29.0,0.96,36.0
2015-12,62.0,132.0,44.0,54.0,23.0,26.0,1.07,40.0
2016-01,36.0,46.0,16.0,31.0,19.0,13.0,0.65,52.0
2016-02,41.0,58.0,17.0,28.0,14.0,11.0,0.72,69.0
2016-03,51.0,72.0,29.0,48.0,13.0,17.0,0.79,63.0
2016-04,54.0,114.0,24.0,55.5,8.0,18.5,0.7,67.0
2016-05,59.0,165.0,29.0,62.0,5.0,13.0,0.59,78.0
2016-06,55.0,197.5,32.5,49.5,6.0,15.0,0.64,67.5
2016-07,64.0,230.0,34.0,57.0,8.0,22.0,0.66,79.0
2016-08,49.0,160.0,21.0,48.0,6.0,22.0,0.49,57.0
2016-09,46.0,103.5,22.5,46.5,5.0,22.5,0.54,39.0
2016-10,40.0,92.0,21.0,39.0,7.0,21.0,0.55,43.0
2016-11,52.5,91.5,35.0,40.0,10.0,22.0,0.725,43.0
2016-12,44.0,26.0,26.0,35.0,13.0,22.0,0.85,38.0
2017-01,37.0,23.0,22.0,32.0,12.0,14.0,0.64,51.0
2017-02,40.5,28.5,13.0,23.0,7.5,9.5,0.345,67.5
2017-03,44.0,61.0,19.0,37.0,6.0,14.0,0.38,70.0
2017-04,49.0,68.5,15.5,46.0,4.0,14.0,0.32,74.5
2017-05,55.0,77.0,18.0,56.0,4.0,14.0,0.32,73.0
2017-06,50.0,148.5,17.0,48.5,3.0,14.0,0.39,69.5
2017-07,45.0,116.0,12.0,35.0,5.0,16.0,0.5,75.0
2017-08,40.0,102.0,10.0,28.0,3.0,10.0,0.42,59.0
2017-09,36.0,43.0,8.0,31.5,4.0,13.0,0.35,44.5
2017-10,41.5,96.5,13.0,41.0,7.0,20.5,0.42,44.0
2017-11,35.0,28.0,14.0,33.0,8.5,14.0,0.41000000000000003,43.5
2017-12,42.0,29.0,25.0,33.0,15.0,18.0,0.74,40.0
2018-01,35.0,31.0,12.0,23.0,11.0,9.0,0.52,58.0
2018-02,39.5,27.0,13.5,26.5,10.0,5.5,0.525,65.0
2018-03,51.0,73.0,23.0,40.0,10.0,10.0,0.67,80.0
2018-04,50.5,69.0,17.0,40.5,5.0,12.0,0.455,82.0
2018-05,52.0,100.0,13.0,43.0,5.0,14.0,0.46,82.0
2018-06,44.0,96.0,13.0,24.5,4.0,10.5,0.45499999999999996,83.0
2018-07,42.0,149.0,19.0,33.0,4.0,9.0,0.47,73.0
2018-08,33.0,45.0,13.0,28.0,3.0,8.0,0.36,55.0
2018-09,30.0,51.0,13.0,26.0,3.0,10.0,0.4,43.0
2018-10,40.0,79.0,18.0,39.0,4.0,16.0,0.43,37.0
2018-11,45.5,84.5,24.0,48.0,7.0,14.5,0.52,41.0
2018-12,47.0,75.0,27.0,49.0,9.0,14.0,0.57,44.0
2019-01,51.0,91.0,30.0,50.0,9.0,16.0,0.52,49.0
2019-02,52.0,136.5,31.5,48.0,8.0,11.5,0.435,61.5
2019-03,49.0,108.0,26.0,51.0,5.0,13.0,0.36,64.0
2019-04,50.5,142.0,22.0,46.5,4.5,12.0,0.41000000000000003,81.0
2019-05,46.0,91.0,16.0,36.0,4.0,12.0,0.27,79.0
2019-06,36.0,81.0,13.0,22.0,4.0,9.0,0.27,74.0
2019-07,28.5,72.5,12.0,19.0,4.0,12.0,0.315,72.0
2019-08,21.0,29.5,11.5,12.5,3.0,7.5,0.325,39.0
2019-09,27.5,48.0,13.0,25.5,4.0,12.0,0.28500000000000003,49.5
2019-10,29.0,62.0,14.0,27.0,6.0,16.0,0.37,42.0
2019-11,34.0,52.5,18.0,34.5,7.0,13.0,0.42,39.0
2019-12,42.0,89.0,24.0,45.0,10.0,19.0,0.55,42.0
2020-01,61.0,155.0,42.0,54.0,9.0,20.0,0.83,48.0
2020-02,44.0,176.0,30.0,36.0,7.0,10.0,0.51,61.0
2020-03,48.0,153.0,24.0,44.0,7.0,11.0,0.36,70.0
2020-04,47.5,109.0,26.5,47.0,4.0,16.0,0.45,70.5
2020-05,35.0,82.0,17.0,28.0,3.0,12.0,0.31,69.0
2020-06,25.5,100.5,13.0,23.0,3.0,11.0,0.265,62.5
2020-07,37.0,194.0,19.0,35.0,3.0,14.0,0.33,83.0
2020-08,26.0,103.0,14.0,22.0,2.0,11.0,0.24,42.0
2020-09,26.5,77.5,15.5,22.5,2.5,12.0,0.245,36.0
2020-10,36.0,113.0,18.0,37.0,4.0,16.0,0.33,39.0
2020-11,32.0,60.0,17.5,33.0,4.0,13.0,0.305,41.5
2020-12,27.0,29.0,15.0,25.0,5.0,11.0,0.36,51.0
2021-01,38.0,31.0,23.0,33.0,6.0,14.0,0.47,50.0
2021-02,34.0,61.5,21.0,30.0,6.0,11.5,0.445,62.5
2021-03,60.0,164.0,36.0,64.0,6.0,18.0,0.53,67.0
2021-04,37.0,84.0,18.0,33.0,3.0,13.0,0.325,74.0
2021-05,31.0,78.0,15.0,25.0,3.0,11.0,0.35,72.0
2021-06,32.0,87.5,15.0,24.0,4.0,12.0,0.36,70.0
2021-07,25.0,89.0,13.0,17.0,3.0,9.0,0.37,60.0
2021-08,26.0,99.0,15.0,19.0,3.0,10.0,0.35,41.0
2021-09,26.0,78.5,14.0,23.5,2.0,12.0,0.355,42.5
2021-10,41.0,172.0,22.0,43.0,3.0,20.0,0.46,37.0
2021-11,33.5,75.5,20.5,31.0,4.0,15.0,0.44,39.0
2021-12,35.0,44.0,24.0,33.0,6.0,15.0,0.48,42.0
2022-01,58.0,133.0,41.0,54.0,8.0,19.0,0.73,36.0
2022-02,35.5,132.0,23.0,30.5,5.0,12.0,0.365,62.5
2022-03,39.5,112.0,24.0,37.0,4.0,12.5,0.35,64.5
