年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,60.0,59.0,40.0,62.0,28.0,29.0,1.0,52.0
2015-02,51.0,64.0,26.5,49.5,30.0,18.5,0.985,74.0
2015-03,58.0,111.0,28.0,46.0,23.0,17.0,1.0,95.0
2015-04,48.0,63.5,16.5,31.0,24.0,14.5,1.0550000000000002,85.0
2015-05,57.0,124.0,20.0,36.0,23.0,18.0,1.02,95.0
2015-06,43.0,94.5,16.5,26.5,23.5,16.5,0.915,70.5
2015-07,48.0,118.0,22.0,38.0,25.0,17.0,1.02,76.0
2015-08,40.0,93.0,18.0,29.0,16.0,16.0,0.72,65.0
2015-09,37.0,55.5,21.5,35.0,16.5,18.0,0.925,44.5
2015-10,47.0,72.0,26.0,43.0,25.0,19.0,1.02,57.0
2015-11,46.0,95.0,24.5,43.5,27.0,24.0,1.3250000000000002,61.5
2015-12,51.0,70.0,30.0,51.0,24.0,25.0,1.17,49.0
2016-01,54.0,91.0,33.0,53.0,22.0,22.0,1.11,65.0
2016-02,46.0,60.0,22.0,35.0,21.0,16.0,1.18,66.0
2016-03,50.0,55.0,19.0,36.0,18.0,18.0,1.19,89.0
2016-04,49.0,74.5,17.5,32.5,20.0,19.0,0.81,83.0
2016-05,49.0,111.0,20.0,35.0,19.0,17.0,0.91,87.0
2016-06,39.5,95.5,15.5,27.0,19.0,16.0,0.935,59.5
2016-07,33.0,62.0,17.0,29.0,24.0,15.0,0.97,50.0
2016-08,41.0,102.0,20.0,30.0,28.0,15.0,0.81,71.0
2016-09,36.0,52.5,20.5,30.5,39.0,19.0,1.1,46.0
2016-10,43.0,101.0,25.0,41.0,24.0,21.0,0.9,53.0
2016-11,42.5,42.5,24.0,40.0,28.0,23.0,0.97,54.0
2016-12,51.0,50.0,34.0,51.0,24.0,28.0,0.93,45.0
2017-01,48.0,66.0,30.0,50.0,21.0,27.0,0.91,66.0
2017-02,48.0,55.0,27.5,45.5,21.0,23.0,0.88,70.5
2017-03,50.0,69.0,17.0,32.0,14.0,20.0,0.7,89.0
2017-04,50.0,67.0,16.0,31.0,15.0,20.0,0.775,87.0
2017-05,49.0,69.0,19.0,31.0,15.0,18.0,0.74,84.0
2017-06,42.0,93.0,16.5,27.0,12.0,18.0,0.66,68.0
2017-07,42.0,110.0,21.0,34.0,15.0,18.0,0.82,60.0
2017-08,36.0,74.0,14.0,23.0,9.0,13.0,0.67,58.0
2017-09,30.0,36.0,15.0,23.5,13.0,16.0,0.75,51.0
2017-10,27.5,23.0,14.5,22.0,13.5,18.5,0.79,40.0
2017-11,40.5,37.5,22.5,36.5,17.5,29.0,1.0150000000000001,50.5
2017-12,47.0,48.0,28.0,44.0,16.0,28.0,0.97,48.0
2018-01,50.0,78.0,27.0,45.0,15.0,24.0,0.96,67.0
2018-02,50.0,78.5,23.5,38.0,14.0,17.5,1.085,77.5
2018-03,49.0,57.0,20.0,32.0,17.0,17.0,1.02,95.0
2018-04,54.0,57.0,19.0,32.5,16.0,15.0,0.965,96.5
2018-05,53.0,114.0,16.0,29.0,12.0,18.0,0.55,93.0
2018-06,37.0,51.0,15.0,26.0,12.0,16.0,0.72,61.0
2018-07,35.0,105.0,18.0,27.0,13.0,15.0,0.71,58.0
2018-08,46.0,168.0,23.0,35.0,11.0,14.0,0.88,79.0
