年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,31,9,18,26,5,15,0.43,33
2015-02,42,20,16,33,14,11,0.63,60
2015-03,47,48,10,24,8,9,0.62,70
2015-04,30,4,10,14,12,10,0.74,44
2015-05,35,29,10,21,10,12,0.72,59
2015-06,32,33,6,14,11,11,0.71,51
2015-07,30,19,8,14,10,12,0.67,38
2015-08,28,24,7,12,7,10,0.5,27
2015-09,25,10,5,10,9,9,0.62,24
2015-10,30,21,10,15,13,12,0.68,36
2015-11,33,19,10,23,11,14,1.04,30
2015-12,26,12,8,15,6,6,0.85,26
2016-01,36,29,11,23,6,6,0.69,39
2016-02,32,9,12,20,6,6,0.69,51
2016-03,36,7,7,12,11,8,0.85,64
2016-04,32,6,10,21,11,12,0.57,43
2016-05,31,26,6,12,10,9,0.65,45
2016-06,22,9,8,13,11,10,0.67,30
2016-07,19,4,9,18,14,13,0.7,23
2016-08,25,22,12,18,17,9,0.65,37
2016-09,27,10,8,13,17,11,0.73,22
2016-10,24,13,7,13,12,10,0.65,24
2016-11,23,4,8,16,14,13,0.76,30
2016-12,32,1,13,23,9,10,0.65,16
2017-01,29,5,12,22,15,12,0.65,42
2017-02,32,1,14,23,8,11,0.66,43
2017-03,34,7,9,16,9,12,0.51,57
2017-04,33,6,6,14,8,11,0.52,48
2017-05,31,14,8,17,8,12,0.58,59
2017-06,28,21,8,14,4,9,0.41,37
2017-07,24,15,14,20,6,12,0.61,30
2017-08,24,14,9,15,7,9,0.58,31
2017-09,22,5,4,8,6,9,0.58,29
2017-10,17,1,7,11,8,15,0.62,21
2017-11,26,2,7,15,8,14,0.63,34
2017-12,25,1,11,18,8,17,0.79,32
2018-01,28,11,5,12,6,15,0.67,20
2018-02,41,14,9,21,9,10,0.8,33
2018-03,38,4,10,17,8,9,0.88,75
2018-04,40,7,9,17,11,8,0.77,72
2018-05,31,23,10,16,7,10,0.38,49
2018-06,27,5,5,10,6,10,0.43,40
2018-07,21,8,10,19,8,10,0.55,35
2018-08,27,30,12,20,7,10,0.69,31
2018-09,17,1,7,11,7,10,0.53,22
2018-10,20,1,5,8,6,9,0.57,16
2018-11,29,9,13,25,9,16,0.61,36
2018-12,30,7,9,21,9,13,0.78,32
2019-01,26,14,11,20,9,9,0.73,43
2019-02,34,42,7,14,10,6,0.49,70
2019-03,35,26,7,18,9,7,0.51,63
2019-04,34,46,8,16,7,9,0.49,54
2019-05,38,40,8,18,8,7,0.46,62
2019-06,24,36,6,14,6,8,0.48,35
2019-07,23,43,11,19,10,11,0.6,38
2019-08,29,79,11,20,13,10,0.59,43
2019-09,17,3,7,14,10,9,0.5,23
2019-10,18,10,9,16,11,9,0.53,19
2019-11,20,11,8,15,9,12,0.56,29
2019-12,25,16,13,22,7,11,0.35,33
2020-01,17,7,6,12,6,5,0.43,27
2020-02,22,17,8,12,6,5,0.4,49
2020-03,24,18,8,16,7,6,0.41,68
2020-04,21,9,5,11,7,7,0.51,61
2020-05,18,8,4,9,4,7,0.37,54
2020-06,21,35,5,14,6,7,0.35,46
2020-07,19,33,6,16,5,8,0.43,25
2020-08,18,27,5,13,7,8,0.39,25
2020-09,15,9,5,11,6,7,0.44,20
2020-10,18,11,9,13,5,11,0.43,14
2020-11,20,11,8,16,6,10,0.32,18
2020-12,24,26,14,23,6,12,0.45,24
2021-01,30,16,11,26,5,12,0.38,31
2021-02,17,3,8,11,7,6,0.44,52
2021-03,22,14,6,22,7,7,0.48,55
2021-04,24,22,6,18,7,6,0.56,68
2021-05,22,11,5,14,8,6,0.47,55
2021-06,23,18,7,14,6,7,0.45,43
2021-07,23,55,6,13,7,7,0.5,33
2021-08,16,20,6,10,5,7,0.52,28
2021-09,20,22,7,13,7,8,0.58,22
2021-10,12,6,5,10,6,7,0.56,19
2021-11,19,6,10,15,5,10,0.5,27
2021-12,21,20,10,17,6,10,0.5,4
2022-01,23,28,12,19,6,6,0.43,43
2022-02,21,9,9,13,6,7,0.38,53
2022-03,20,9,5,9,6,8,0.53,63
