年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,194,103,148,279,141,98,3.08,46
2013-11,223,110,189,434,174,84,4.7,45
2013-12,257,184,204,383,213,86,6.21,39
2014-01,413,183,439,723,351,118,6.2,37
2014-02,192,173,146,274,147,83,3.21,49
2014-03,259,184,97,399,119,76,2.69,59
2014-04,282,183,134,860,64,68,1.59,86
2014-05,294,190,93,478,72,67,1.76,130
2014-06,141,184,83,227,66,64,1.36,144
2014-07,117,166,71,153,70,51,1.91,140
2014-08,120,179,64,182,48,65,1.44,108
2014-09,124,183,76,196,53,74,2.02,85
2014-10,209,186,167,262,67,80,2.34,66
2014-11,227,188,129,374,89,80,3.53,57
2014-12,197,183,126,286,126,77,3.57,55
2015-01,221,498,171,318,184,95,4.08,49
2015-02,318,361,186,416,105,66,3.18,56
2015-03,165,339,96,252,69,60,2.06,79
2015-04,235,362,74,348,62,60,1.6,81
2015-05,171,355,77,225,49,57,1.3,122
2015-06,135,346,60,197,29,50,1.43,133
2015-07,130,353,84,155,41,55,1.27,150
2015-08,113,336,56,165,37,49,1.54,111
2015-09,101,336,74,145,41,63,1.62,95
2015-10,140,332,99,213,62,83,2.35,59
2015-11,219,354,168,242,98,80,2.95,57
2015-12,272,342,221,302,94,86,3.73,47
2016-01,226,319,177,275,118,89,4.53,70
2016-02,202,319,233,285,104,66,2.7,71
2016-03,325,362,135,560,65,76,2.69,98
2016-04,179,357,65,261,47,65,5.94,116
2016-05,274,363,116,490,34,55,8.07,130
2016-06,111,359,58,131,31,55,1.25,136
2016-07,122,358,83,139,30,39,1.01,161
2016-08,91,356,50,109,47,55,1.89,130
2016-09,100,340,67,135,42,58,1.45,79
2016-10,141,355,105,167,54,66,2.27,75
2016-11,185,346,142,277,78,87,3.85,74
2016-12,211,331,163,237,90,94,4.45,57
2017-01,333,356,399,234,136,84,4.27,69
2017-02,216,343,166,216,76,79,3.43,80
2017-03,156,351,118,158,48,61,2.11,90
2017-04,221,362,83,305,56,57,1.92,103
2017-05,463,363,390,1066,35,59,2.14,116
2017-06,145,355,57,222,33,56,1.36,137
2017-07,113,351,61,133,31,48,1.37,130
2017-08,79,343,45,101,50,52,1.68,126
2017-09,205,365,57,285,29,74,1.48,93
2017-10,156,359,118,173,43,81,2.6,61
2017-11,189,359,114,288,58,77,2.97,57
2017-12,178,291,135,241,75,82,4.28,57
2018-01,130,315,91,208,89,75,3.13,73
2018-02,156,354,110,259,54,62,2.96,79
2018-03,392,362,106,570,61,80,2.53,89
2018-04,358,364,108,521,42,59,1.33,122
2018-05,233,364,105,455,36,64,1.3,125
2018-06,143,354,60,190,27,46,1.14,158
2018-07,100,353,63,89,19,45,1.25,129
2018-08,85,333,47,84,22,43,1.55,121
2018-09,97,359,40,142,31,60,1.12,84
2018-10,110,356,81,132,36,66,1.58,63
2018-11,274,342,115,448,69,72,2.59,72
2018-12,242,346,91,356,65,74,3.21,49
2019-01,150,350,113,162,66,78,3.11,66
2019-02,240,340,173,361,77,68,2.49,68
2019-03,169,366,127,219,44,77,2.17,79
2019-04,288,364,80,412,35,55,1.52,105
2019-05,214,352,157,392,33,56,1.12,109
2019-06,103,332,44,136,33,69,1.11,125
2019-07,66,328,33,79,24,44,1.05,123
2019-08,52,260,23,56,27,43,0.96,97
2019-09,71,325,37,76,25,55,1.11,91
2019-10,215,356,74,322,36,68,1.9,98
2019-11,239,362,69,339,51,67,2.64,59
2019-12,260,362,210,246,57,95,4.01,40
2020-01,443,365,560,639,82,109,4.36,57
2020-02,187,359,147,248,52,67,3.3,70
2020-03,180,359,62,262,40,56,1.49,70
2020-04,188,358,52,287,32,61,1.55,96
2020-05,251,363,80,361,25,56,1.23,86
2020-06,167,362,55,232,26,55,1.81,142
2020-07,68,340,41,73,25,42,1.2,128
2020-08,53,329,32,58,19,40,1.43,93
2020-09,66,321,48,72,20,54,1.23,94
2020-10,197,366,80,272,39,74,1.85,59
2020-11,149,365,113,192,34,74,2.12,65
2020-12,185,360,102,273,57,73,3.16,53
2021-01,500,365,324,1253,41,75,2.6,58
2021-02,214,366,167,269,43,60,2.31,71
2021-03,489,366,652,1539,24,49,1.46,85
2021-04,306,359,133,673,20,57,1.32,107
2021-05,354,365,244,878,24,40,1.09,116
2021-06,160,365,54,234,25,40,1.1,113
2021-07,71,361,28,66,17,36,1.22,119
2021-08,87,363,63,124,17,48,1.37,119
2021-09,61,327,28,67,20,49,1.08,98
2021-10,77,348,54,100,26,66,1.36,67
2021-11,178,363,69,270,39,65,2.09,53
2021-12,109,357,82,152,38,64,2.55,58
2022-01,174,320,138,162,37,66,2.64,68
2022-02,93,294,69,100,22,53,1.59,69
2022-03,240,334,94,340,28,62,1.53,80
