年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,76.5,34.5,50.5,77.5,14.0,15.5,0.95,107.5
2013-11,68.0,28.5,49.0,72.5,13.0,15.5,1.005,79.0
2013-12,123.0,43.0,95.0,133.0,21.0,25.0,1.39,88.0
2014-01,110.0,65.0,80.5,116.0,16.0,19.0,1.5150000000000001,91.5
2014-02,59.0,56.5,30.0,61.5,7.0,8.0,1.0150000000000001,56.5
2014-03,55.5,24.5,26.0,57.5,10.0,8.0,0.98,49.5
2014-04,46.5,16.5,15.0,45.0,12.0,6.0,1.0750000000000002,64.5
2014-05,46.0,27.0,11.0,43.0,12.0,10.0,1.31,70.0
2014-06,39.5,20.5,7.5,37.0,9.0,9.0,1.045,63.0
2014-07,35.5,18.5,9.5,33.5,9.0,7.0,1.06,55.0
2014-08,32.0,11.0,5.0,25.0,10.0,10.0,1.07,50.0
2014-09,34.5,19.5,9.5,27.5,7.0,11.0,1.02,59.0
2014-10,74.0,67.0,47.0,77.0,12.0,14.0,1.12,94.0
2014-11,52.5,36.5,32.5,53.0,11.0,14.0,1.1749999999999998,66.5
2014-12,78.0,62.0,55.0,90.0,16.0,22.0,1.35,72.0
2015-01,76.0,133.0,55.0,76.0,14.0,20.0,1.28,82.0
2015-02,75.5,124.0,54.0,74.0,5.5,16.0,0.96,67.0
2015-03,52.0,69.0,31.0,50.0,6.0,14.0,1.07,57.0
2015-04,53.5,94.0,24.5,51.5,6.0,14.5,0.955,74.0
2015-05,41.0,45.0,12.0,33.0,6.0,11.0,0.98,77.0
2015-06,36.0,51.5,8.0,29.0,7.0,10.0,0.965,64.5
2015-07,39.0,66.0,11.0,32.0,7.0,9.0,0.89,73.0
2015-08,36.0,48.0,13.0,32.0,8.0,10.0,0.89,62.0
2015-09,33.0,49.0,15.0,31.5,8.0,10.0,1.08,52.0
2015-10,56.0,133.0,37.0,55.0,11.0,13.0,1.02,63.0
2015-11,39.0,66.5,21.5,38.0,9.0,13.0,1.125,48.5
2015-12,43.0,62.0,30.0,40.0,9.0,15.0,1.02,42.0
2016-01,52.0,87.0,34.0,48.0,8.0,17.0,1.08,45.0
2016-02,69.0,157.0,49.0,57.0,7.0,13.0,1.04,58.0
2016-03,51.0,69.0,34.0,47.0,8.0,15.0,0.88,56.0
2016-04,50.0,83.0,27.5,45.5,7.0,10.0,0.885,75.5
2016-05,38.0,40.0,16.0,33.0,7.0,8.0,0.79,73.0
2016-06,34.0,36.0,10.5,23.0,6.0,5.0,0.71,63.0
2016-07,30.0,46.0,11.0,27.0,6.0,7.0,0.57,47.0
2016-08,34.0,52.0,13.0,26.0,7.0,9.0,0.72,59.0
2016-09,48.5,110.5,24.0,41.0,10.0,11.0,0.75,77.0
2016-10,53.0,144.0,30.0,43.0,11.0,12.0,0.83,82.0
2016-11,44.0,54.0,24.0,41.0,9.0,12.0,0.805,68.5
2016-12,75.0,129.0,50.0,66.0,11.0,19.0,1.17,94.0
2017-01,73.0,137.0,47.0,62.0,8.0,14.0,1.28,90.0
2017-02,56.0,111.5,38.0,49.0,8.0,12.0,1.275,83.0
2017-03,47.0,61.0,29.0,46.0,7.0,12.0,1.16,61.0
2017-04,44.5,38.5,25.0,38.5,8.0,12.5,1.01,66.5
2017-05,37.0,31.0,16.0,29.0,8.0,10.0,0.91,69.0
2017-06,34.0,51.5,9.0,26.0,7.0,8.0,0.785,53.5
2017-07,28.0,31.0,7.0,25.0,7.0,7.0,0.75,46.0
2017-08,29.0,36.0,8.0,26.0,6.0,9.0,0.61,45.0
2017-09,30.0,34.5,11.5,27.5,7.0,11.0,0.72,48.0
2017-10,41.0,158.0,21.5,39.0,9.0,14.0,1.01,69.5
2017-11,52.0,108.0,33.5,49.0,8.0,17.0,1.005,59.0
2017-12,80.0,152.0,58.0,79.0,11.0,20.0,1.09,77.0
2018-01,70.0,181.0,44.0,57.0,10.0,20.0,1.13,75.0
2018-02,73.5,178.0,52.0,71.5,7.0,15.5,0.87,70.0
2018-03,51.0,74.0,29.0,45.0,8.0,13.0,0.76,82.0
2018-04,46.0,38.0,23.0,43.0,8.5,12.5,0.825,66.0
2018-05,34.0,17.0,10.0,27.0,7.0,10.0,0.63,63.0
2018-06,40.0,77.0,15.0,35.0,6.0,10.0,0.775,69.0
2018-07,29.0,57.0,11.0,27.0,7.0,9.0,0.78,49.0
2018-08,38.0,82.0,16.0,34.0,7.0,11.0,0.83,66.0
2018-09,35.0,91.0,15.0,30.0,6.0,11.0,0.79,52.0
2018-10,53.0,144.0,29.0,50.0,9.0,13.0,0.97,80.0
2018-11,54.5,164.0,34.5,50.5,10.0,14.5,1.005,69.0
2018-12,42.0,81.0,23.0,36.0,7.0,14.0,1.03,39.0
2019-01,57.0,115.0,39.0,49.0,7.0,16.0,1.09,58.0
2019-02,44.5,100.5,26.0,41.0,6.0,11.0,0.985,45.5
2019-03,43.0,65.0,25.0,43.0,6.0,14.0,0.9,45.0
2019-04,38.5,35.5,18.0,35.5,6.0,11.5,0.715,50.5
2019-05,40.0,52.0,14.0,36.0,7.0,11.0,0.69,63.0
2019-06,31.0,57.0,9.0,28.0,6.0,7.0,0.55,52.0
2019-07,30.0,76.0,10.5,27.0,6.0,7.0,0.59,55.5
2019-08,28.0,62.5,11.0,25.5,5.5,9.5,0.69,52.0
2019-09,41.0,184.5,24.0,40.0,7.5,13.0,0.8,83.0
2019-10,48.0,154.0,26.0,44.0,8.0,12.0,0.85,74.0
2019-11,68.5,218.0,47.0,76.5,12.0,21.0,0.93,98.0
2019-12,63.0,172.0,43.0,68.0,10.0,21.0,0.86,78.0
2020-01,53.0,129.0,33.0,52.0,7.0,13.0,0.74,67.0
2020-02,39.0,131.0,24.0,39.0,7.0,8.0,0.53,67.0
2020-03,39.0,83.0,20.0,38.0,7.0,12.0,0.63,48.0
2020-04,40.0,82.0,22.0,40.0,8.5,12.0,0.69,59.5
2020-05,32.0,72.0,10.0,31.0,6.0,7.0,0.43,69.0
2020-06,31.0,130.0,8.0,31.0,5.0,5.0,0.46499999999999997,60.0
2020-07,26.0,89.0,8.0,26.0,5.0,7.0,0.45,52.0
2020-08,22.0,51.0,7.0,20.0,6.0,9.0,0.53,41.0
2020-09,26.5,74.5,12.0,25.5,7.0,12.0,0.615,45.5
2020-10,40.0,136.0,24.0,39.0,9.0,11.0,0.72,66.0
