年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,107,65,80,121,18,54,0.83,33
2013-11,68,41,44,86,13,38,0.64,13
2013-12,66,43,43,72,22,52,0.72,12
2014-01,65,43,40,68,15,38,0.7,12
2014-02,23,10,13,17,8,19,0.59,14
2014-03,56,53,37,60,16,42,0.53,27
2014-04,46,19,22,35,6,22,0.41,20
2014-05,61,110,37,63,6,29,0.43,48
2014-06,51,54,35,47,5,18,0.49,21
2014-07,35,33,18,34,3,14,0.49,28
2014-08,33,12,19,29,4,18,0.43,13
2014-09,37,35,22,36,3,15,0.34,21
2014-10,61,44,31,55,4,23,0.41,8
2014-11,41,20,25,37,5,29,0.51,10
2014-12,67,47,19,80,17,31,0.43,5
2015-01,46,81,32,39,6,32,0.51,5
2015-02,27,6,14,24,5,18,0.54,7
2015-03,26,10,14,20,6,27,0.62,14
2015-04,46,68,20,44,6,26,0.48,31
2015-05,46,80,23,45,7,29,0.62,20
2015-06,25,13,7,8,5,28,0.46,31
2015-07,29,21,10,24,5,14,0.43,17
2015-08,20,6,7,12,5,19,0.4,24
2015-09,41,87,14,30,8,20,0.55,29
2015-10,35,49,14,24,8,26,0.47,18
2015-11,22,25,10,14,6,29,0.59,9
2015-12,56,87,29,64,13,40,0.64,11
2016-01,36,56,18,35,10,18,0.72,11
2016-02,41,59,13,32,8,15,0.84,16
2016-03,39,109,12,34,7,18,0.67,25
2016-04,41,72,21,39,8,21,0.75,25
2016-05,47,85,14,25,8,22,0.57,33
2016-06,36,39,11,25,9,25,0.62,28
2016-07,21,9,5,11,9,16,0.64,24
2016-08,35,90,11,28,9,17,0.64,44
2016-09,26,40,4,7,7,17,0.55,45
2016-10,23,14,6,10,7,25,0.77,17
2016-11,32,46,12,19,7,21,0.68,12
2016-12,26,6,15,22,10,28,0.63,31
2017-01,34,30,14,26,10,16,0.64,17
2017-02,46,69,20,45,8,22,0.78,23
2017-03,43,57,19,43,9,29,0.9,45
2017-04,40,80,16,35,9,26,0.83,38
2017-05,32,11,11,29,8,20,0.72,47
2017-06,26,27,7,13,7,21,0.6,37
2017-07,20,11,6,14,5,21,0.6,28
2017-08,27,28,7,16,6,18,0.61,38
2017-09,28,26,11,18,5,23,0.63,11
2017-10,23,9,7,14,5,21,0.47,30
2017-11,43,46,13,42,7,23,0.46,20
2017-12,44,85,24,41,8,33,0.58,8
2018-01,23,24,12,18,5,25,0.49,11
2018-02,33,13,20,29,6,20,0.52,24
2018-03,33,32,18,29,4,23,0.44,28
2018-04,37,42,14,36,4,25,0.47,42
2018-05,25,3,9,14,5,23,0.41,29
2018-06,34,68,11,25,5,19,0.36,37
2018-07,31,43,12,24,5,13,0.27,31
2018-08,24,12,6,12,4,11,0.36,53
2018-09,25,42,11,22,4,18,0.35,35
2018-10,40,92,11,33,4,23,0.36,34
2018-11,21,13,6,10,3,23,0.4,15
2018-12,26,44,16,24,4,23,0.41,7
2019-01,37,36,15,21,5,18,0.4,5
2019-02,31,48,14,24,4,14,0.38,28
2019-03,42,79,16,41,8,25,0.64,18
2019-04,29,26,17,25,6,24,0.49,21
2019-05,29,31,8,20,8,16,0.45,44
2019-06,29,84,12,21,4,17,0.48,52
2019-07,19,20,7,19,6,19,0.47,29
2019-08,15,5,5,14,4,8,0.46,17
2019-09,24,45,9,22,4,22,0.47,35
2019-10,31,75,10,30,4,17,0.41,34
2019-11,35,86,16,35,4,27,0.6,9
2019-12,42,80,22,38,4,31,0.54,5
2020-01,23,36,15,15,3,13,0.35,8
2020-02,19,42,11,11,3,12,0.45,35
2020-03,28,59,8,22,3,15,0.49,13
2020-04,33,50,15,25,4,21,0.55,53
2020-05,29,45,16,26,3,16,0.62,52
2020-06,18,15,6,14,4,12,0.65,31
2020-07,20,35,6,11,3,14,0.58,20
2020-08,23,62,5,14,4,12,0.55,39
2020-09,30,56,11,25,4,19,0.52,51
2020-10,19,49,8,17,4,18,0.57,22
2020-11,24,38,10,23,3,20,0.52,6
2020-12,31,111,19,30,4,15,0.61,9
2021-01,49,120,21,53,3,20,0.54,6
2021-02,27,28,11,21,3,9,0.45,27
2021-03,29,83,16,25,3,22,0.48,29
2021-04,22,21,14,20,3,17,0.5,35
2021-05,18,8,10,18,3,16,0.48,37
2021-06,23,79,8,13,4,12,0.38,36
2021-07,12,9,3,6,3,5,0.33,39
2021-08,21,70,8,17,3,11,0.44,48
2021-09,24,67,8,22,3,10,0.46,57
2021-10,19,46,5,8,2,14,0.38,20
2021-11,28,68,10,28,3,15,0.45,24
2021-12,28,60,10,28,3,16,0.47,15
2022-01,21,31,8,11,3,18,0.46,22
2022-02,26,86,14,20,3,14,0.45,39
2022-03,22,35,11,14,3,11,0.45,43
