年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,64,27,43,74,12,32,0.8,76
2013-11,20,2,13,22,6,23,0.88,19
2013-12,32,7,18,18,10,29,0.86,31
2014-01,65,29,47,63,10,23,0.98,23
2014-02,26,2,16,19,7,15,0.72,7
2014-03,32,4,22,25,7,29,0.83,7
2014-04,40,9,22,40,6,23,0.89,17
2014-05,36,17,18,33,8,17,0.83,31
2014-06,34,12,15,32,7,14,0.71,28
2014-07,21,4,8,19,7,9,0.67,21
2014-08,21,4,10,17,7,16,0.65,21
2014-09,23,5,8,15,5,11,0.62,20
2014-10,43,18,24,41,6,21,0.7,31
2014-11,23,3,13,20,7,22,0.73,14
2014-12,29,4,16,21,8,19,0.67,12
2015-01,32,13,21,26,8,25,0.83,11
2015-02,37,26,23,34,7,11,0.7,9
2015-03,23,8,15,18,7,17,0.66,6
2015-04,33,17,22,27,8,16,0.67,28
2015-05,33,21,15,31,8,16,0.61,35
2015-06,27,21,10,25,7,12,0.56,33
2015-07,17,2,5,9,7,11,0.52,28
2015-08,21,12,7,13,8,15,0.58,18
2015-09,20,4,8,18,8,17,0.71,17
2015-10,29,30,16,23,9,16,0.82,26
2015-11,21,17,11,19,9,21,0.7,13
2015-12,17,5,9,12,8,20,0.7,8
2016-01,30,14,14,29,8,19,0.84,5
2016-02,20,24,10,18,9,11,0.71,20
2016-03,31,5,10,29,8,17,0.8,6
2016-04,36,15,13,28,6,19,0.69,27
2016-05,31,24,14,28,7,16,0.66,24
2016-06,27,7,6,16,6,16,0.57,26
2016-07,22,16,7,20,7,12,0.61,24
2016-08,22,4,8,14,8,14,0.58,29
2016-09,21,13,10,18,9,16,0.61,25
2016-10,19,4,10,13,8,19,0.62,22
2016-11,16,4,5,12,8,18,0.71,11
2016-12,32,15,17,31,10,22,0.74,13
2017-01,15,1,5,7,9,13,0.77,9
2017-02,34,33,12,33,10,14,0.87,25
2017-03,22,4,12,18,8,20,0.84,6
2017-04,30,13,10,28,7,16,0.68,15
2017-05,25,2,10,24,6,21,0.77,34
2017-06,20,9,10,19,6,18,0.77,21
2017-07,20,3,9,18,6,14,0.83,18
2017-08,22,3,10,18,6,17,0.81,16
2017-09,28,28,12,27,7,20,0.86,20
2017-10,17,2,6,9,7,17,0.86,18
2017-11,18,6,8,16,7,23,0.78,13
2017-12,28,16,17,24,9,28,0.87,12
2018-01,15,1,5,10,8,22,0.88,4
2018-02,28,29,15,25,7,15,0.8,16
2018-03,28,31,9,21,7,20,0.77,17
2018-04,37,6,15,31,6,18,0.68,20
2018-05,32,9,12,22,6,16,0.67,35
2018-06,19,4,7,14,7,14,0.72,25
2018-07,23,10,10,21,6,13,0.72,24
2018-08,23,21,12,22,6,19,0.73,17
2018-09,20,15,10,18,5,11,0.62,27
2018-10,21,11,11,19,5,23,0.8,12
2018-11,22,31,11,21,6,23,0.83,7
2018-12,13,2,5,8,6,18,0.72,9
2019-01,14,4,7,11,5,19,0.6,4
2019-02,16,11,8,14,5,9,0.54,3
2019-03,17,2,9,16,6,20,0.61,6
2019-04,25,13,14,23,5,15,0.55,11
2019-05,18,2,7,17,5,14,0.55,16
2019-06,26,23,9,24,4,10,0.51,21
2019-07,16,8,8,14,5,12,0.62,23
2019-08,22,34,11,19,4,18,0.62,43
2019-09,24,80,11,24,5,17,0.6,33
2019-10,26,32,10,26,5,19,0.67,18
2019-11,25,33,11,25,5,20,0.69,28
2019-12,27,47,15,27,7,22,0.59,7
2020-01,16,13,6,10,6,8,0.6,10
2020-02,12,7,5,12,6,6,0.45,9
2020-03,11,17,4,7,5,13,0.64,10
2020-04,17,13,10,16,5,19,0.55,8
2020-05,25,19,12,24,5,14,0.58,36
2020-06,21,64,9,18,4,12,0.52,34
2020-07,24,55,10,24,5,12,0.52,41
2020-08,16,30,8,14,5,13,0.45,14
2020-09,18,33,10,18,5,15,0.52,22
2020-10,21,40,8,19,6,14,0.47,32
2020-11,30,48,14,30,6,15,0.53,19
2020-12,15,15,8,15,4,20,0.55,17
2021-01,23,8,13,22,5,19,0.55,21
2021-02,15,17,7,10,5,10,0.63,8
2021-03,21,11,10,21,5,15,0.6,5
2021-04,17,11,11,15,5,13,0.6,15
2021-05,18,12,8,18,5,10,0.41,30
2021-06,19,29,10,18,5,10,0.5,36
2021-07,17,12,10,14,5,12,0.47,35
2021-08,17,24,8,16,5,9,0.4,34
2021-09,21,36,10,19,6,13,0.5,21
2021-10,14,7,6,8,6,11,0.52,22
2021-11,15,10,6,13,6,12,0.4,17
2021-12,22,10,12,19,6,18,0.64,11
2022-01,12,4,7,8,6,10,0.77,6
2022-02,11,4,3,4,6,8,0.59,10
2022-03,13,4,7,11,6,14,0.58,14
