年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,101,51,75,112,27,50,0.67,85
2013-11,249,114,200,278,108,88,1.91,73
2013-12,374,171,307,380,135,111,2.3,66
2014-01,286,183,237,291,124,103,2.27,81
2014-02,240,179,191,248,44,61,2.16,109
2014-03,245,185,154,324,83,90,1.37,103
2014-04,139,154,105,142,53,71,1.05,118
2014-05,236,186,185,296,68,84,1.5,120
2014-06,204,187,158,203,47,52,1.21,137
2014-07,151,188,113,149,42,54,1.21,121
2014-08,130,183,92,124,41,45,1.22,126
2014-09,117,184,86,111,31,41,0.98,106
2014-10,156,172,112,173,62,82,1.42,121
2014-11,187,186,142,193,62,77,1.24,89
2014-12,219,530,169,246,122,107,2.39,53
2015-01,271,494,221,320,122,121,2.26,65
2015-02,239,356,193,238,65,86,1.48,84
2015-03,193,343,147,213,81,80,1.8,91
2015-04,152,357,104,178,85,109,1.6,124
2015-05,129,342,92,126,60,63,1.16,119
2015-06,145,363,110,166,60,63,1.12,151
2015-07,158,360,109,158,58,62,1.22,131
2015-08,141,361,96,136,46,50,1.37,140
2015-09,127,361,74,99,44,39,0.93,161
2015-10,171,350,132,186,59,76,1.35,116
2015-11,159,308,121,167,60,93,1.39,92
2015-12,250,355,199,249,63,84,2.02,67
2016-01,210,342,162,212,80,110,1.93,86
2016-02,184,351,139,199,53,78,1.3,82
2016-03,140,338,106,161,62,95,1.35,101
2016-04,144,354,93,162,56,79,1.32,156
2016-05,176,363,118,245,48,68,1.5,157
2016-06,124,356,62,114,33,55,1.21,134
2016-07,118,358,62,116,33,53,1.0,153
2016-08,93,356,43,73,32,49,1.2,151
2016-09,149,366,85,113,37,59,1.6,157
2016-10,61,213,39,65,24,41,1.03,97
2016-11,155,322,120,146,44,99,1.7,73
2016-12,194,350,146,175,53,100,1.55,66
2017-01,180,319,137,169,37,60,1.52,90
2017-02,151,346,114,129,38,82,1.58,94
2017-03,125,330,94,133,40,108,1.47,123
2017-04,113,349,68,123,47,71,1.59,128
2017-05,139,355,74,215,42,79,1.2,150
2017-06,158,365,104,166,43,67,1.23,168
2017-07,127,364,54,89,35,65,1.07,163
2017-08,126,361,60,130,25,46,1.44,128
2017-09,117,347,71,133,33,81,1.31,129
2017-10,70,253,45,71,23,50,0.87,108
2017-11,112,321,83,142,41,105,1.56,72
2017-12,240,340,191,261,34,107,1.77,62
2018-01,247,357,196,200,32,94,1.63,88
2018-02,155,336,118,142,28,77,1.41,93
2018-03,102,285,74,136,30,94,1.55,89
2018-04,182,353,123,153,31,89,1.18,159
2018-05,131,352,91,197,26,90,1.23,139
2018-06,136,365,75,120,22,59,0.84,158
2018-07,113,365,56,105,19,49,0.84,125
2018-08,73,339,40,71,17,26,0.61,124
2018-09,100,352,57,83,20,46,0.98,132
2018-10,116,348,81,111,29,68,1.02,103
2018-11,205,362,159,182,21,83,1.68,82
2018-12,179,353,135,152,25,113,1.63,57
2019-01,168,362,127,160,19,88,1.49,73
2019-02,152,315,114,166,11,53,1.25,91
2019-03,147,358,111,133,18,92,0.88,112
2019-04,106,312,73,109,22,75,1.0,110
2019-05,129,355,68,116,27,86,0.94,135
2019-06,89,336,37,60,14,52,0.82,126
2019-07,78,350,39,71,14,53,0.75,117
2019-08,53,279,30,48,14,30,0.71,121
2019-09,69,277,43,69,11,44,0.7,105
2019-10,137,352,81,224,15,74,1.13,94
2019-11,127,337,85,189,13,77,0.9,99
2019-12,134,345,102,115,15,110,1.34,60
2020-01,223,352,173,185,10,55,1.5,88
2020-02,108,350,81,98,8,35,0.98,91
2020-03,98,353,72,91,14,82,1.03,94
2020-04,97,354,72,104,17,73,1.19,118
2020-05,87,358,61,84,15,53,1.1,134
2020-06,90,344,52,87,16,64,1.09,113
2020-07,64,322,44,62,15,44,0.83,108
2020-08,62,353,36,53,15,43,0.97,109
2020-09,89,363,64,78,13,54,1.23,130
2020-10,100,318,69,81,9,57,0.92,109
2020-11,118,357,89,122,17,84,1.18,82
2020-12,229,351,180,180,11,80,1.49,62
2021-01,113,318,81,145,16,103,1.23,80
2021-02,106,316,79,88,12,61,1.5,88
2021-03,267,346,76,369,15,56,1.14,90
2021-04,106,341,71,136,11,62,1.22,105
2021-05,156,353,70,247,10,56,1.1,125
2021-06,90,348,44,66,11,43,1.04,162
2021-07,67,360,42,65,8,35,0.96,111
2021-08,75,357,39,71,6,36,1.0,109
2021-09,80,358,47,67,10,41,0.91,123
2021-10,91,319,68,72,7,39,0.62,119
2021-11,104,309,77,116,15,80,1.16,96
2021-12,123,329,93,114,15,85,1.29,73
2022-01,151,304,115,121,11,58,1.28,86
2022-02,144,303,111,147,10,51,0.77,100
2022-03,106,295,79,141,9,71,0.85,95
