年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,112,63,52,157,108,63,1.57,24
2014-01,241,150,192,236,300,117,1.61,72
2014-02,121,125,91,122,95,68,1.66,77
2014-03,135,135,81,195,130,70,1.3,99
2014-04,130,165,95,165,52,58,1.3,111
2014-05,151,142,88,179,64,68,1.21,177
2014-06,127,140,95,124,44,44,1.0,115
2014-07,139,178,91,127,52,56,1.33,146
2014-08,141,177,104,153,41,64,1.03,142
2014-09,99,170,73,107,26,42,1.43,114
2014-10,150,167,110,217,61,64,1.39,126
2014-11,221,186,176,251,87,96,2.12,56
2014-12,255,179,207,324,198,62,5.18,43
2015-01,233,334,185,286,194,63,3.7,42
2015-02,149,295,112,209,116,63,2.38,66
2015-03,124,315,83,170,84,56,1.64,90
2015-04,121,343,85,173,44,48,1.21,124
2015-05,115,326,59,176,133,51,0.99,98
2015-06,118,345,86,146,107,37,0.87,132
2015-07,99,335,60,103,42,42,1.1,130
2015-08,115,344,67,117,28,50,0.94,147
2015-09,125,343,94,153,442,47,1.2,121
2015-10,150,346,110,146,46,63,0.98,174
2015-11,184,335,141,189,73,74,2.26,75
2015-12,343,356,292,364,174,112,3.99,45
2016-01,320,359,269,346,118,90,3.43,41
2016-02,186,343,146,201,106,75,3.12,56
2016-03,169,325,129,249,50,56,1.43,70
2016-04,366,364,102,474,43,55,1.28,103
2016-05,193,362,72,249,23,71,1.04,191
2016-06,135,366,59,88,27,34,0.74,191
2016-07,108,356,64,96,17,23,0.82,163
2016-08,129,363,52,104,26,34,0.79,146
2016-09,125,353,75,125,23,38,0.89,162
2016-10,121,342,90,141,18,52,1.3,110
2016-11,214,366,154,297,64,90,2.73,53
2016-12,244,328,197,272,67,87,3.1,48
2017-01,264,346,214,305,66,85,3.42,68
2017-02,220,338,173,232,46,60,2.12,104
2017-03,131,337,96,158,36,57,1.41,93
2017-04,132,357,90,174,27,56,1.15,139
2017-05,206,358,95,321,19,43,0.79,206
2017-06,167,363,62,130,18,39,0.88,236
2017-07,119,359,51,121,17,28,0.82,145
2017-08,106,349,43,89,9,42,0.87,161
2017-09,105,357,48,108,12,43,1.03,140
2017-10,107,312,77,119,19,66,1.27,91
2017-11,156,338,126,172,45,83,1.88,108
2017-12,173,304,128,241,40,83,2.75,47
2018-01,200,283,152,277,56,81,2.59,52
2018-02,112,328,82,133,38,54,1.75,85
2018-03,108,288,77,146,20,68,1.19,128
2018-04,117,307,56,156,18,51,1.08,177
2018-05,106,319,52,135,13,40,0.99,153
2018-06,105,318,41,71,6,29,0.81,164
2018-07,71,299,32,57,7,27,0.76,106
2018-08,77,307,28,71,8,24,0.65,114
2018-09,94,355,33,77,12,49,0.89,133
2018-10,87,311,53,112,14,58,0.86,101
2018-11,301,356,158,413,25,74,1.98,81
2018-12,192,344,146,231,41,84,2.7,65
2019-01,254,352,208,277,71,96,3.05,65
2019-02,246,346,196,271,35,82,2.1,92
2019-03,191,352,149,227,28,83,2.02,124
2019-04,143,336,84,219,10,44,0.88,122
2019-05,135,356,63,149,13,58,0.86,155
2019-06,104,353,49,90,9,30,0.96,158
2019-07,73,340,44,93,6,23,0.95,138
2019-08,80,351,50,95,14,40,0.98,124
2019-09,92,352,55,111,10,51,1.1,153
2019-10,144,360,80,238,11,66,1.21,131
2019-11,110,320,82,156,16,72,1.18,69
2019-12,219,346,171,221,27,69,2.42,46
2020-01,298,360,248,297,45,105,2.79,67
2020-02,159,343,120,135,22,26,1.49,81
2020-03,98,335,71,134,14,45,1.26,98
2020-04,111,352,81,135,12,68,1.09,167
2020-05,79,312,46,93,10,39,0.95,155
2020-06,95,348,51,139,7,43,1.0,166
2020-07,86,353,55,109,5,35,1.19,128
2020-08,64,356,36,71,6,34,0.98,155
2020-09,78,346,47,104,13,42,1.0,169
2020-10,137,358,102,161,12,56,1.36,90
2020-11,133,359,99,181,16,57,1.36,59
2020-12,272,364,223,294,41,74,2.97,53
2021-01,206,352,161,202,40,61,3.01,64
2021-02,120,333,90,148,20,48,1.49,86
2021-03,326,346,130,603,14,48,1.38,121
2021-04,159,352,62,258,11,45,0.74,117
2021-05,280,360,92,349,10,31,1.06,146
2021-06,85,359,47,72,12,45,0.96,170
2021-07,54,318,31,51,7,29,0.89,131
2021-08,65,348,39,59,6,36,0.95,124
2021-09,62,347,24,59,6,30,0.81,108
2021-10,118,350,86,134,8,65,0.96,119
2021-11,155,357,116,173,21,76,2.37,92
2021-12,205,364,158,252,16,80,2.1,46
