年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,140,84,107,55,15,27,0.87,25
2013-11,65,44,49,36,10,23,0.67,19
2013-12,80,53,51,37,19,26,0.79,21
2014-01,93,67,69,30,18,25,0.86,16
2014-02,27,27,12,14,9,14,0.38,19
2014-03,67,39,47,46,8,21,0.63,25
2014-04,46,18,29,27,6,13,0.45,20
2014-05,65,59,41,58,10,17,0.56,27
2014-06,52,62,32,43,8,14,0.58,27
2014-07,33,28,14,30,6,10,0.49,14
2014-08,43,52,24,29,7,9,0.49,23
2014-09,28,13,17,26,8,8,0.46,20
2014-10,64,76,33,33,11,12,0.65,13
2014-11,36,7,21,18,13,14,0.6,11
2014-12,56,28,30,59,15,19,0.55,15
2015-01,54,103,31,9,14,20,0.59,16
2015-02,33,43,20,20,16,12,0.47,18
2015-03,23,3,14,15,10,12,0.61,27
2015-04,49,74,29,47,13,11,0.48,29
2015-05,45,78,23,47,6,18,0.39,28
2015-06,24,8,11,16,5,18,0.59,36
2015-07,25,6,15,17,4,13,0.42,24
2015-08,25,23,8,14,4,14,0.45,35
2015-09,30,23,15,25,5,18,0.66,41
2015-10,31,30,18,22,5,21,0.53,26
2015-11,22,20,12,16,6,21,0.58,8
2015-12,60,98,42,32,11,30,0.69,8
2016-01,54,126,23,15,9,22,0.4,8
2016-02,36,56,20,24,9,17,0.54,22
2016-03,36,76,17,28,9,20,0.44,32
2016-04,48,95,29,6,5,22,0.67,21
2016-05,40,65,22,23,6,20,0.56,28
2016-06,36,87,16,23,7,22,0.56,37
2016-07,23,15,5,11,8,16,0.56,27
2016-08,41,158,15,38,8,25,0.61,45
2016-09,23,15,6,15,9,18,0.53,27
2016-10,19,3,8,11,7,20,0.59,10
2016-11,25,21,13,13,9,25,0.66,9
2016-12,29,16,20,10,10,35,0.59,12
2017-01,28,9,15,3,8,17,0.59,15
2017-02,50,97,27,29,10,19,0.58,26
2017-03,61,120,37,22,8,30,0.61,31
2017-04,40,74,18,26,7,25,0.58,40
2017-05,39,49,20,31,7,25,0.56,56
2017-06,33,66,18,21,8,21,0.57,47
2017-07,29,51,11,23,7,18,0.48,45
2017-08,29,33,10,20,6,19,0.57,36
2017-09,32,53,19,25,7,22,0.69,11
2017-10,17,7,8,10,8,17,0.55,19
2017-11,35,38,20,32,6,27,0.5,17
2017-12,38,66,26,14,3,31,0.62,15
2018-01,29,47,18,4,2,17,0.59,9
2018-02,30,5,16,13,2,13,0.52,21
2018-03,35,52,20,22,2,20,0.54,29
2018-04,43,37,14,36,1,17,0.43,20
2018-05,31,15,11,13,2,15,0.58,36
2018-06,39,80,17,30,3,16,0.54,61
2018-07,26,19,7,16,2,15,0.46,40
2018-08,25,5,7,11,2,10,0.55,45
2018-09,29,41,14,18,2,16,0.38,39
2018-10,44,133,16,37,3,28,0.42,28
2018-11,16,8,8,10,2,24,0.48,22
2018-12,32,66,17,7,3,23,0.47,7
2019-01,45,57,27,2,2,22,0.44,7
2019-02,31,51,19,5,2,10,0.37,24
2019-03,43,104,18,41,3,25,0.46,33
2019-04,35,64,17,23,1,23,0.51,27
2019-05,33,22,5,14,1,17,0.42,51
2019-06,24,71,8,17,1,15,0.45,40
2019-07,28,101,10,28,2,15,0.48,40
2019-08,17,11,5,13,2,10,0.42,20
2019-09,26,58,8,19,3,19,0.35,58
2019-10,31,90,11,25,3,18,0.34,21
2019-11,31,94,18,25,4,27,0.42,6
2019-12,45,76,29,25,4,37,0.53,3
2020-01,29,64,20,12,3,13,0.32,4
2020-02,20,29,11,11,3,10,0.4,20
2020-03,27,86,10,23,4,17,0.39,17
2020-04,39,108,20,31,4,28,0.42,39
2020-05,31,62,19,26,4,15,0.34,46
2020-06,20,33,7,14,3,16,0.41,30
2020-07,21,48,7,14,3,12,0.45,21
2020-08,24,83,6,23,4,12,0.37,39
2020-09,31,178,14,26,4,21,0.48,56
2020-10,22,77,11,18,4,17,0.4,22
2020-11,26,61,14,20,4,27,0.48,7
2020-12,39,147,19,30,5,24,0.37,3
2021-01,49,90,21,30,4,25,0.38,4
2021-02,25,17,12,17,4,12,0.42,22
2021-03,22,38,14,13,4,23,0.44,13
2021-04,26,65,13,27,4,15,0.39,25
2021-05,16,4,6,14,4,17,0.37,36
2021-06,20,52,9,17,4,10,0.43,41
2021-07,10,4,0,4,4,9,0.33,32
2021-08,25,86,9,22,5,12,0.48,45
2021-09,26,108,5,19,4,12,0.4,43
2021-10,19,38,6,17,4,19,0.38,4
2021-11,23,65,9,21,4,22,0.37,19
2021-12,29,76,14,29,5,16,0.38,12
2022-01,20,25,9,14,4,17,0.55,12
2022-02,29,84,15,22,5,10,0.48,26
2022-03,17,3,6,11,5,12,0.37,39
