年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,120,260,90,132,103,62,1.57,92
2015-02,157,274,119,172,40,46,1.22,54
2015-03,67,200,47,67,40,42,1.4,60
2015-04,100,289,74,107,50,30,1.18,77
2015-05,153,345,115,149,27,19,1.26,80
2015-06,71,247,52,68,24,25,1.22,76
2015-07,120,354,89,121,48,23,1.45,78
2015-08,90,333,65,100,43,22,1.05,85
2015-09,85,314,61,75,47,27,1.18,101
2015-10,132,337,99,145,61,37,1.11,95
2015-11,112,322,84,105,50,43,1.44,61
2015-12,119,304,89,115,50,55,1.44,53
2016-01,137,299,104,126,47,53,1.42,64
2016-02,209,287,170,217,85,37,1.16,73
2016-03,96,236,71,90,61,53,1.47,74
2016-04,91,254,66,104,38,42,1.52,86
2016-05,94,342,69,100,43,29,1.42,90
2016-06,84,295,62,92,35,22,1.63,114
2016-07,104,349,77,107,26,16,1.76,98
2016-08,98,339,73,113,45,22,1.28,113
2016-09,108,349,80,125,60,31,1.32,119
2016-10,104,350,77,117,37,32,1.3,89
2016-11,256,366,207,264,53,45,1.38,58
2016-12,153,316,116,181,56,58,1.65,83
2017-01,243,329,203,264,81,67,1.64,98
2017-02,143,331,108,161,45,43,1.1,126
2017-03,121,354,91,131,47,41,1.13,119
2017-04,114,359,61,102,47,26,0.84,167
2017-05,107,314,79,113,48,27,1.01,143
2017-06,82,286,59,80,46,19,0.96,94
2017-07,93,337,67,108,38,18,0.84,86
2017-08,75,351,54,78,33,17,0.91,93
2017-09,94,336,67,92,39,21,1.19,141
2017-10,125,355,93,125,41,37,1.11,134
2017-11,201,362,154,187,52,48,1.24,119
2017-12,148,351,112,147,51,63,1.07,88
2018-01,154,342,117,158,57,57,1.58,68
2018-02,171,319,130,167,27,53,1.29,83
2018-03,116,320,87,132,55,45,1.18,81
2018-04,114,298,71,175,31,35,1.0,138
2018-05,83,332,55,88,23,20,0.92,118
2018-06,105,343,55,90,25,18,0.82,147
2018-07,72,338,44,80,26,16,0.75,98
2018-08,108,349,44,74,38,16,0.75,167
2018-09,74,338,42,72,30,23,0.94,111
2018-10,97,353,61,103,36,37,0.95,138
2018-11,86,344,63,104,34,43,0.99,94
2018-12,103,272,77,125,26,43,1.42,57
2019-01,147,341,111,157,21,54,1.75,93
2019-02,143,234,108,156,18,26,1.1,78
2019-03,80,318,58,105,24,52,0.92,91
2019-04,66,270,42,79,29,29,1.0,104
2019-05,81,307,57,110,50,31,1.23,99
2019-06,60,264,40,65,26,15,0.92,140
2019-07,60,324,40,68,15,15,0.81,88
2019-08,72,334,51,86,18,15,0.88,139
2019-09,85,362,50,99,31,31,0.9,141
2019-10,98,351,58,145,31,37,1.22,138
2019-11,93,332,61,136,30,60,0.98,114
2019-12,98,291,72,133,32,56,1.43,78
2020-01,78,221,57,98,28,57,1.44,73
2020-02,66,277,47,77,12,23,0.91,80
2020-03,70,270,40,89,22,39,0.92,93
2020-04,79,325,53,108,23,53,0.78,150
2020-05,79,317,46,85,17,26,0.95,138
2020-06,46,262,26,49,11,21,0.74,90
2020-07,57,298,35,65,18,18,0.69,97
2020-08,57,300,36,63,15,16,0.72,124
2020-09,59,324,37,69,18,21,0.76,120
2020-10,77,331,51,103,22,30,0.78,126
2020-11,80,331,59,107,21,34,0.84,106
2020-12,128,300,97,147,34,62,0.97,63
2021-01,111,307,79,168,23,73,1.13,58
2021-02,88,285,64,121,16,45,1.18,75
2021-03,83,269,48,115,19,36,1.18,113
2021-04,81,314,45,113,16,37,0.98,95
2021-05,66,300,35,75,20,22,0.92,112
2021-06,56,303,38,58,17,16,0.99,108
2021-07,41,308,22,38,14,11,0.72,103
2021-08,52,290,32,53,13,12,0.77,118
2021-09,57,326,39,64,17,14,0.92,120
2021-10,76,333,55,81,17,34,0.9,100
2021-11,71,295,52,85,17,32,0.75,82
2021-12,107,341,79,115,22,40,1.0,98
2022-01,97,243,72,108,20,49,1.18,72
2022-02,75,252,55,69,9,30,0.84,71
2022-03,74,203,53,84,13,46,0.82,114
