年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,100.0,186.0,61.0,134.0,27.0,20.0,1.14,8.0
2015-02,95.5,236.0,50.0,121.5,24.0,15.0,0.845,9.0
2015-03,82.0,228.0,45.0,105.0,20.0,16.0,0.82,9.0
2015-04,65.5,152.0,32.0,76.5,4.0,14.0,0.845,11.5
2015-05,67.0,185.0,37.0,77.0,2.0,10.0,0.9,14.0
2015-06,56.0,194.5,32.5,62.0,3.5,7.0,1.03,12.0
2015-07,67.0,270.0,27.0,70.0,16.0,16.0,1.02,82.0
2015-08,70.0,270.0,26.0,71.0,15.0,18.0,0.86,89.0
2015-09,59.5,220.0,25.0,62.0,7.0,12.5,0.675,68.0
2015-10,78.0,268.0,50.0,99.0,22.0,26.0,0.65,51.0
2015-11,95.0,253.5,68.0,116.0,75.0,31.5,0.815,28.5
2015-12,81.0,195.0,54.0,81.0,86.0,36.0,0.83,27.0
2016-01,77.0,182.0,48.0,92.0,80.0,26.0,0.72,34.0
2016-02,87.0,293.0,46.0,118.0,99.0,29.0,0.63,45.0
2016-03,90.0,207.0,42.0,126.0,61.0,34.0,0.75,49.0
2016-04,70.0,227.5,30.5,88.0,22.0,30.5,0.605,58.0
2016-05,64.0,211.0,39.0,70.0,7.0,17.0,0.51,64.0
2016-06,62.5,226.5,35.0,53.5,14.0,16.5,0.475,80.5
2016-07,60.0,216.0,27.0,50.0,8.0,13.0,0.48,90.0
2016-08,51.0,185.0,28.0,44.0,7.0,12.0,0.5,72.0
2016-09,57.0,152.5,33.5,54.5,14.0,23.0,0.78,62.0
2016-10,70.0,261.0,43.0,82.0,20.0,29.0,0.82,44.0
2016-11,109.5,290.5,67.5,145.0,63.0,40.0,1.1349999999999998,33.5
2016-12,105.0,253.0,76.0,137.0,76.0,46.0,1.38,22.0
2017-01,87.0,221.0,59.0,115.0,66.0,40.0,1.23,38.0
2017-02,88.5,244.0,50.0,107.0,49.5,37.5,1.34,46.5
2017-03,61.0,131.0,35.0,67.0,32.0,35.0,0.96,54.0
2017-04,66.0,187.0,29.5,78.5,18.5,26.0,0.7,73.0
2017-05,77.0,217.0,35.0,94.0,20.0,23.0,0.78,74.0
2017-06,72.5,264.0,32.0,76.5,13.5,16.0,0.605,88.0
2017-07,70.0,284.0,31.0,76.0,10.0,11.0,0.7,88.0
2017-08,65.0,273.0,27.0,65.0,14.0,25.0,0.89,71.0
2017-09,71.5,267.5,27.5,89.5,16.0,28.0,0.58,57.5
2017-10,75.0,274.0,38.0,96.5,16.5,31.0,0.485,39.5
2017-11,85.5,258.0,40.0,114.0,33.5,29.0,0.5,36.0
2017-12,88.0,169.0,39.0,106.0,26.0,30.0,0.74,35.0
2018-01,76.0,207.0,36.0,90.0,31.0,23.0,0.7,41.0
2018-02,76.0,176.0,34.0,92.0,28.5,23.0,0.85,52.0
2018-03,110.0,310.0,55.0,150.0,20.0,28.0,0.56,47.0
2018-04,81.5,279.0,44.5,111.0,12.0,22.5,0.4,63.0
2018-05,79.0,301.0,36.0,105.0,9.0,17.0,0.35,76.0
2018-06,75.0,261.0,23.5,61.5,11.0,19.5,0.43,103.0
2018-07,59.0,249.0,20.0,48.0,6.0,9.0,0.47,95.0
2018-08,63.0,249.0,20.0,56.0,7.0,15.0,0.45,98.0
2018-09,53.0,218.0,17.0,48.0,7.0,21.0,0.32,60.0
2018-10,59.0,195.0,29.0,62.0,11.0,27.0,0.41,46.0
2018-11,73.5,255.0,40.0,93.5,22.5,34.5,0.595,35.0
2018-12,71.0,191.0,33.0,85.0,20.0,27.0,0.54,37.0
2019-01,77.0,167.0,45.0,94.0,28.0,37.0,0.81,27.0
2019-02,81.5,229.0,42.5,92.5,19.0,26.0,0.62,54.0
2019-03,72.0,215.0,33.0,72.0,15.0,30.0,0.69,68.0
2019-04,70.5,258.0,30.5,83.0,12.5,24.0,0.65,82.5
2019-05,67.0,259.0,24.0,70.0,9.0,19.0,0.69,85.0
2019-06,55.0,219.0,17.0,42.0,10.0,23.0,0.52,85.0
2019-07,50.5,226.5,15.0,39.5,9.0,21.5,0.415,92.0
2019-08,49.0,226.5,18.0,44.0,10.5,22.0,0.485,80.0
2019-09,43.0,163.5,18.0,44.5,8.0,24.0,0.485,71.5
2019-10,46.0,166.0,23.0,50.0,10.0,29.0,0.54,45.0
2019-11,63.5,204.5,35.0,72.0,15.5,36.5,0.675,44.0
2019-12,57.0,125.0,29.0,63.0,26.0,33.0,0.66,36.0
2020-01,92.0,243.0,65.0,93.0,19.0,35.0,0.77,41.0
2020-02,86.0,293.0,39.0,99.0,17.0,20.0,0.63,56.0
2020-03,64.0,271.0,27.0,76.0,12.0,20.0,0.43,63.0
2020-04,61.5,225.0,25.5,73.5,10.0,25.0,0.48,73.0
2020-05,60.0,261.0,25.0,66.0,8.0,19.0,0.4,78.0
2020-06,51.0,267.5,21.5,51.5,8.0,18.5,0.42,96.5
2020-07,43.0,269.0,17.0,44.0,8.0,16.0,0.56,87.0
2020-08,37.0,243.0,15.0,33.0,8.0,18.0,0.52,73.0
2020-09,43.5,206.5,17.0,41.5,7.5,25.0,0.485,59.5
2020-10,59.0,246.0,25.0,71.0,13.0,31.0,0.53,46.0
2020-11,87.5,293.5,54.0,111.5,13.5,38.0,0.865,42.5
2020-12,64.0,214.0,38.0,70.0,21.0,35.0,0.83,40.0
2021-01,71.0,172.0,35.0,87.0,20.0,20.0,0.64,52.0
2021-02,67.0,215.5,37.5,83.0,17.5,21.5,0.65,60.0
2021-03,84.0,285.0,43.0,111.0,10.0,26.0,0.55,60.0
2021-04,57.5,219.0,30.5,59.5,7.0,19.0,0.48,79.0
2021-05,66.0,300.0,32.0,83.0,9.0,21.0,0.44,83.0
2021-06,55.0,288.0,23.5,50.0,11.0,17.5,0.48,98.5
2021-07,51.0,332.0,18.0,46.0,9.0,14.0,0.38,105.0
2021-08,43.0,266.0,17.0,40.0,8.0,15.0,0.42,99.0
2021-09,43.0,255.5,16.5,42.5,8.0,20.5,0.36,64.5
2021-10,59.0,268.0,25.0,68.0,10.0,19.0,0.42,55.0
2021-11,75.5,264.5,34.5,99.5,13.0,19.5,0.48,47.5
2021-12,54.0,146.0,28.0,61.0,16.0,24.0,0.77,41.0
2022-01,92.0,210.0,67.0,89.0,17.0,38.0,1.1,35.0
2022-02,61.0,209.5,32.5,67.0,15.0,21.0,0.775,55.0
2022-03,90.5,280.0,36.5,132.0,12.0,22.0,0.635,68.5
