年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,276,644,225,293,135,38,2.15,18
2015-02,237,359,147,328,68,27,1.7,21
2015-03,290,359,83,426,65,30,1.3,16
2015-04,245,362,140,262,9,24,1.15,16
2015-05,179,360,95,247,14,17,1.22,24
2015-06,147,362,80,229,17,19,1.46,72
2015-07,119,349,54,173,38,43,1.58,146
2015-08,117,347,46,157,30,29,1.59,115
2015-09,122,338,55,156,21,36,1.1,102
2015-10,237,358,138,370,72,52,1.06,71
2015-11,216,358,153,283,138,59,1.89,66
2015-12,263,355,212,404,153,83,1.78,63
2016-01,213,338,164,188,176,68,1.9,50
2016-02,256,359,153,369,168,65,1.52,65
2016-03,307,359,114,403,109,55,2.45,82
2016-04,101,326,61,133,56,56,1.12,84
2016-05,364,360,214,491,33,28,0.62,98
2016-06,160,365,84,214,88,30,0.65,101
2016-07,104,350,43,113,28,23,0.72,125
2016-08,88,339,54,95,30,34,1.31,110
2016-09,102,363,76,98,33,42,1.63,82
2016-10,157,357,117,172,59,46,2.02,63
2016-11,214,357,113,326,127,82,2.04,51
2016-12,237,348,186,247,113,67,2.15,51
2017-01,358,352,200,652,131,77,3.22,63
2017-02,167,345,121,245,98,64,2.06,64
2017-03,186,359,91,319,54,56,1.17,72
2017-04,288,366,103,454,43,53,1.0,102
2017-05,424,363,326,818,58,40,1.04,119
2017-06,125,364,60,184,42,31,1.05,114
2017-07,154,361,63,214,46,40,0.99,107
2017-08,129,363,55,200,34,50,1.16,111
2017-09,102,351,46,151,58,45,0.87,76
2017-10,170,361,123,217,67,57,0.93,55
2017-11,174,362,133,222,90,65,1.56,66
2017-12,331,361,139,462,59,63,2.26,64
2018-01,164,345,119,206,85,46,2.11,59
2018-02,328,361,116,767,62,39,1.84,74
2018-03,335,360,137,722,35,45,1.62,75
2018-04,241,353,109,390,38,37,0.62,111
2018-05,233,362,110,440,23,30,0.58,110
2018-06,97,349,48,141,19,44,0.68,143
2018-07,268,366,239,868,21,26,0.88,116
2018-08,95,362,34,122,16,23,0.79,127
2018-09,81,346,42,114,26,30,0.56,101
2018-10,91,315,51,123,22,50,0.65,67
2018-11,385,355,122,769,42,72,1.55,85
2018-12,387,359,151,1046,39,46,1.78,58
2019-01,139,289,105,154,42,54,1.37,60
2019-02,212,364,78,323,30,56,1.03,78
2019-03,215,350,67,293,37,51,1.03,87
2019-04,349,365,201,711,29,44,0.94,99
2019-05,273,362,166,788,18,42,1.02,114
2019-06,167,365,77,264,31,36,0.65,107
2019-07,137,361,58,230,18,33,0.62,121
2019-08,80,354,28,96,21,41,0.76,107
2019-09,56,272,28,57,17,50,0.81,122
2019-10,271,365,114,386,27,55,0.8,94
2019-11,138,357,54,203,38,51,1.02,71
2019-12,115,302,85,128,41,57,1.56,62
2020-01,264,360,214,249,43,62,1.63,66
2020-02,193,359,98,330,34,34,1.17,65
2020-03,198,361,88,454,33,36,0.73,79
2020-04,111,339,56,170,36,45,0.65,96
2020-05,278,365,100,401,18,39,0.55,115
2020-06,158,358,91,216,15,32,0.89,122
2020-07,105,362,35,163,15,28,0.82,113
2020-08,96,365,47,141,15,28,0.84,105
2020-09,56,297,28,64,15,37,0.94,84
2020-10,122,337,60,188,26,54,0.75,72
2020-11,163,362,124,165,32,63,1.4,74
2020-12,172,353,130,177,41,63,1.55,62
2021-01,346,366,196,764,44,56,1.86,72
2021-02,208,358,77,307,34,41,1.15,84
2021-03,500,364,738,1616,19,41,1.27,90
2021-04,345,366,145,576,17,37,0.69,95
2021-05,300,365,147,412,17,37,0.57,111
2021-06,208,365,178,408,21,43,0.65,128
2021-07,72,361,37,95,16,38,0.61,134
2021-08,73,355,36,96,31,32,0.63,125
2021-09,69,359,30,88,15,38,0.5,111
2021-10,84,355,52,118,18,43,0.67,84
2021-11,164,357,72,264,24,53,1.42,72
2021-12,108,294,80,138,24,58,1.49,71
2022-01,253,337,203,251,48,69,2.28,74
2022-02,114,316,86,150,39,46,1.21,86
2022-03,246,337,98,347,44,51,1.22,96
