年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,71.0,101.0,46.0,77.0,27.0,35.0,0.94,30.0
2015-02,76.5,165.5,52.0,83.5,24.5,29.5,0.715,54.0
2015-03,54.0,107.0,30.0,54.0,18.0,18.0,0.59,74.0
2015-04,64.5,137.0,33.5,71.5,16.5,18.5,0.435,75.5
2015-05,54.0,116.0,25.0,56.0,11.0,19.0,0.35,77.0
2015-06,56.5,183.5,30.0,50.5,4.0,17.0,0.345,55.5
2015-07,58.0,194.0,36.0,48.0,3.0,18.0,0.45,63.0
2015-08,48.0,121.0,25.0,49.0,2.0,19.0,0.23,40.0
2015-09,52.0,120.0,21.0,50.5,3.0,17.5,0.22,41.5
2015-10,44.0,73.0,22.0,42.0,3.0,14.0,0.25,45.0
2015-11,56.5,159.0,35.0,61.0,5.0,20.0,0.505,27.0
2015-12,58.0,108.0,38.0,57.0,6.0,22.0,0.57,36.0
2016-01,58.0,131.0,40.0,52.0,8.0,26.0,0.8,37.0
2016-02,49.0,101.0,33.0,47.0,6.0,20.0,0.52,56.0
2016-03,50.0,64.0,26.0,51.0,4.0,18.0,0.46,62.0
2016-04,48.0,82.0,24.0,46.0,3.0,15.5,0.41000000000000003,69.5
2016-05,58.0,148.0,27.0,58.0,4.0,16.0,0.31,74.0
2016-06,56.0,192.5,27.5,60.5,4.0,17.0,0.3,59.5
2016-07,55.0,222.0,29.0,60.0,4.0,16.0,0.34,70.0
2016-08,60.0,214.0,17.0,68.0,4.0,18.0,0.34,43.0
2016-09,54.0,151.0,19.0,59.5,5.0,20.0,0.33999999999999997,38.5
2016-10,33.0,59.0,18.0,28.0,8.0,16.0,0.34,42.0
2016-11,36.0,40.0,18.5,31.5,6.0,18.0,0.36,45.0
2016-12,42.0,23.0,23.0,36.0,5.0,24.0,0.63,43.0
2017-01,45.0,45.0,26.0,41.0,5.0,22.0,0.78,50.0
2017-02,43.0,34.5,19.0,32.0,4.0,16.5,0.635,73.0
2017-03,45.0,55.0,19.0,32.0,3.0,17.0,0.55,77.0
2017-04,47.0,62.0,13.5,35.5,2.0,10.5,0.39,81.5
2017-05,47.0,60.0,12.0,39.0,2.0,12.0,0.31,77.0
2017-06,50.0,153.0,16.5,48.0,2.0,17.0,0.345,66.0
2017-07,49.0,163.0,13.0,50.0,2.0,16.0,0.47,66.0
2017-08,44.0,141.0,15.0,39.0,1.0,13.0,0.42,57.0
2017-09,31.5,32.5,10.5,24.0,1.0,14.0,0.355,48.0
2017-10,29.0,36.0,10.5,22.0,2.0,17.0,0.37,49.5
2017-11,33.5,15.5,13.0,29.0,3.0,14.5,0.44,42.5
2017-12,47.0,48.0,31.0,44.0,5.0,25.0,0.71,30.0
2018-01,35.0,21.0,21.0,28.0,5.0,16.0,0.55,48.0
2018-02,41.0,33.5,24.5,33.0,5.0,17.0,0.585,62.5
2018-03,45.0,38.0,13.0,26.0,4.0,13.0,0.43,83.0
2018-04,46.0,28.5,9.5,20.0,2.0,10.0,0.355,84.5
2018-05,50.0,86.0,12.0,32.0,2.0,12.0,0.35,86.0
2018-06,37.5,70.0,8.5,22.0,2.0,13.5,0.3,69.5
2018-07,35.0,75.0,8.0,18.0,2.0,10.0,0.34,65.0
2018-08,30.0,30.0,12.0,24.0,2.0,12.0,0.35,49.0
2018-09,29.0,39.0,12.0,22.0,2.0,10.0,0.3,47.0
2018-10,27.0,20.0,13.0,24.0,2.0,11.0,0.29,43.0
2018-11,29.0,32.0,16.0,25.0,2.0,9.0,0.325,46.0
2018-12,32.0,53.0,19.0,27.0,3.0,11.0,0.4,44.0
2019-01,35.0,27.0,20.0,31.0,3.0,13.0,0.45,49.0
2019-02,35.0,46.5,19.0,27.0,3.0,11.0,0.415,56.5
2019-03,37.0,36.0,17.0,26.0,2.0,10.0,0.34,71.0
2019-04,45.5,89.0,18.0,30.5,2.0,11.0,0.37,79.0
2019-05,45.0,89.0,15.0,40.0,2.0,9.0,0.29,72.0
2019-06,33.0,80.0,11.0,24.0,2.0,9.0,0.29,70.0
2019-07,30.0,85.0,12.0,22.5,2.0,11.0,0.305,61.0
2019-08,22.5,28.0,12.0,14.0,2.0,8.5,0.4,45.0
2019-09,24.0,26.0,11.0,21.0,2.0,13.0,0.315,48.0
2019-10,20.0,22.0,11.0,18.0,2.0,9.0,0.35,46.0
2019-11,26.0,21.5,15.0,24.0,2.0,11.0,0.385,44.5
2019-12,28.0,21.0,18.0,25.0,3.0,13.0,0.38,46.0
2020-01,37.0,61.0,26.0,32.0,4.0,20.0,0.52,45.0
2020-02,32.0,75.0,21.0,28.0,3.0,12.0,0.45,62.0
2020-03,28.0,34.0,16.0,21.0,2.0,9.0,0.4,74.0
2020-04,34.0,54.5,16.0,32.0,2.0,9.0,0.385,76.5
2020-05,30.0,51.0,13.0,26.0,2.0,8.0,0.33,77.0
2020-06,28.0,116.0,13.0,24.5,2.0,10.0,0.355,62.0
2020-07,33.0,144.0,15.0,26.0,2.0,10.0,0.42,86.0
2020-08,24.0,64.0,12.0,20.0,2.0,9.0,0.38,44.0
2020-09,26.5,81.0,15.0,25.5,2.0,12.0,0.39,37.5
2020-10,25.0,36.0,14.0,24.0,2.0,9.0,0.31,44.0
2020-11,26.5,35.0,16.0,23.5,2.0,12.0,0.395,41.5
2020-12,26.0,23.0,16.0,22.0,4.0,9.0,0.4,48.0
2021-01,33.0,25.0,21.0,29.0,5.0,13.0,0.48,50.0
2021-02,32.5,47.0,20.5,28.5,4.0,10.5,0.455,65.5
2021-03,30.0,34.0,15.0,26.0,4.0,9.0,0.34,71.0
2021-04,29.5,51.0,13.0,25.5,3.0,11.0,0.395,75.5
2021-05,28.0,56.0,13.0,22.0,3.0,11.0,0.38,72.0
2021-06,30.0,77.0,15.0,23.0,3.0,11.0,0.4,72.0
2021-07,25.0,96.0,11.0,20.0,3.0,9.0,0.33,61.0
2021-08,27.0,126.0,14.0,24.0,3.0,9.0,0.29,49.0
2021-09,27.5,100.0,15.0,25.5,3.0,12.0,0.315,44.5
2021-10,29.0,97.0,15.0,28.0,3.0,14.0,0.32,45.0
2021-11,30.0,54.0,17.0,28.5,4.0,10.5,0.34,43.5
2021-12,29.0,34.0,19.0,27.0,4.0,9.0,0.4,50.0
2022-01,38.0,94.0,26.0,31.0,5.0,19.0,0.53,36.0
2022-02,33.5,119.0,22.5,27.5,4.0,13.5,0.485,60.0
2022-03,30.5,51.5,18.5,27.5,4.0,9.0,0.38,77.0
