年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,166.0,81.5,100.5,251.5,52.0,68.0,2.24,25.0
2013-11,100.5,58.0,57.5,147.0,46.0,34.5,2.5149999999999997,16.5
2013-12,110.0,44.0,82.0,158.0,88.0,58.0,3.91,14.0
2014-01,88.0,52.5,56.0,114.0,100.0,63.0,4.1899999999999995,18.0
2014-02,79.5,79.0,52.5,81.5,74.5,54.5,3.765,21.5
2014-03,84.5,99.0,39.0,119.0,77.0,45.0,2.375,29.0
2014-04,95.0,118.0,35.0,129.5,28.0,41.0,2.085,37.5
2014-05,94.0,101.0,34.0,138.0,27.0,38.0,1.45,43.0
2014-06,72.0,88.5,21.5,83.5,20.0,32.5,1.125,70.5
2014-07,75.0,123.0,30.0,97.0,17.0,42.0,0.75,70.0
2014-08,70.0,117.0,22.0,90.0,19.0,41.0,0.85,58.0
2014-09,67.0,125.0,28.5,81.0,18.0,40.5,0.88,50.0
2014-10,103.0,140.0,54.0,154.0,27.0,53.0,1.47,29.0
2014-11,86.0,76.5,49.0,119.0,61.5,54.0,1.99,22.0
2014-12,99.0,100.0,63.0,111.0,72.0,48.0,2.47,20.0
2015-01,85.0,124.0,56.0,110.0,86.0,59.0,2.72,16.0
2015-02,81.5,145.5,40.0,95.5,60.5,38.5,1.73,32.5
2015-03,79.0,209.0,30.0,105.0,53.0,37.0,1.45,41.0
2015-04,67.0,167.5,23.5,81.0,19.0,33.0,0.8,50.0
2015-05,72.0,198.0,20.0,95.0,13.0,22.0,0.66,67.0
2015-06,62.0,231.0,22.0,66.0,11.0,27.5,0.635,78.0
2015-07,72.0,271.0,24.0,75.0,13.0,31.0,0.79,98.0
2015-08,65.0,235.0,18.0,73.0,10.0,33.0,0.62,80.0
2015-09,58.5,190.5,22.0,63.0,9.5,32.0,0.66,60.5
2015-10,81.0,209.0,30.0,106.0,21.0,42.0,0.9,42.0
2015-11,84.5,278.5,60.5,97.5,31.5,34.5,1.54,24.5
2015-12,122.0,286.0,90.0,148.0,54.0,63.0,2.73,13.0
2016-01,83.0,188.0,57.0,96.0,54.0,46.0,1.86,27.0
2016-02,66.0,161.0,37.0,77.0,35.0,34.0,1.35,39.0
2016-03,74.0,170.0,35.0,95.0,34.0,36.0,1.09,48.0
2016-04,78.5,250.5,27.0,105.0,16.0,38.0,0.905,68.0
2016-05,80.0,244.0,27.0,100.0,14.0,30.0,0.73,84.0
2016-06,60.0,194.5,19.0,53.5,12.0,32.5,0.765,79.5
2016-07,62.0,261.0,19.0,47.0,7.0,29.0,0.76,95.0
2016-08,54.0,170.0,13.0,46.0,7.0,30.0,0.74,73.0
2016-09,49.0,122.0,19.5,49.5,10.0,42.0,0.755,46.0
2016-10,71.0,276.0,31.0,86.0,17.0,48.0,0.95,39.0
2016-11,105.5,281.5,74.5,149.5,50.5,60.0,1.9,21.5
2016-12,86.0,183.0,61.0,103.0,69.0,63.0,2.19,22.0
2017-01,93.0,197.0,64.0,106.0,62.0,57.0,2.4,29.0
2017-02,87.0,208.0,56.5,91.5,54.0,45.0,1.7850000000000001,45.0
2017-03,67.0,154.0,28.0,73.0,41.0,43.0,1.36,60.0
2017-04,74.5,206.5,27.5,95.5,17.0,41.5,0.865,67.5
2017-05,80.0,238.0,27.0,108.0,14.0,38.0,0.66,79.0
2017-06,76.0,268.0,24.5,74.5,12.0,38.0,0.725,97.5
