年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,124,178,45,196,25,12,1.2,24
2015-02,106,245,37,127,25,12,1.15,23
2015-03,129,301,37,0,14,17,0.87,16
2015-04,132,321,47,116,17,13,0.52,30
2015-05,67,159,20,79,14,10,0.16,43
2015-06,51,173,17,36,7,7,0.19,61
2015-07,67,249,20,67,16,10,0.27,52
2015-08,64,235,26,77,9,10,0.24,39
2015-09,53,148,19,52,8,11,0.24,19
2015-10,87,239,35,111,13,15,0.43,27
2015-11,71,154,42,84,43,31,0.74,26
2015-12,31,13,21,19,4,15,0.63,22
2016-01,80,123,53,91,21,13,0.38,23
2016-02,112,163,62,0,16,15,0.86,18
2016-03,67,149,21,58,20,12,0.42,27
2016-04,61,86,33,68,6,9,0.41,55
2016-05,84,281,40,111,7,7,0.41,46
2016-06,68,333,19,80,8,6,0.54,73
2016-07,50,195,16,42,9,8,0.69,66
2016-08,38,33,12,25,3,6,0.35,56
2016-09,41,48,16,25,3,7,0.54,50
2016-10,76,259,31,94,0,12,0.6,40
2016-11,71,118,30,91,31,13,1.09,35
2016-12,79,117,42,105,27,27,0.95,22
2017-01,51,53,30,40,8,15,0.57,23
2017-02,68,197,35,72,16,14,0.6,30
2017-03,72,182,29,92,18,14,0.64,47
2017-04,71,229,24,85,14,8,0.33,48
2017-05,124,256,52,185,18,5,0.33,39
2017-06,60,178,17,40,15,5,0.3,74
2017-07,58,183,24,53,15,5,0.29,63
2017-08,76,306,27,97,19,7,0.34,51
2017-09,64,248,25,77,15,5,0.47,59
2017-10,105,257,35,156,9,10,0.55,56
2017-11,103,209,29,143,26,26,1.43,41
2017-12,70,137,43,70,8,15,1.46,38
2018-01,135,279,47,203,7,9,1.41,40
2018-02,90,177,32,128,16,18,1.24,39
2018-03,100,296,45,147,13,11,0.94,44
2018-04,122,327,67,186,7,4,0.16,36
2018-05,85,352,54,100,4,9,0.21,47
2018-06,56,157,20,54,8,6,0.18,48
2018-07,66,251,27,71,7,9,0.32,53
2018-08,76,279,20,96,6,9,0.24,56
2018-09,71,327,23,89,6,6,0.28,33
2018-10,72,273,26,87,5,11,0.4,31
2018-11,28,15,14,22,6,13,0.5,22
2018-12,98,241,47,140,12,22,0.78,25
2019-01,31,11,14,27,7,18,0.13,20
2019-02,106,248,35,160,15,17,0.46,22
2019-03,84,233,30,116,8,14,0.24,24
2019-04,101,325,44,125,2,10,0.22,49
2019-05,84,262,33,111,1,7,0.2,56
2019-06,49,221,8,28,4,7,0.29,54
2019-07,58,263,12,56,6,9,0.43,60
2019-08,15,2,5,21,1,3,0.17,15
2019-09,58,287,30,68,6,11,0.57,28
2019-10,80,314,35,110,7,12,0.47,26
2019-11,102,306,57,153,13,28,0.96,25
2019-12,94,264,46,134,14,28,1.06,28
2020-01,80,225,45,99,11,25,1.03,43
2020-02,86,281,61,102,9,12,0.76,49
2020-03,106,338,55,149,4,10,0.37,32
2020-04,68,274,37,68,3,8,0.39,46
2020-05,47,217,17,51,4,12,0.36,50
2020-06,0,1,0,0,0,0,0.0,0
2020-07,63,334,14,76,4,6,0.35,64
2020-08,94,363,26,138,6,4,0.42,59
2020-09,88,356,31,126,7,7,0.47,35
2020-10,81,270,32,113,10,16,0.73,42
2020-11,77,207,36,105,8,18,0.88,36
2020-12,62,127,35,70,11,24,1.08,32
2021-01,56,99,23,69,9,19,0.83,33
2021-02,80,181,29,106,7,11,0.66,56
2021-03,88,235,30,126,6,12,0.55,42
2021-04,61,302,18,72,5,7,0.55,61
2021-05,82,314,33,115,6,7,0.24,43
2021-06,33,215,3,26,2,3,0.21,75
2021-07,53,327,9,58,1,5,0.19,74
2021-08,53,285,19,55,2,8,0.15,52
2021-09,56,335,11,62,2,6,0.08,53
2021-10,79,297,36,107,2,10,0.55,23
2021-11,76,238,31,102,3,18,0.72,35
2021-12,83,205,48,112,10,18,1.33,36
2022-01,79,185,36,108,11,20,1.74,44
2022-02,68,224,28,86,2,8,1.71,48
2022-03,116,297,45,182,6,6,2.01,40
