年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,56,41,34,60,4,9,0.61,14
2015-02,43,72,12,45,2,5,0.39,18
2015-03,60,118,20,71,2,4,0.22,22
2015-04,42,20,13,41,2,4,0.27,25
2015-05,36,41,15,37,2,3,0.12,27
2015-06,28,17,12,24,1,4,0.18,29
2015-07,36,39,10,35,1,4,0.28,34
2015-08,37,69,11,39,1,4,0.4,28
2015-09,35,63,9,34,1,5,0.36,12
2015-10,40,53,13,41,1,6,0.58,19
2015-11,39,80,23,36,2,7,0.73,9
2015-12,39,39,16,29,5,4,0.6,8
2016-01,42,33,22,41,3,9,0.8,15
2016-02,52,89,16,55,2,7,0.65,19
2016-03,49,50,19,56,1,4,0.35,25
2016-04,42,44,14,43,1,4,0.17,33
2016-05,36,5,12,35,1,3,0.09,33
2016-06,35,43,10,32,1,3,0.2,37
2016-07,37,68,10,35,1,3,0.42,25
2016-08,34,57,13,34,1,4,0.67,26
2016-09,45,71,14,40,2,20,0.68,29
2016-10,41,68,11,25,2,15,0.75,37
2016-11,38,18,16,37,4,22,0.61,25
2016-12,55,55,31,52,7,23,0.97,14
2017-01,49,31,21,50,4,29,0.68,14
2017-02,35,6,9,25,6,25,0.99,23
2017-03,47,42,18,47,5,7,0.56,48
2017-04,40,14,13,37,4,13,0.78,64
2017-05,47,27,11,22,2,8,0.58,85
2017-06,51,137,12,36,2,10,0.29,63
2017-07,50,170,11,33,2,7,0.36,61
2017-08,45,144,7,15,1,5,0.48,71
2017-09,55,126,10,37,1,11,0.35,45
2017-10,40,86,9,34,3,7,0.72,36
2017-11,38,21,14,35,3,13,0.96,20
2017-12,43,26,29,27,5,20,1.32,18
2018-01,46,18,28,37,3,15,1.07,25
2018-02,41,13,16,37,4,13,1.31,37
2018-03,52,54,7,51,4,12,0.72,31
2018-04,44,9,6,12,3,7,0.48,44
2018-05,55,113,7,33,3,11,0.13,77
2018-06,51,146,8,28,4,11,0.54,84
2018-07,26,20,10,21,3,18,0.54,44
2018-08,25,17,8,17,4,19,0.59,31
2018-09,26,21,7,21,2,18,0.43,15
2018-10,33,32,8,31,3,19,0.45,11
2018-11,28,18,12,19,4,10,0.53,11
2018-12,48,88,27,15,3,17,0.76,12
2019-01,65,88,23,9,2,12,0.99,10
2019-02,52,125,16,54,3,7,0.62,38
2019-03,46,67,12,44,3,6,0.5,41
2019-04,45,62,8,32,2,5,0.37,57
2019-05,45,96,10,40,1,7,0.19,48
2019-06,33,108,8,29,1,6,0.16,72
2019-07,45,212,12,44,1,10,0.27,66
2019-08,51,197,14,54,2,11,0.4,60
2019-09,31,107,8,28,2,7,0.43,38
2019-10,39,55,11,42,2,12,0.4,34
2019-11,46,100,13,49,3,14,0.35,20
2019-12,56,88,28,66,5,28,0.76,20
2020-01,59,123,33,62,3,21,0.82,18
2020-02,39,136,9,39,7,4,0.46,45
2020-03,39,117,11,39,4,4,0.41,55
2020-04,39,49,11,39,1,2,0.2,49
2020-05,30,75,6,26,1,7,0.28,59
2020-06,36,128,8,31,2,6,0.25,62
2020-07,30,97,8,22,2,5,0.35,59
2020-08,28,120,6,17,2,5,0.25,73
2020-09,34,90,9,32,2,14,0.35,39
2020-10,31,45,9,35,2,13,0.26,39
2020-11,39,101,13,40,5,9,0.35,28
2020-12,44,78,26,49,4,20,0.59,15
2021-01,36,43,15,37,3,17,0.54,21
2021-02,38,60,13,39,5,8,0.34,41
2021-03,45,92,11,53,2,8,0.09,49
2021-04,34,83,10,32,2,7,0.27,62
2021-05,34,138,5,30,2,7,0.22,60
2021-06,30,80,6,17,4,8,0.22,69
2021-07,33,174,7,28,3,6,0.18,80
2021-08,39,175,7,35,4,10,0.23,48
2021-09,41,227,9,39,4,14,0.2,48
2021-10,31,138,10,30,4,10,0.27,32
2021-11,35,110,11,35,2,9,0.3,23
2021-12,42,73,15,43,8,22,0.5,18
2022-01,56,139,26,64,4,23,0.54,17
2022-02,28,102,10,26,2,8,0.34,38
2022-03,36,29,12,36,2,8,0.42,50
