年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,172.0,98.5,132.5,196.0,75.5,88.5,2.95,16.5
2013-11,144.0,91.0,109.0,187.0,70.0,68.0,1.9949999999999999,16.5
2013-12,121.0,64.0,100.0,162.0,110.0,64.0,2.25,13.0
2014-01,170.0,126.0,129.0,187.0,139.0,66.0,3.165,10.5
2014-02,150.0,170.0,113.5,157.5,136.5,61.5,3.12,28.0
2014-03,151.5,171.0,113.0,205.0,102.0,69.0,3.0700000000000003,40.0
2014-04,125.0,169.0,82.5,168.0,67.0,59.0,2.295,63.0
2014-05,107.0,149.0,69.0,144.0,55.0,61.0,1.8,82.0
2014-06,104.0,160.5,68.5,120.0,42.0,49.0,1.9,80.5
2014-07,131.0,177.0,95.0,150.0,40.0,40.0,1.57,99.0
2014-08,85.0,155.0,54.0,101.0,27.0,38.0,1.39,71.0
2014-09,81.0,150.0,55.5,95.0,29.0,39.0,1.37,40.0
2014-10,127.0,166.0,82.0,160.0,31.0,58.0,1.59,26.0
2014-11,129.0,159.0,95.0,170.0,58.0,80.5,2.02,21.5
2014-12,129.5,137.0,94.5,153.5,88.0,74.5,2.83,19.5
2015-01,131.0,287.0,99.0,165.0,81.0,71.0,2.62,21.0
2015-02,126.0,299.5,89.0,147.5,61.0,56.5,1.875,33.5
2015-03,128.0,329.0,90.0,166.0,63.0,63.0,2.2,47.0
2015-04,132.5,346.5,89.0,170.0,45.0,60.0,1.73,68.5
2015-05,113.0,343.0,79.0,146.0,38.0,52.0,1.48,86.0
2015-06,97.5,320.5,64.0,109.5,33.0,53.0,1.9049999999999998,78.5
2015-07,104.0,328.0,67.0,104.0,38.0,45.0,2.16,85.0
2015-08,76.0,313.0,49.0,82.0,28.0,45.0,1.59,55.0
2015-09,72.0,292.0,35.5,82.5,35.0,58.0,1.7,56.5
2015-10,79.0,230.0,54.0,92.0,32.0,55.0,1.7,34.0
2015-11,144.5,328.0,104.0,144.0,46.0,66.5,2.355,15.5
2015-12,160.0,307.0,122.0,188.0,63.0,75.0,2.87,16.0
2016-01,82.0,208.0,59.0,92.0,57.0,59.0,2.26,24.0
2016-02,70.0,169.0,49.0,76.0,38.0,51.0,1.75,47.0
2016-03,112.0,291.0,76.0,145.0,51.0,73.0,2.01,44.0
2016-04,109.0,318.0,57.5,157.5,44.5,51.5,1.73,64.5
2016-05,90.0,318.0,48.0,109.0,33.0,47.0,1.36,84.0
2016-06,102.5,347.0,60.0,102.5,37.0,49.0,1.9699999999999998,111.5
2016-07,82.0,321.0,59.0,98.0,25.0,36.0,2.05,75.0
2016-08,61.0,247.0,35.0,59.0,28.0,45.0,2.06,63.0
2016-09,87.0,297.5,55.5,101.0,35.0,55.5,1.915,72.5
2016-10,95.0,326.0,66.0,113.0,39.0,65.0,1.94,28.0
2016-11,135.5,315.5,100.0,168.5,44.5,69.0,2.2750000000000004,14.5
2016-12,136.0,312.0,104.0,161.0,60.0,83.0,2.56,12.0
2017-01,135.0,273.0,102.0,154.0,44.0,63.0,2.54,17.0
2017-02,113.0,301.5,84.0,122.5,42.5,68.0,2.165,39.5
2017-03,93.0,297.0,66.0,111.0,43.0,64.0,1.8,48.0
2017-04,91.5,308.5,54.0,127.5,37.5,58.0,1.32,64.0
2017-05,96.0,306.0,49.0,121.0,34.0,56.0,1.36,84.0
2017-06,93.5,316.5,41.5,88.5,35.0,51.0,1.7850000000000001,106.0
2017-07,85.0,317.0,46.0,89.0,27.0,44.0,2.0,89.0
2017-08,71.0,308.0,35.0,70.0,31.0,47.0,1.74,72.0
2017-09,94.5,341.0,53.5,107.5,31.0,55.5,1.67,91.0
2017-10,93.0,322.5,64.0,115.0,25.0,61.0,1.6949999999999998,28.5
2017-11,85.0,252.5,56.5,112.0,30.5,57.5,1.4449999999999998,26.0
2017-12,89.0,205.0,62.0,111.0,34.0,64.0,1.69,22.0
2018-01,76.0,198.0,50.0,93.0,35.0,60.0,1.82,23.0
2018-02,98.5,231.0,70.0,105.0,34.0,54.0,1.79,44.0
2018-03,108.0,313.0,75.0,134.0,34.0,64.0,1.75,52.0
2018-04,94.5,279.5,48.5,124.0,32.5,59.0,1.29,73.5
2018-05,103.0,318.0,52.0,124.0,31.0,53.0,1.45,94.0
2018-06,99.5,334.5,49.0,87.5,26.0,48.5,1.55,118.5
2018-07,73.0,327.0,47.0,76.0,19.0,38.0,1.68,79.0
2018-08,67.0,292.0,35.0,67.0,27.0,39.0,1.58,97.0
