年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,131.0,268.0,93.0,148.0,53.0,52.0,1.01,28.0
2015-02,104.5,234.0,77.5,115.5,38.5,32.5,0.855,51.0
2015-03,107.0,283.0,75.0,127.0,24.0,29.0,0.81,53.0
2015-04,103.0,315.0,69.5,118.5,18.5,28.5,0.67,83.0
2015-05,121.0,334.0,85.0,140.0,22.0,25.0,0.69,99.0
2015-06,98.5,314.5,57.0,110.5,15.5,24.0,0.62,91.5
2015-07,78.0,276.0,54.0,73.0,9.0,19.0,0.58,75.0
2015-08,63.0,240.0,37.0,64.0,14.0,17.0,0.59,81.0
2015-09,66.0,247.5,38.5,73.5,19.0,25.0,0.665,77.0
2015-10,88.0,243.0,61.0,110.0,30.0,47.0,0.8,47.0
2015-11,94.0,278.0,67.0,105.5,23.0,42.0,0.8049999999999999,28.0
2015-12,154.0,312.0,117.0,202.0,57.0,56.0,1.41,25.0
2016-01,171.0,332.0,137.0,199.0,42.0,49.0,1.19,30.0
2016-02,138.0,323.0,101.0,193.0,37.0,32.0,0.96,52.0
2016-03,119.0,312.0,83.0,170.0,33.0,35.0,0.9,72.0
2016-04,122.0,329.5,83.0,150.5,31.0,28.5,0.84,81.5
2016-05,97.0,324.0,62.0,112.0,25.0,19.0,0.68,99.0
2016-06,86.5,327.0,47.5,89.5,14.5,20.0,0.67,102.0
2016-07,79.0,297.0,53.0,80.0,9.0,14.0,0.63,75.0
2016-08,66.0,290.0,41.0,67.0,10.0,16.0,0.73,78.0
2016-09,68.5,244.5,36.5,64.5,15.0,28.5,0.705,94.5
2016-10,62.0,213.0,34.0,67.0,11.0,34.0,0.65,37.0
2016-11,92.5,248.5,65.0,113.0,17.0,39.5,0.85,31.0
2016-12,147.0,304.0,111.0,170.0,19.0,47.0,1.21,24.0
2017-01,140.0,255.0,102.0,174.0,15.0,41.0,1.04,31.0
2017-02,109.0,294.0,80.0,140.0,18.5,34.5,0.98,54.5
2017-03,90.0,276.0,55.0,122.0,18.0,36.0,0.69,57.0
2017-04,92.5,303.0,50.0,117.0,13.0,29.0,0.8,80.0
2017-05,95.0,301.0,44.0,102.0,11.0,24.0,0.59,105.0
2017-06,92.5,316.0,48.5,100.0,7.5,20.0,0.65,129.0
2017-07,62.0,238.0,31.0,61.0,5.0,15.0,0.6,81.0
2017-08,65.0,291.0,34.0,71.0,5.0,18.0,0.68,92.0
2017-09,68.0,274.0,37.5,78.5,7.5,30.0,0.71,84.5
2017-10,74.5,283.0,42.5,96.5,7.5,49.0,0.81,49.0
2017-11,108.0,311.0,75.5,130.0,14.0,50.0,0.87,39.0
2017-12,115.0,279.0,83.0,132.0,15.0,56.0,1.11,31.0
2018-01,134.0,305.0,101.0,134.0,12.0,45.0,1.28,34.0
2018-02,116.5,319.5,79.5,146.5,12.0,35.0,1.045,51.5
2018-03,93.0,271.0,61.0,90.0,10.0,33.0,0.93,77.0
2018-04,99.0,291.5,54.0,112.0,10.0,28.0,0.9450000000000001,99.0
2018-05,88.0,309.0,49.0,99.0,8.0,20.0,0.87,100.0
2018-06,90.5,308.0,36.5,82.0,7.0,19.5,0.79,138.5
2018-07,60.0,265.0,27.0,63.0,6.0,12.0,0.71,73.0
2018-08,67.0,274.0,35.0,65.0,5.0,14.0,0.85,93.0
2018-09,68.0,320.0,30.0,70.0,7.0,25.0,0.73,75.0
2018-10,81.0,322.0,45.0,98.0,10.0,44.0,0.69,58.0
2018-11,98.0,316.0,70.5,90.0,7.0,39.0,0.815,39.0
2018-12,124.0,319.0,91.0,117.0,10.0,48.0,0.92,25.0
2019-01,141.0,290.0,106.0,145.0,12.0,46.0,1.13,30.0
2019-02,144.5,342.0,106.0,133.5,9.0,25.5,1.185,43.5
2019-03,219.0,361.0,168.0,178.0,9.0,45.0,1.29,41.0
2019-04,223.0,361.0,172.0,184.5,8.0,41.0,1.355,43.0
