年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,52,45,20,43,8,13,0.91,15
2015-02,61,55,33,61,7,13,0.94,34
2015-03,34,13,17,20,2,12,1.09,27
2015-04,31,10,13,20,7,11,1.82,37
2015-05,49,65,16,41,2,12,0.56,43
2015-06,28,21,4,9,2,10,0.69,26
2015-07,42,115,15,26,4,13,0.25,41
2015-08,37,56,9,18,4,10,0.8,38
2015-09,35,62,12,25,5,15,1.61,10
2015-10,25,21,10,15,2,15,1.55,10
2015-11,21,4,8,10,4,23,0.65,0
2015-12,44,50,23,0,4,10,0.92,16
2016-01,37,15,14,28,4,6,1.7,24
2016-02,40,25,15,30,8,8,1.04,48
2016-03,48,36,18,37,5,16,0.2,34
2016-04,30,26,14,27,2,10,0.66,27
2016-05,32,8,10,17,2,11,0.3,48
2016-06,37,40,10,17,2,12,0.3,36
2016-07,32,36,8,10,1,11,0.51,54
2016-08,28,11,10,23,3,12,0.62,41
2016-09,30,9,14,26,4,15,0.53,28
2016-10,17,3,7,13,3,8,0.34,13
2016-11,29,40,11,21,5,14,0.37,15
2016-12,50,57,27,51,6,21,0.62,17
2017-01,36,35,23,24,7,8,0.47,15
2017-02,38,24,20,36,5,14,0.71,38
2017-03,37,26,18,4,2,14,0.34,43
2017-04,26,8,9,9,2,15,0.51,37
2017-05,41,19,17,27,3,12,0.49,38
2017-06,32,28,12,17,5,13,0.43,37
2017-07,30,22,9,16,2,15,0.51,40
2017-08,27,13,6,10,2,13,0.53,36
2017-09,16,1,6,10,2,15,0.49,12
2017-10,13,1,4,8,1,12,0.39,15
2017-11,47,37,19,38,3,21,0.46,16
2017-12,54,42,31,59,5,26,0.54,11
2018-01,42,43,21,12,5,12,0.47,17
2018-02,42,30,19,14,2,8,0.43,37
2018-03,30,15,13,27,6,12,0.49,31
2018-04,25,6,8,10,2,10,0.3,33
2018-05,24,3,8,11,1,12,0.24,40
2018-06,34,52,11,19,2,13,0.38,35
2018-07,26,30,6,12,3,10,0.53,32
2018-08,36,46,14,29,1,11,0.49,38
2018-09,17,2,3,6,2,8,0.32,18
2018-10,37,47,13,29,2,18,0.33,21
2018-11,17,8,7,9,2,19,0.41,15
2018-12,55,105,30,43,3,22,0.43,11
2019-01,42,35,20,39,3,16,0.56,23
2019-02,41,86,27,38,3,8,0.48,28
2019-03,39,44,18,32,3,11,0.38,40
2019-04,28,5,7,23,2,12,0.45,27
2019-05,31,26,10,15,2,7,0.35,53
2019-06,16,9,5,9,2,9,0.29,50
2019-07,21,25,3,15,5,10,0.26,42
2019-08,23,36,5,11,3,7,0.34,37
2019-09,15,7,3,6,3,6,0.36,40
2019-10,10,2,3,7,4,9,0.36,11
2019-11,34,53,12,30,3,14,0.33,15
2019-12,40,29,14,40,4,17,0.32,22
2020-01,42,78,23,28,5,9,0.51,22
2020-02,21,12,11,15,2,3,0.33,42
2020-03,16,14,6,8,2,10,0.34,44
2020-04,36,50,17,34,3,18,0.29,26
2020-05,27,31,9,25,3,10,0.31,52
2020-06,19,27,2,10,3,10,0.37,44
2020-07,23,68,6,15,6,11,0.37,29
2020-08,16,13,3,10,4,8,0.25,31
2020-09,19,53,7,10,5,14,0.32,34
2020-10,14,8,3,8,2,12,0.27,18
2020-11,21,18,10,18,2,11,0.29,20
2020-12,42,61,13,42,2,13,0.25,21
2021-01,32,27,13,30,3,14,0.31,15
2021-02,27,43,17,21,4,11,0.28,35
2021-03,30,29,17,24,3,10,0.29,33
2021-04,13,3,2,8,3,15,0.25,35
2021-05,19,13,5,15,2,7,0.15,49
2021-06,21,52,4,11,4,9,0.22,28
2021-07,16,19,5,12,4,8,0.37,41
2021-08,14,13,4,11,2,7,0.3,20
2021-09,12,4,3,7,3,9,0.3,26
2021-10,9,5,1,7,3,6,0.38,21
2021-11,35,51,14,35,4,6,0.24,20
2021-12,32,30,13,29,3,12,0.32,18
2022-01,36,58,25,26,4,7,0.47,21
2022-02,36,133,19,24,4,6,0.4,37
2022-03,20,47,9,15,2,14,0.35,30
