年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,176.0,341.0,129.0,235.0,44.0,48.0,2.9,37.0
2015-02,167.0,331.5,117.5,228.0,27.5,35.0,2.045,54.5
2015-03,305.0,363.0,138.0,426.0,17.0,30.0,1.28,64.0
2015-04,204.0,359.0,87.0,315.0,15.0,25.5,0.755,68.0
2015-05,107.0,334.0,52.0,154.0,15.0,15.0,0.47,69.0
2015-06,111.5,335.5,41.5,163.5,13.0,13.0,0.42,90.0
2015-07,156.0,364.0,90.0,248.0,11.0,30.0,0.57,77.0
2015-08,99.0,344.0,51.0,143.0,9.0,18.0,0.52,69.0
2015-09,99.5,348.0,44.5,147.0,10.5,20.5,0.58,60.5
2015-10,218.0,363.0,127.0,319.0,10.0,40.0,1.15,30.0
2015-11,214.0,359.0,170.5,250.0,13.0,53.5,2.51,18.5
2015-12,238.0,346.0,191.0,216.0,19.0,57.0,3.25,17.0
2016-01,196.0,348.0,144.0,253.0,19.0,45.0,2.69,20.0
2016-02,253.0,363.0,175.0,364.0,14.0,37.0,2.49,32.0
2016-03,251.0,364.0,163.0,494.0,15.0,37.0,1.91,39.0
2016-04,196.5,363.0,111.0,280.0,12.0,21.5,1.3450000000000002,72.0
2016-05,236.0,364.0,106.0,387.0,12.0,17.0,0.44,83.0
2016-06,121.5,357.0,48.0,186.5,13.0,19.0,0.45,94.0
2016-07,94.0,345.0,31.0,130.0,12.0,18.0,0.46,100.0
2016-08,82.0,345.0,34.0,108.0,7.0,26.0,0.63,77.0
2016-09,99.0,329.0,38.5,141.0,7.5,34.5,0.69,54.0
2016-10,185.0,364.0,97.0,284.0,11.0,51.0,1.19,31.0
2016-11,181.0,350.5,120.0,229.0,18.0,55.0,2.34,32.5
2016-12,236.0,361.0,185.0,302.0,12.0,59.0,3.62,17.0
2017-01,175.0,307.0,134.0,180.0,9.0,51.0,2.38,32.0
2017-02,153.5,324.5,118.0,191.0,8.0,40.5,1.86,31.5
2017-03,127.0,347.0,85.0,184.0,7.0,36.0,0.79,45.0
2017-04,128.5,358.0,60.0,175.0,8.0,44.5,0.75,45.0
2017-05,142.0,328.0,78.0,202.0,11.0,61.0,0.73,63.0
2017-06,93.0,306.0,29.0,108.5,11.0,16.0,0.51,90.0
2017-07,88.0,322.0,25.0,102.0,10.0,14.0,0.46,112.0
2017-08,90.0,358.0,38.0,123.0,8.0,17.0,0.41,100.0
2017-09,104.0,355.0,42.0,146.5,8.5,23.0,0.575,83.0
2017-10,141.0,355.5,85.0,221.0,8.0,27.0,0.7949999999999999,54.0
2017-11,157.5,361.0,110.5,230.0,15.5,43.0,1.9049999999999998,42.5
2017-12,179.0,337.0,128.0,232.0,17.0,46.0,2.78,35.0
2018-01,218.0,358.0,133.0,329.0,11.0,41.0,2.5,39.0
2018-02,174.0,360.0,101.0,281.5,8.5,25.0,1.915,57.0
2018-03,264.0,362.0,96.0,393.0,7.0,21.0,1.26,69.0
2018-04,200.0,363.5,93.5,317.5,7.0,19.5,0.73,82.0
2018-05,126.0,357.0,43.0,189.0,6.0,16.0,0.57,102.0
2018-06,86.5,324.5,26.0,88.0,8.0,20.0,0.5,119.0
2018-07,105.0,361.0,34.0,134.0,9.0,24.0,0.53,118.0
2018-08,101.0,362.0,38.0,143.0,9.0,24.0,0.54,103.0
2018-09,102.0,364.0,53.0,151.0,5.0,29.0,0.49,62.0
2018-10,119.0,364.0,63.0,182.0,7.0,46.0,0.76,42.0
2018-11,119.5,324.5,69.0,161.0,8.0,44.5,1.415,37.0
2018-12,206.0,362.0,108.0,331.0,10.0,43.0,1.86,40.0
2019-01,165.0,316.0,116.0,234.0,10.0,47.0,2.72,33.0
2019-02,269.0,365.0,132.0,396.5,11.0,44.5,1.93,45.5
