年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,299,397,235,379,144,79,4.61,68
2015-02,324,361,164,442,51,45,3.04,67
2015-03,500,364,367,2111,37,42,1.77,90
2015-04,500,366,343,3199,32,47,1.28,86
2015-05,500,366,936,2825,57,40,1.08,175
2015-06,373,366,160,502,27,41,0.89,116
2015-07,471,366,241,664,19,50,0.88,113
2015-08,500,366,329,1039,16,36,0.87,99
2015-09,373,366,156,534,26,44,1.14,80
2015-10,495,366,325,1162,35,52,2.18,53
2015-11,302,366,258,326,23,68,3.89,45
2015-12,324,366,259,298,24,70,4.47,67
2016-01,286,365,237,379,35,77,4.32,40
2016-02,500,366,437,1655,29,71,4.48,50
2016-03,500,366,1782,8818,21,48,3.1,60
2016-04,496,366,916,4785,22,46,1.94,104
2016-05,500,366,1523,5641,23,44,0.94,119
2016-06,316,366,173,614,18,41,0.79,124
2016-07,274,366,140,465,29,38,0.71,135
2016-08,243,366,83,350,23,44,0.92,126
2016-09,212,366,95,314,43,57,1.12,80
2016-10,499,366,227,885,24,68,2.71,78
2016-11,381,367,226,594,33,91,4.2,49
2016-12,337,366,283,399,24,83,4.99,40
2017-01,275,363,227,312,20,74,3.9,45
2017-02,500,366,700,2931,15,83,3.58,83
2017-03,500,367,650,1613,18,65,1.67,66
2017-04,500,366,360,1173,21,78,1.33,123
2017-05,500,366,538,1531,16,89,1.17,129
2017-06,199,366,101,508,20,96,0.88,157
2017-07,395,365,185,1090,16,27,0.7,142
2017-08,397,366,126,501,24,44,0.66,141
2017-09,500,367,385,1426,16,51,0.78,130
2017-10,467,366,299,601,16,44,1.61,90
2017-11,264,366,158,383,22,71,3.61,69
2017-12,312,366,197,503,33,74,4.2,83
2018-01,427,367,168,532,17,75,3.95,67
2018-02,310,367,141,423,17,45,3.41,76
2018-03,500,366,610,2648,16,40,2.11,112
2018-04,500,366,1012,5850,12,37,1.08,120
2018-05,500,365,237,894,11,49,0.9,128
2018-06,500,366,273,964,11,33,0.72,146
2018-07,365,367,235,995,15,36,0.83,151
2018-08,151,366,76,249,14,33,0.8,135
2018-09,329,367,147,455,7,40,0.89,105
2018-10,260,367,109,374,12,72,1.85,73
2018-11,313,367,151,424,17,64,3.43,61
2018-12,467,367,170,620,15,68,3.84,58
2019-01,388,366,155,504,14,63,3.52,59
2019-02,411,367,193,517,17,78,3.89,69
2019-03,500,366,445,1184,30,52,2.18,87
2019-04,447,364,323,1430,11,44,0.97,115
2019-05,477,361,298,677,7,40,0.8,124
2019-06,194,362,71,264,7,30,0.54,138
2019-07,383,366,357,1197,6,47,0.71,136
2019-08,216,365,101,290,7,41,0.8,104
2019-09,180,365,75,265,8,41,0.7,95
2019-10,427,366,232,794,13,49,1.57,87
2019-11,494,366,295,854,24,80,3.28,65
2019-12,237,366,189,276,19,82,3.88,55
2020-01,229,363,182,233,15,75,4.04,62
2020-02,496,366,189,798,18,40,2.73,75
2020-03,500,366,759,2767,21,44,1.95,81
2020-04,500,366,471,1469,10,40,0.86,89
2020-05,411,366,227,708,8,37,0.69,101
2020-06,491,366,532,1467,7,39,0.63,116
2020-07,276,366,127,438,7,41,0.54,115
2020-08,176,366,99,278,7,15,0.53,101
2020-09,500,366,374,1119,6,47,0.79,102
2020-10,454,366,214,596,10,56,1.55,68
2020-11,129,365,97,163,12,52,2.46,59
2020-12,169,359,129,185,7,68,3.6,67
2021-01,296,365,145,492,14,83,5.31,58
2021-02,500,366,339,1953,21,58,3.02,53
2021-03,500,366,682,2687,10,54,2.67,87
2021-04,435,365,270,1079,9,40,1.24,100
2021-05,500,366,485,1532,6,33,0.75,111
2021-06,96,364,32,139,6,24,0.43,135
2021-07,99,365,52,148,7,43,0.79,128
2021-08,274,366,129,383,7,36,0.73,122
2021-09,234,366,109,351,8,45,0.82,93
2021-10,498,366,358,1128,8,58,1.87,73
2021-11,500,366,454,1905,12,73,3.22,69
2021-12,196,366,153,256,13,84,3.76,45
2022-01,230,335,181,262,15,83,3.88,54
2022-02,500,337,252,1377,13,57,2.35,71
2022-03,500,337,461,2661,11,66,1.58,79
