年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,72,31,50,81,25,49,0.77,88
2013-11,218,108,168,238,83,108,1.79,118
2013-12,414,131,363,483,122,144,2.99,43
2014-01,251,163,201,258,97,139,2.53,83
2014-02,253,175,203,260,47,74,2.54,121
2014-03,147,161,111,180,62,78,1.52,111
2014-04,138,164,104,146,50,78,1.08,137
2014-05,181,180,139,216,44,67,1.29,142
2014-06,152,168,90,127,44,54,1.01,179
2014-07,164,187,112,161,30,50,1.18,134
2014-08,119,181,91,105,28,53,1.24,120
2014-09,134,180,73,102,29,51,1.11,168
2014-10,169,180,128,176,51,91,1.3,113
2014-11,192,189,147,187,59,91,1.63,78
2014-12,193,498,146,189,121,107,1.55,43
2015-01,210,460,162,239,95,134,1.73,58
2015-02,181,308,139,175,45,81,1.33,94
2015-03,158,324,119,161,49,89,1.2,124
2015-04,120,348,88,121,48,101,1.54,134
2015-05,107,331,64,100,37,63,1.08,126
2015-06,120,328,66,111,20,47,0.92,128
2015-07,113,342,65,101,20,32,0.83,129
2015-08,159,365,99,134,34,51,1.02,142
2015-09,124,357,85,117,32,61,0.95,144
2015-10,139,340,89,131,61,97,1.11,119
2015-11,134,308,100,134,35,90,1.36,75
2015-12,255,360,205,256,59,94,1.82,49
2016-01,195,346,149,188,45,113,1.66,62
2016-02,172,325,133,187,33,59,1.72,94
2016-03,150,300,113,165,42,71,1.34,100
2016-04,126,332,77,121,40,55,1.27,151
2016-05,107,340,74,143,30,44,1.37,152
2016-06,99,361,65,107,17,53,1.19,123
2016-07,114,363,59,96,10,35,0.94,137
2016-08,102,364,63,93,21,48,1.18,142
2016-09,110,338,58,87,19,41,0.94,157
2016-10,74,262,52,82,18,60,1.26,84
2016-11,146,296,110,163,36,80,1.83,92
2016-12,145,280,110,188,37,117,1.58,44
2017-01,143,255,108,164,32,93,1.79,75
2017-02,131,335,97,127,21,64,1.45,104
2017-03,148,356,110,166,24,71,1.09,118
2017-04,118,339,77,122,17,60,0.98,138
2017-05,123,359,73,181,19,56,1.12,136
2017-06,125,350,80,109,12,44,1.22,149
2017-07,134,365,62,98,15,32,0.86,183
2017-08,118,362,60,94,9,31,1.14,146
2017-09,109,356,72,112,17,55,1.51,133
2017-10,95,332,69,96,16,55,1.3,103
2017-11,124,307,93,133,25,98,1.39,70
2017-12,289,358,238,296,30,101,1.93,54
2018-01,265,361,214,256,29,95,2.0,79
2018-02,206,358,161,195,29,80,1.66,94
2018-03,112,296,83,140,14,71,1.18,98
2018-04,167,363,97,152,22,67,1.42,181
2018-05,105,343,62,113,15,48,1.6,157
2018-06,110,355,53,77,13,40,1.13,171
2018-07,111,358,50,76,7,32,1.01,144
2018-08,93,342,35,51,5,32,1.14,144
2018-09,100,353,55,87,10,44,1.17,153
2018-10,72,315,45,92,14,66,0.97,113
2018-11,108,237,76,145,13,87,1.44,63
2018-12,132,317,100,161,15,83,1.34,42
2019-01,164,323,124,171,16,84,1.44,56
2019-02,156,307,117,146,11,55,1.37,71
2019-03,108,340,77,127,14,58,1.13,99
2019-04,124,340,70,100,12,48,1.22,130
2019-05,109,337,59,103,11,42,0.85,134
2019-06,92,351,42,55,10,31,0.86,165
2019-07,65,296,34,49,4,38,0.7,112
2019-08,59,274,35,46,4,26,0.88,119
2019-09,104,362,68,99,11,63,1.2,122
2019-10,137,332,63,224,11,67,1.01,106
2019-11,103,310,51,156,13,65,0.88,107
2019-12,146,354,111,166,16,93,1.24,51
2020-01,168,306,127,149,11,64,1.56,91
2020-02,72,249,48,92,9,27,0.92,98
2020-03,68,238,46,84,12,48,0.96,93
2020-04,93,322,67,112,11,63,0.96,119
2020-05,84,359,55,96,10,50,1.06,133
2020-06,76,330,35,59,6,39,0.78,130
2020-07,73,349,44,64,6,36,0.9,118
2020-08,53,334,32,52,8,31,0.75,112
2020-09,86,356,42,69,9,56,0.84,153
2020-10,65,213,36,83,10,51,0.9,119
2020-11,80,310,59,100,15,59,1.21,76
2020-12,148,334,111,165,16,97,1.41,49
2021-01,131,313,99,132,17,87,1.44,59
2021-02,92,290,65,118,9,52,0.99,88
2021-03,134,343,59,192,14,56,0.96,89
2021-04,100,328,48,145,11,49,1.09,107
2021-05,86,312,46,119,10,41,0.87,121
2021-06,76,329,32,52,11,33,0.95,143
2021-07,59,348,34,50,6,27,0.7,115
2021-08,71,363,46,62,7,34,0.98,126
2021-09,70,354,42,59,9,38,1.03,127
2021-10,83,309,61,83,10,64,0.93,122
2021-11,99,291,73,127,17,83,1.11,82
2021-12,127,298,96,151,15,96,1.27,59
2022-01,139,293,105,156,15,75,1.09,68
2022-02,137,300,103,129,12,54,0.93,106
2022-03,116,319,87,138,12,47,0.87,93
