年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,151,486,109,188,116,57,2.15,44
2015-02,203,326,156,260,38,44,1.69,50
2015-03,192,356,88,259,31,40,1.68,62
2015-04,358,366,221,544,20,36,0.94,70
2015-05,164,352,74,236,16,32,0.88,77
2015-06,159,356,61,232,17,35,0.75,86
2015-07,172,364,69,224,10,35,0.93,138
2015-08,167,354,53,232,15,31,0.85,113
2015-09,105,335,39,157,10,28,0.72,99
2015-10,241,360,86,391,18,38,0.96,71
2015-11,97,307,53,126,23,35,1.29,53
2015-12,152,342,73,221,28,50,1.48,56
2016-01,136,314,90,154,35,46,1.57,40
2016-02,348,361,89,504,29,33,1.63,48
2016-03,214,342,79,328,22,36,1.36,71
2016-04,150,349,60,247,12,35,0.88,63
2016-05,205,361,75,286,13,31,0.74,104
2016-06,131,360,51,197,8,29,0.64,105
2016-07,75,325,35,96,6,37,0.73,118
2016-08,112,360,39,149,11,31,0.97,101
2016-09,67,255,39,83,9,33,0.83,81
2016-10,144,354,80,186,11,33,0.99,81
2016-11,451,364,168,611,27,47,2.59,48
2016-12,200,341,152,167,24,48,2.01,42
2017-01,288,336,111,744,24,46,1.98,41
2017-02,145,326,109,184,20,38,1.52,75
2017-03,169,357,55,263,14,41,1.3,96
2017-04,179,352,59,302,10,45,0.96,101
2017-05,320,360,166,582,14,45,1.44,116
2017-06,85,331,36,111,13,37,1.09,131
2017-07,94,351,40,123,14,40,0.78,131
2017-08,86,326,45,104,9,38,1.15,122
2017-09,93,335,46,133,10,48,0.88,84
2017-10,88,345,42,126,11,46,1.14,66
2017-11,104,317,62,157,31,51,1.4,71
2017-12,299,344,134,629,20,49,1.75,72
2018-01,143,358,108,176,31,49,1.34,82
2018-02,339,364,120,701,19,44,1.24,95
2018-03,233,362,91,334,14,41,1.1,115
2018-04,310,359,104,483,11,43,0.85,142
2018-05,270,365,117,386,9,37,0.84,127
2018-06,117,329,42,174,8,31,0.79,145
2018-07,217,363,117,280,10,22,0.86,115
2018-08,72,341,36,91,26,24,0.96,110
2018-09,66,307,29,82,11,37,0.83,104
2018-10,128,357,59,202,18,45,1.16,69
2018-11,366,354,123,797,14,48,1.27,87
2018-12,413,363,127,746,19,55,1.6,65
2019-01,108,313,78,118,24,53,1.58,63
2019-02,120,350,89,180,15,34,1.31,82
2019-03,172,352,60,234,18,54,1.28,99
2019-04,193,352,48,248,15,52,0.88,103
2019-05,332,358,169,812,13,41,0.94,128
2019-06,80,304,27,108,8,38,0.68,102
2019-07,99,332,27,129,10,42,0.84,121
2019-08,61,313,18,64,10,30,0.82,93
2019-09,47,194,25,48,10,41,0.84,91
2019-10,96,258,40,134,15,56,0.98,93
2019-11,146,333,47,217,16,54,1.31,68
2019-12,108,262,81,80,24,51,1.51,66
2020-01,105,296,78,83,17,48,1.65,81
2020-02,110,340,70,166,14,33,1.19,90
2020-03,198,362,65,365,10,50,0.87,90
2020-04,98,348,37,146,8,43,0.79,117
2020-05,215,359,65,299,8,35,0.77,114
2020-06,66,335,28,85,8,33,0.76,109
2020-07,53,321,20,57,8,36,0.77,105
2020-08,49,330,26,65,8,34,0.76,86
2020-09,58,304,26,70,8,34,0.71,74
2020-10,97,290,46,146,11,41,0.93,74
2020-11,126,329,95,87,14,47,1.2,93
2020-12,100,311,62,141,26,59,2.49,62
2021-01,145,304,102,181,15,53,1.52,74
2021-02,141,354,50,218,11,31,1.53,85
2021-03,492,351,324,1585,7,41,0.89,86
2021-04,195,362,69,272,5,28,0.73,102
2021-05,146,360,69,242,19,23,0.5,117
2021-06,175,364,83,260,5,28,0.48,119
2021-07,45,303,19,53,4,28,0.5,131
2021-08,57,346,24,68,5,26,0.66,137
2021-09,63,346,29,86,6,27,0.68,121
2021-10,76,348,34,107,5,31,0.96,69
2021-11,179,352,33,259,9,37,1.0,74
2021-12,70,237,42,84,8,35,1.07,69
2022-01,147,291,111,117,8,39,1.35,81
2022-02,85,285,56,120,8,29,1.05,95
2022-03,169,332,51,230,8,36,0.86,100
