年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,62.0,72.0,31.0,41.0,19.0,31.0,2.06,105.0
2015-02,42.5,64.5,22.0,33.0,18.0,23.0,1.78,65.5
2015-03,40.0,28.0,19.0,27.0,12.0,14.0,1.06,60.0
2015-04,52.5,59.0,24.5,50.5,11.0,12.0,1.3450000000000002,55.5
2015-05,39.0,36.0,15.0,31.0,14.0,12.0,1.2,60.0
2015-06,43.0,92.0,16.0,38.0,7.0,8.0,0.825,54.5
2015-07,45.0,93.0,19.0,39.0,11.0,7.0,1.08,61.0
2015-08,43.0,96.0,16.0,31.0,5.0,9.0,0.84,67.0
2015-09,36.0,46.5,15.5,19.0,4.0,11.0,0.8,57.5
2015-10,49.0,96.0,24.0,33.0,7.0,16.0,1.08,74.0
2015-11,47.0,82.0,22.5,21.0,5.0,18.0,1.065,77.5
2015-12,47.0,80.0,25.0,23.0,5.0,19.0,1.5,75.0
2016-01,48.0,79.0,26.0,32.0,5.0,17.0,1.13,67.0
2016-02,43.0,37.0,18.0,26.0,8.0,15.0,1.25,72.0
2016-03,35.0,14.0,14.0,19.0,7.0,13.0,1.27,61.0
2016-04,38.0,27.5,11.0,20.5,5.0,12.0,0.875,67.5
2016-05,50.0,102.0,16.0,26.0,4.0,9.0,0.7,78.0
2016-06,43.5,108.5,17.0,27.0,9.0,8.0,0.655,64.5
2016-07,37.0,81.0,17.0,19.0,10.0,7.0,1.13,57.0
2016-08,43.0,107.0,19.0,39.0,7.0,12.0,0.88,53.0
2016-09,51.0,131.5,18.5,51.0,8.0,11.0,1.0,53.5
2016-10,41.0,95.0,14.0,33.0,5.0,15.0,1.13,54.0
2016-11,54.5,92.0,20.5,31.0,6.0,17.0,1.2850000000000001,91.0
2016-12,53.0,49.0,17.0,28.0,6.0,15.0,1.53,95.0
2017-01,61.0,107.0,24.0,40.0,6.0,16.0,1.74,106.0
2017-02,51.5,66.0,17.0,42.0,7.0,12.5,1.435,83.0
2017-03,45.0,44.0,16.0,41.0,8.0,10.0,1.08,61.0
2017-04,41.5,22.5,10.0,32.0,6.0,8.0,1.105,68.0
2017-05,43.0,35.0,10.0,30.0,5.0,8.0,0.71,74.0
2017-06,40.0,93.5,10.0,32.0,8.0,9.5,0.905,66.0
2017-07,50.0,151.0,11.0,40.0,8.0,9.0,1.06,75.0
2017-08,45.0,167.0,11.0,38.0,4.0,15.0,0.95,68.0
2017-09,47.5,124.5,11.0,41.0,3.0,20.5,0.895,72.5
2017-10,50.5,120.0,14.5,48.0,4.0,22.5,1.08,73.5
2017-11,43.5,54.5,19.0,35.5,5.0,18.5,1.07,47.0
2017-12,46.0,41.0,21.0,38.0,4.0,14.0,1.45,37.0
2018-01,49.0,86.0,24.0,40.0,6.0,19.0,1.45,66.0
2018-02,54.0,67.0,21.5,33.5,5.0,14.5,1.705,83.5
2018-03,41.0,21.0,11.0,23.0,4.0,26.0,1.15,77.0
2018-04,61.0,104.0,10.5,25.5,3.0,17.0,1.18,97.5
2018-05,48.0,83.0,7.0,26.0,4.0,16.0,0.81,85.0
2018-06,40.5,70.5,6.0,23.0,5.0,11.0,0.565,76.5
2018-07,38.0,103.0,7.0,26.0,2.0,9.0,1.01,63.0
2018-08,50.0,192.0,7.0,30.0,4.0,8.0,0.99,86.0
2018-09,47.0,165.0,5.0,29.0,3.0,9.0,0.58,88.0
2018-10,48.0,115.0,7.0,35.0,4.0,12.0,0.71,77.0
2018-11,38.5,59.0,11.0,25.0,3.0,14.0,1.15,60.0
2018-12,44.0,80.0,15.0,35.0,4.0,12.0,0.89,54.0
2019-01,50.0,103.0,15.0,44.0,3.0,11.0,1.09,67.0
2019-02,39.0,78.5,14.0,28.5,4.0,8.5,0.9,64.5
2019-03,41.0,47.0,12.0,31.0,3.0,9.0,1.16,58.0
2019-04,37.0,35.5,9.0,25.5,4.0,10.0,1.06,58.0
2019-05,38.0,48.0,6.0,23.0,3.0,8.0,0.68,57.0
2019-06,37.0,91.0,5.0,20.0,3.0,4.0,0.93,73.0
2019-07,33.0,97.5,6.0,23.5,4.0,3.0,0.765,71.0
2019-08,35.0,135.5,6.0,31.5,3.0,4.0,0.78,67.5
2019-09,33.5,78.5,6.0,31.5,3.0,6.5,0.735,49.5
2019-10,39.0,105.0,7.0,41.0,3.0,13.0,0.88,38.0
2019-11,29.0,28.0,8.5,28.5,4.0,13.0,0.85,37.0
2019-12,26.0,22.0,8.0,23.0,3.0,16.0,0.9,44.0
2020-01,38.0,75.0,13.0,35.0,5.0,15.0,1.0,69.0
2020-02,33.0,73.0,8.0,30.0,4.0,8.0,0.89,72.0
2020-03,35.0,82.0,11.0,32.0,3.0,7.0,0.38,70.0
2020-04,45.0,134.5,10.0,49.5,1.0,9.0,0.36,70.0
2020-05,35.0,91.0,8.0,34.0,1.0,7.0,0.51,68.0
2020-06,33.5,158.5,8.0,32.5,2.5,7.0,0.525,64.0
2020-07,32.0,147.0,8.0,29.0,4.0,6.0,0.56,63.0
2020-08,29.0,139.0,8.0,27.0,5.0,3.0,0.61,68.0
2020-09,30.0,104.5,11.0,32.0,5.0,7.0,0.25,51.0
2020-10,40.0,131.0,13.0,45.0,2.0,13.0,0.55,37.0
2020-11,33.0,66.5,13.0,35.5,2.0,11.5,0.855,25.5
2020-12,36.0,45.0,16.0,37.0,2.0,14.0,0.49,40.0
2021-01,28.0,13.0,12.0,25.0,2.0,12.0,0.45,59.0
2021-02,28.0,35.5,11.5,24.5,2.0,10.0,0.655,71.5
2021-03,24.0,12.0,9.0,22.0,5.0,8.0,0.38,58.0
2021-04,36.5,88.0,10.5,36.5,4.0,8.5,0.37,63.0
2021-05,35.0,105.0,9.0,39.0,3.0,7.0,0.18,70.0
2021-06,33.0,117.5,7.0,34.5,4.0,9.0,0.29000000000000004,61.0
2021-07,33.0,192.0,8.0,33.0,10.0,10.0,0.27,64.0
2021-08,35.0,202.0,10.0,38.0,5.0,9.0,0.18,62.0
2021-09,44.0,267.0,10.0,51.5,6.5,9.0,0.265,42.5
2021-10,31.0,126.0,12.0,32.0,3.0,12.0,0.24,35.0
2021-11,34.0,60.0,13.0,38.5,3.0,12.0,0.395,34.0
2021-12,33.0,49.0,13.0,40.0,3.0,10.0,0.4,44.0
2022-01,35.0,69.0,18.0,32.0,2.0,11.0,0.54,58.0
2022-02,35.5,87.0,15.5,32.5,2.0,7.5,0.43,67.5
2022-03,25.0,21.5,11.0,21.0,2.0,8.0,0.475,62.0
