年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,84.0,40.0,23.5,53.5,47.5,19.0,2.255,15.0
2013-11,78.5,34.5,34.5,85.0,67.5,34.0,1.775,20.5
2013-12,82.0,21.0,59.0,99.0,106.0,53.0,1.85,10.0
2014-01,89.0,49.0,60.5,103.0,95.5,55.5,2.8449999999999998,23.0
2014-02,98.0,95.5,72.0,105.0,75.5,42.5,2.73,38.0
2014-03,65.0,53.5,27.0,79.5,58.5,37.5,2.56,50.0
2014-04,79.0,79.5,34.0,101.5,28.0,30.0,2.065,64.0
2014-05,91.0,97.0,37.0,130.0,23.0,25.0,1.18,74.0
2014-06,60.0,62.5,28.5,62.5,18.0,23.0,1.12,77.0
2014-07,61.0,88.0,35.0,65.0,21.0,27.0,1.11,73.0
2014-08,59.0,89.0,32.0,60.0,24.0,25.0,1.24,66.0
2014-09,58.0,86.5,30.0,61.5,18.0,25.0,1.19,49.5
2014-10,65.0,44.0,30.0,79.0,14.0,25.0,1.24,37.0
2014-11,64.5,34.5,31.5,77.5,43.5,22.0,1.6150000000000002,28.0
2014-12,82.0,91.0,41.0,109.0,69.0,25.0,2.43,31.0
2015-01,93.0,160.0,64.0,127.0,77.0,35.0,2.67,28.0
2015-02,85.0,188.0,45.0,112.0,52.5,24.5,1.525,33.0
2015-03,82.0,205.0,33.0,113.0,40.0,23.0,1.39,53.0
2015-04,69.0,193.5,23.5,85.5,29.5,19.0,1.05,83.0
2015-05,75.0,250.0,24.0,96.0,23.0,17.0,0.73,93.0
2015-06,66.5,229.0,28.0,62.5,19.0,16.0,0.71,101.0
2015-07,63.0,231.0,32.0,62.0,22.0,19.0,0.82,102.0
2015-08,51.0,171.0,20.0,52.0,18.0,17.0,0.81,74.0
2015-09,48.0,115.5,23.0,46.0,18.0,24.0,1.125,52.0
2015-10,61.0,123.0,25.0,67.0,35.0,28.0,1.25,43.0
2015-11,64.5,188.0,43.0,72.0,60.5,36.5,2.115,32.0
2015-12,85.0,185.0,61.0,103.0,74.0,40.0,2.08,29.0
2016-01,59.0,106.0,38.0,58.0,61.0,27.0,1.99,38.0
2016-02,57.0,104.0,32.0,63.0,61.0,22.0,2.08,47.0
2016-03,65.0,120.0,37.0,78.0,49.0,31.0,1.75,56.0
2016-04,68.0,213.0,22.0,83.5,22.5,24.5,0.925,75.0
2016-05,70.0,226.0,27.0,89.0,21.0,26.0,1.12,83.0
2016-06,61.0,225.0,27.0,64.0,21.5,23.0,1.2650000000000001,80.5
2016-07,60.0,248.0,28.0,54.0,18.0,21.0,1.22,95.0
2016-08,55.0,181.0,17.0,47.0,15.0,18.0,1.16,69.0
2016-09,54.0,144.5,22.0,58.5,26.0,28.0,1.495,49.0
2016-10,63.0,223.0,30.0,72.0,24.0,31.0,1.37,44.0
2016-11,78.5,218.0,44.0,102.5,74.0,36.0,1.705,35.5
2016-12,90.0,186.0,65.0,108.0,119.0,42.0,2.26,23.0
2017-01,71.0,130.0,45.0,84.0,86.0,39.0,1.55,39.0
2017-02,62.0,128.0,37.0,63.0,68.5,33.0,1.2149999999999999,50.5
2017-03,58.0,99.0,34.0,65.0,51.0,34.0,1.29,64.0
2017-04,66.0,173.0,26.0,74.5,26.5,28.5,1.0550000000000002,72.5
2017-05,79.0,228.0,27.0,89.0,17.0,22.0,1.07,88.0
2017-06,75.0,250.0,25.5,67.5,18.0,25.0,1.33,100.0
2017-07,67.0,251.0,28.0,58.0,23.0,28.0,1.26,102.0
2017-08,59.0,259.0,23.0,54.0,22.0,28.0,1.27,79.0
2017-09,67.0,271.5,33.0,74.0,30.0,34.0,1.63,55.0
2017-10,68.5,241.5,37.5,73.5,24.5,38.0,1.58,32.0
2017-11,69.5,174.5,37.0,83.5,38.5,29.0,1.37,40.0
2017-12,64.0,84.0,34.0,73.0,49.0,32.0,1.74,31.0
2018-01,61.0,118.0,33.0,66.0,44.0,33.0,1.6,35.0
2018-02,59.5,101.5,31.0,67.0,39.5,23.0,1.53,57.5
2018-03,91.0,265.0,54.0,115.0,30.0,31.0,1.43,56.0
2018-04,87.5,229.0,37.0,115.5,25.0,27.0,1.16,71.0
2018-05,87.0,290.0,37.0,104.0,19.0,24.0,1.03,92.0
2018-06,79.5,270.0,28.5,70.5,20.5,24.0,1.245,100.0
2018-07,62.0,270.0,30.0,47.0,12.0,18.0,0.99,96.0
2018-08,62.0,248.0,23.0,60.0,13.0,20.0,1.0,84.0
2018-09,48.0,194.0,17.0,48.0,16.0,24.0,1.03,48.0
2018-10,58.0,191.0,25.0,66.0,21.0,29.0,1.69,39.0
2018-11,77.5,249.0,45.0,103.0,35.5,37.5,1.9,27.0
2018-12,80.0,230.0,46.0,108.0,46.0,36.0,1.87,23.0
2019-01,76.0,176.0,50.0,97.0,59.0,37.0,2.27,27.0
2019-02,66.5,192.0,35.5,71.5,27.5,27.5,1.48,50.0
2019-03,54.0,133.0,21.0,59.0,23.0,23.0,1.12,59.0
2019-04,66.0,199.5,27.0,75.5,21.0,25.5,1.005,69.5
2019-05,66.0,222.0,30.0,68.0,22.0,30.0,1.15,78.0
2019-06,53.0,166.0,19.0,45.0,15.0,24.0,0.95,94.0
2019-07,48.5,227.5,21.5,43.0,18.0,28.0,1.48,85.5
2019-08,49.0,212.0,14.5,35.5,16.0,25.0,0.995,67.5
