年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-01,80.0,36.5,57.5,79.0,32.0,34.5,0.8300000000000001,31.5
2014-02,88.0,85.5,64.0,76.5,26.0,30.5,0.81,46.5
2014-03,54.5,23.0,37.5,52.5,17.0,21.5,0.6,55.0
2014-04,58.5,30.5,32.0,58.5,14.0,18.0,0.39,76.0
2014-05,40.0,14.0,19.0,37.0,8.0,15.0,0.35,63.0
2014-06,40.5,23.0,18.5,35.0,8.0,17.0,0.345,59.5
2014-07,59.0,84.0,37.0,51.0,10.0,16.0,0.5,68.0
2014-08,39.0,27.0,16.0,30.0,10.0,17.0,0.44,61.0
2014-09,37.0,21.0,17.0,32.5,10.5,16.5,0.35,47.5
2014-10,48.0,18.0,29.0,49.0,14.0,25.0,0.5,48.0
2014-11,53.0,29.0,36.0,52.0,21.0,27.0,0.77,36.5
2014-12,69.0,60.0,50.0,66.0,29.0,25.0,0.81,32.0
2015-01,82.0,151.0,58.0,77.0,31.0,31.0,0.69,39.0
2015-02,65.0,96.5,45.5,58.5,23.0,26.0,0.755,54.0
2015-03,59.0,92.0,34.0,53.0,18.0,24.0,0.61,73.0
2015-04,63.0,100.0,34.0,73.0,11.0,20.5,0.555,67.0
2015-05,49.0,72.0,30.0,39.0,8.0,19.0,0.5,61.0
2015-06,50.0,129.0,32.5,42.5,11.0,18.0,0.54,62.5
2015-07,53.0,169.0,31.0,42.0,10.0,18.0,0.56,79.0
2015-08,46.0,115.0,25.0,42.0,8.0,15.0,0.49,67.0
2015-09,40.5,87.0,20.0,37.0,8.0,20.0,0.4,59.0
2015-10,45.0,56.0,22.0,44.0,11.0,21.0,0.43,54.0
2015-11,81.5,225.0,58.5,77.5,20.0,30.5,0.66,42.0
2015-12,61.0,112.0,44.0,56.0,36.0,41.0,0.99,37.0
2016-01,52.0,107.0,36.0,46.0,28.0,31.0,0.65,40.0
2016-02,58.0,120.0,39.0,52.0,20.0,27.0,0.67,58.0
2016-03,55.0,91.0,35.0,51.0,15.0,23.0,0.5,71.0
2016-04,55.0,109.0,24.5,46.0,12.0,20.5,0.535,87.0
2016-05,62.0,195.0,23.0,44.0,9.0,24.0,0.53,105.0
2016-06,48.0,130.5,16.5,32.0,7.5,24.0,0.51,82.5
2016-07,45.0,142.0,17.0,33.0,8.0,26.0,0.65,84.0
2016-08,39.0,78.0,13.0,32.0,8.0,24.0,0.6,72.0
2016-09,37.5,45.5,17.0,31.5,10.0,23.0,0.695,50.5
2016-10,41.0,91.0,23.0,38.0,10.0,29.0,0.73,42.0
2016-11,64.0,166.0,44.5,61.5,18.0,31.5,0.98,38.0
2016-12,74.0,125.0,53.0,71.0,23.0,33.0,1.06,33.0
2017-01,86.0,123.0,63.0,87.0,20.0,36.0,1.18,44.0
2017-02,44.0,48.5,28.0,44.0,13.5,23.0,0.75,52.0
2017-03,52.0,92.0,34.0,47.0,11.0,25.0,0.7,63.0
2017-04,50.5,89.0,20.0,45.5,10.5,20.5,0.585,80.5
2017-05,52.0,81.0,20.0,46.0,5.0,19.0,0.44,81.0
2017-06,47.0,130.0,15.0,29.5,6.0,17.0,0.46,88.0
2017-07,45.0,121.0,16.0,29.0,6.0,15.0,0.52,82.0
2017-08,35.0,69.0,17.0,24.0,6.0,12.0,0.58,62.0
2017-09,34.5,41.0,14.0,29.5,7.0,17.0,0.55,45.5
2017-10,39.0,120.0,22.0,37.5,9.0,29.5,0.525,48.5
2017-11,50.5,82.0,31.5,44.0,17.5,32.5,0.635,35.5
2017-12,57.0,92.0,40.0,49.0,23.0,37.0,0.85,31.0
2018-01,42.0,74.0,28.0,38.0,20.0,30.0,0.75,45.0
2018-02,48.0,52.0,30.0,42.0,19.0,24.5,0.665,61.0
2018-03,62.0,99.0,37.0,52.0,16.0,25.0,0.66,77.0
2018-04,57.0,96.5,27.0,53.5,10.0,24.5,0.58,80.0
2018-05,53.0,108.0,20.0,37.0,9.0,16.0,0.45,87.0
2018-06,49.0,113.5,15.0,26.0,7.5,15.5,0.485,90.0
2018-07,45.0,177.0,19.0,30.0,6.0,10.0,0.6,79.0
2018-08,31.0,39.0,11.0,22.0,5.0,12.0,0.53,59.0
2018-09,31.0,60.0,9.0,23.0,6.0,14.0,0.47,48.0
2018-10,33.0,38.0,13.0,31.0,6.0,17.0,0.48,37.0
2018-11,41.0,86.0,22.5,40.0,12.0,25.0,0.515,35.0
2018-12,43.0,97.0,25.0,43.0,15.0,28.0,0.52,37.0
2019-01,51.0,105.0,26.0,50.0,15.0,27.0,0.54,40.0
2019-02,60.0,169.5,39.5,59.0,14.5,25.0,0.475,55.5
2019-03,52.0,117.0,28.0,52.0,8.0,20.0,0.42,67.0
2019-04,49.0,123.5,22.0,43.5,4.5,14.0,0.42,80.5
2019-05,41.0,70.0,14.0,32.0,5.0,13.0,0.39,71.0
2019-06,37.0,87.0,11.0,21.0,4.0,12.0,0.39,74.0
2019-07,30.5,85.0,14.0,25.5,3.0,11.0,0.45999999999999996,73.5
2019-08,23.0,34.5,11.5,18.0,3.0,10.0,0.47,48.0
2019-09,28.0,62.5,12.5,26.0,4.0,17.0,0.525,52.5
2019-10,37.0,100.0,18.0,37.0,6.0,20.0,0.49,42.0
2019-11,30.5,46.0,17.5,30.5,9.0,20.0,0.45,38.5
2019-12,75.0,224.0,54.0,67.0,16.0,34.0,0.75,33.0
2020-01,119.0,277.0,89.0,112.0,18.0,33.0,1.01,51.0
2020-02,51.0,185.0,36.0,46.0,11.0,14.0,0.55,70.0
2020-03,48.0,182.0,28.0,42.0,9.0,16.0,0.51,76.0
2020-04,41.5,81.5,25.5,38.0,7.0,15.0,0.445,82.5
2020-05,39.0,114.0,18.0,30.0,5.0,14.0,0.43,83.0
2020-06,27.0,95.5,12.0,18.5,5.0,13.0,0.455,73.0
2020-07,34.0,154.0,12.0,30.0,5.0,12.0,0.53,92.0
2020-08,24.0,83.0,8.0,19.0,4.0,11.0,0.48,55.0
2020-09,24.0,53.0,9.0,22.0,5.5,14.0,0.43,46.0
2020-10,30.0,90.0,10.0,30.0,6.0,18.0,0.4,41.0
