年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-01,201,158,252,178,47,54,1.68,157
2014-02,282,182,232,275,49,51,1.94,73
2014-03,134,126,102,129,28,44,0.96,83
2014-04,205,181,81,289,26,39,0.59,104
2014-05,76,141,40,102,14,26,0.5,121
2014-06,102,165,71,153,15,28,0.75,111
2014-07,237,190,187,216,16,28,1.2,123
2014-08,56,109,32,53,12,22,0.7,92
2014-09,58,90,33,62,14,29,0.54,78
2014-10,230,186,183,241,35,59,1.93,85
2014-11,198,176,153,182,35,41,1.8,55
2014-12,170,161,130,166,42,40,1.68,57
2015-01,204,336,157,184,54,51,1.56,56
2015-02,312,355,122,437,44,53,1.23,73
2015-03,120,331,86,182,29,38,1.02,91
2015-04,202,352,96,274,26,38,1.0,93
2015-05,96,287,56,134,17,26,0.72,96
2015-06,127,360,96,109,22,27,0.86,117
2015-07,81,292,55,82,18,26,0.82,123
2015-08,74,298,51,75,16,23,0.66,94
2015-09,69,222,42,74,17,35,0.7,115
2015-10,207,355,165,226,19,43,1.23,123
2015-11,342,363,313,416,40,52,2.09,72
2015-12,183,306,138,171,76,71,1.87,59
2016-01,150,306,113,132,50,62,1.35,60
2016-02,130,305,98,116,37,45,1.28,71
2016-03,267,359,136,395,23,38,1.1,105
2016-04,208,364,78,292,18,30,0.95,112
2016-05,210,365,89,304,20,37,0.8,197
2016-06,74,284,44,72,15,38,0.78,118
2016-07,103,349,71,111,17,47,1.18,138
2016-08,88,355,64,99,15,32,1.1,113
2016-09,80,230,58,80,14,34,1.06,93
2016-10,133,358,100,138,31,43,1.57,88
2016-11,478,365,649,696,36,111,3.91,49
2016-12,170,327,130,170,38,68,1.92,56
2017-01,249,345,199,245,43,80,2.9,58
2017-02,172,310,131,162,20,43,1.81,64
2017-03,123,338,91,120,22,48,1.16,84
2017-04,157,355,98,248,18,41,1.09,118
2017-05,359,365,216,1205,9,36,0.85,170
2017-06,98,351,44,93,9,26,0.84,161
2017-07,85,333,49,61,8,27,0.71,129
2017-08,54,230,28,41,8,21,0.82,101
2017-09,59,259,37,53,12,34,0.82,99
2017-10,198,350,154,193,20,80,1.52,105
2017-11,217,362,208,217,39,56,1.18,49
2017-12,113,329,84,105,44,53,1.24,52
2018-01,205,354,157,166,52,62,1.85,58
2018-02,112,302,84,124,36,48,1.14,77
2018-03,200,360,135,372,38,45,1.12,104
2018-04,164,358,78,270,17,47,1.03,107
2018-05,100,314,53,147,14,30,0.79,138
2018-06,99,274,37,116,12,25,0.62,139
2018-07,83,329,47,60,12,16,0.72,137
2018-08,50,207,18,34,9,19,1.46,98
2018-09,58,223,23,44,7,34,0.7,108
2018-10,107,327,80,128,13,36,1.11,102
2018-11,100,248,44,149,40,42,0.89,52
2018-12,127,301,95,129,31,53,1.15,53
2019-01,224,328,175,222,25,74,1.78,57
2019-02,262,360,214,228,25,48,0.98,65
2019-03,122,345,91,143,21,46,0.72,88
2019-04,238,360,52,357,9,27,0.61,107
2019-05,169,344,48,290,7,21,0.58,127
2019-06,90,329,25,53,6,20,0.61,143
2019-07,57,285,34,52,4,18,0.59,113
2019-08,42,177,25,39,4,22,0.67,74
2019-09,55,274,35,63,6,28,0.92,106
2019-10,105,319,66,122,14,49,1.0,152
2019-11,137,361,104,147,19,47,1.16,46
2019-12,246,364,196,233,31,61,1.47,50
2020-01,286,366,236,283,42,59,2.06,99
2020-02,147,349,111,141,21,29,1.7,92
2020-03,113,357,82,151,17,33,1.06,112
2020-04,166,361,120,195,12,39,0.97,127
2020-05,80,344,50,103,9,24,0.87,148
2020-06,81,309,36,89,9,22,0.75,168
2020-07,67,341,29,75,7,19,0.88,154
2020-08,41,263,19,39,7,20,0.9,117
2020-09,51,249,23,54,11,29,0.63,84
2020-10,186,363,35,251,10,35,0.81,81
2020-11,71,219,45,96,14,34,0.79,51
2020-12,91,160,67,110,13,35,1.02,51
2021-01,132,240,99,141,23,39,1.05,72
2021-02,126,310,71,175,24,33,1.03,97
2021-03,217,345,84,288,16,33,0.98,103
2021-04,226,365,183,267,19,45,1.12,143
2021-05,133,361,48,195,9,21,0.77,175
2021-06,79,348,36,65,9,20,0.66,153
2021-07,44,300,28,44,7,18,0.75,117
2021-08,72,342,52,70,8,19,0.92,89
2021-09,35,193,18,35,10,21,0.6,79
2021-10,72,283,49,89,10,38,0.83,62
2021-11,106,333,79,115,12,52,1.03,54
2021-12,103,306,77,91,16,46,1.15,53
2022-01,226,334,177,212,26,62,1.54,59
2022-02,126,308,96,125,22,32,0.87,86
2022-03,125,306,94,117,11,38,1.2,82
