年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-01,38,2,22,36,21,16,0.45,24
2014-02,32,4,18,29,12,14,0.35,40
2014-03,37,2,22,30,11,13,0.41,47
2014-04,37,1,15,26,7,13,0.25,66
2014-05,25,1,10,17,6,7,0.25,43
2014-06,26,2,12,18,7,10,0.24,40
2014-07,20,1,10,16,9,12,0.28,32
2014-08,27,5,9,15,7,10,0.31,43
2014-09,21,2,11,16,8,11,0.26,34
2014-10,27,1,8,17,10,14,0.28,27
2014-11,24,1,8,13,12,14,0.31,17
2014-12,28,2,16,24,14,12,0.27,18
2015-01,34,15,19,28,20,17,0.39,27
2015-02,34,8,15,29,11,16,0.42,39
2015-03,35,11,18,27,11,14,0.39,59
2015-04,35,21,18,25,6,15,0.46,49
2015-05,29,7,15,14,4,15,0.37,42
2015-06,34,35,20,17,7,14,0.4,46
2015-07,32,21,18,28,6,12,0.44,48
2015-08,31,36,15,26,7,11,0.27,46
2015-09,27,16,13,22,5,10,0.28,35
2015-10,27,10,12,23,6,12,0.28,41
2015-11,33,46,21,28,11,15,0.32,28
2015-12,21,2,12,17,16,15,0.38,21
2016-01,37,13,23,35,22,21,0.51,30
2016-02,34,11,16,27,12,16,0.38,42
2016-03,36,15,15,23,10,15,0.32,57
2016-04,38,34,12,21,8,13,0.29,70
2016-05,43,17,11,19,6,15,0.35,66
2016-06,27,34,8,14,6,19,0.41,47
2016-07,32,40,10,20,6,21,0.38,54
2016-08,14,7,7,7,6,14,0.42,28
2016-09,18,2,8,13,6,16,0.44,24
2016-10,25,20,11,22,7,16,0.44,31
2016-11,39,41,23,37,10,21,0.64,21
2016-12,29,9,12,22,14,18,0.53,23
2017-01,28,4,14,23,11,19,0.51,16
2017-02,28,1,14,24,7,13,0.51,33
2017-03,31,1,13,21,7,15,0.51,47
2017-04,35,14,11,21,5,12,0.39,69
2017-05,34,19,11,20,4,11,0.33,60
2017-06,24,12,9,16,4,11,0.32,47
2017-07,29,29,10,18,4,11,0.42,49
2017-08,22,11,7,11,4,8,0.39,36
2017-09,23,5,10,17,4,10,0.37,29
2017-10,23,13,10,18,4,9,0.41,34
2017-11,23,1,14,21,8,19,0.39,26
2017-12,27,5,15,21,13,16,0.52,17
2018-01,28,2,16,23,13,14,0.49,24
2018-02,34,3,17,27,13,17,0.54,39
2018-03,37,11,13,21,8,15,0.42,61
2018-04,35,3,13,24,6,14,0.41,63
2018-05,29,6,13,21,6,10,0.39,54
2018-06,27,10,9,14,4,10,0.38,51
2018-07,23,8,8,14,4,5,0.4,46
2018-08,23,7,8,11,4,4,0.38,40
2018-09,20,11,5,10,4,7,0.28,31
2018-10,19,2,7,16,3,9,0.35,23
2018-11,25,10,12,21,7,13,0.34,22
2018-12,28,18,15,26,9,14,0.34,12
2019-01,33,15,16,31,9,12,0.29,14
2019-02,33,17,16,30,7,12,0.31,28
2019-03,37,17,12,30,4,8,0.23,54
2019-04,32,17,11,21,2,7,0.31,63
2019-05,29,11,8,13,3,5,0.31,58
2019-06,14,1,7,10,3,5,0.2,20
2019-07,14,13,7,13,3,6,0.36,30
2019-08,18,10,9,15,3,7,0.34,30
2019-09,19,15,9,18,3,11,0.33,31
2019-10,18,15,9,17,3,7,0.33,25
2019-11,23,16,13,22,5,14,0.26,21
2019-12,28,32,17,27,9,14,0.36,13
2020-01,38,72,26,34,11,8,0.33,36
2020-02,27,29,17,21,7,8,0.3,57
2020-03,26,15,14,21,5,7,0.26,59
2020-04,23,15,11,15,4,5,0.28,64
2020-05,22,17,9,11,4,7,0.3,63
2020-06,14,4,8,10,3,8,0.33,33
2020-07,22,47,6,16,3,9,0.35,65
2020-08,11,5,5,8,2,5,0.34,19
2020-09,12,9,5,9,3,4,0.26,29
2020-10,13,8,7,12,3,11,0.26,24
2020-11,21,13,8,21,5,4,0.3,21
2020-12,27,17,13,27,5,12,0.42,20
2021-01,27,16,15,27,7,10,0.29,23
2021-02,27,22,13,24,6,5,0.33,49
2021-03,29,25,14,20,6,12,0.33,54
2021-04,26,34,11,17,5,9,0.29,69
2021-05,24,16,10,10,5,4,0.36,64
2021-06,19,18,9,11,6,8,0.28,57
2021-07,22,42,9,13,5,7,0.4,62
2021-08,11,10,7,9,6,4,0.29,20
2021-09,17,12,9,8,4,5,0.37,25
2021-10,21,14,11,19,4,8,0.24,31
2021-11,18,11,10,14,6,8,0.29,19
2021-12,22,16,14,20,5,9,0.33,23
2022-01,36,48,24,30,9,17,0.46,22
2022-02,31,23,19,28,6,11,0.48,45
2022-03,25,6,13,20,4,7,0.37,49
