年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,133,111,77,144,66,93,1.83,31
2014-01,45,6,23,45,21,14,0.98,14
2014-02,29,5,7,8,11,9,0.6,17
2014-03,42,17,21,39,22,18,1.11,15
2014-04,38,18,12,23,19,17,0.68,12
2014-05,46,34,20,42,19,6,0.63,44
2014-06,36,22,18,14,21,15,0.8,45
2014-07,35,10,18,31,19,11,0.84,23
2014-08,20,4,10,17,19,13,0.75,17
2014-09,28,15,10,21,8,10,0.29,35
2014-10,53,16,23,46,11,12,0.39,7
2014-11,46,35,31,43,18,20,0.65,19
2014-12,46,13,30,47,18,31,0.73,5
2015-01,35,39,21,22,10,25,0.38,18
2015-02,32,14,14,23,7,5,0.41,22
2015-03,41,62,15,39,12,16,0.56,32
2015-04,52,86,25,36,18,16,0.77,39
2015-05,51,99,20,31,15,19,0.68,31
2015-06,38,86,9,16,4,17,0.51,33
2015-07,21,5,5,12,5,4,0.35,23
2015-08,29,40,9,16,7,13,0.63,13
2015-09,36,49,8,24,8,11,0.37,38
2015-10,41,83,15,33,10,24,0.39,39
2015-11,39,83,14,36,8,19,0.53,4
2015-12,57,100,29,52,13,31,0.62,4
2016-01,27,20,13,26,9,12,0.55,3
2016-02,40,27,20,39,6,12,0.4,17
2016-03,43,89,11,34,6,11,0.37,21
2016-04,48,139,13,42,10,20,0.56,32
2016-05,47,92,13,23,4,21,0.5,37
2016-06,33,72,15,25,8,23,0.52,17
2016-07,20,9,8,19,10,11,0.38,22
2016-08,28,25,10,27,14,15,0.52,27
2016-09,26,49,8,17,13,12,0.58,26
2016-10,26,43,4,16,9,9,0.48,23
2016-11,34,34,12,28,8,15,0.46,11
2016-12,37,17,17,35,9,11,0.35,16
2017-01,32,23,13,24,5,5,0.12,5
2017-02,37,28,15,29,5,10,0.45,8
2017-03,42,49,17,36,6,18,0.42,43
2017-04,51,142,23,43,13,19,0.5,26
2017-05,42,28,14,30,14,20,0.48,46
2017-06,35,69,12,22,9,12,0.51,34
2017-07,39,47,14,36,12,9,0.57,36
2017-08,30,38,9,28,13,12,0.45,23
2017-09,28,21,10,18,7,12,0.47,11
2017-10,37,38,9,19,6,11,0.28,36
2017-11,31,22,13,20,9,16,0.29,20
2017-12,38,33,23,35,6,31,0.51,10
2018-01,29,27,12,4,3,13,0.17,8
2018-02,39,14,18,23,7,15,0.36,32
2018-03,42,46,16,30,6,15,0.28,21
2018-04,46,63,19,30,9,28,0.38,34
2018-05,39,35,11,29,8,13,0.46,48
2018-06,36,76,11,16,13,16,0.47,41
2018-07,21,5,5,18,7,9,0.4,24
2018-08,25,18,7,15,9,12,0.48,28
2018-09,18,8,7,15,6,15,0.37,27
2018-10,35,50,18,20,8,16,0.46,37
2018-11,29,44,15,19,8,19,0.34,26
2018-12,30,31,12,11,8,16,0.48,4
2019-01,26,19,14,10,6,9,0.44,13
2019-02,34,71,12,8,5,4,0.35,21
2019-03,44,72,10,31,7,13,0.34,23
2019-04,25,6,9,16,2,20,0.34,29
2019-05,26,6,11,22,3,14,0.32,35
2019-06,22,10,8,16,5,9,0.4,39
2019-07,17,18,5,8,6,6,0.4,25
2019-08,26,38,6,11,7,5,0.3,23
2019-09,10,1,4,9,6,8,0.41,23
2019-10,17,5,8,16,8,10,0.39,32
2019-11,26,35,11,22,6,13,0.36,16
2019-12,24,16,9,19,7,18,0.31,12
2020-01,18,12,7,8,7,4,0.34,10
2020-02,16,9,8,10,5,6,0.4,37
2020-03,24,26,4,7,5,10,0.42,26
2020-04,2,4,0,2,0,1,0.02,0
2020-05,29,38,7,15,6,13,0.61,60
2020-06,0,2,7,11,5,13,0.53,0
2020-07,18,36,6,10,4,15,0.5,33
2020-08,23,80,6,16,6,10,0.45,36
2020-09,28,81,10,21,6,13,0.46,40
2020-10,24,23,9,19,5,11,0.33,25
2020-11,17,14,8,9,4,23,0.38,32
2020-12,25,21,13,19,5,17,0.44,4
2021-01,32,23,12,31,5,16,0.51,12
2021-02,9,3,12,25,4,8,0.41,9
2021-03,27,10,14,25,4,15,0.28,27
2021-04,23,11,8,22,4,13,0.38,32
2021-05,0,2,8,15,4,12,0.0,31
2021-06,20,24,8,13,4,10,0.33,30
2021-07,0,4,0,0,0,0,0.0,0
2021-08,18,31,4,6,5,9,0.16,22
2021-09,10,12,2,7,6,3,0.54,31
2021-10,21,51,6,17,4,8,0.37,20
2021-11,25,29,7,15,4,17,0.51,21
2021-12,5,15,3,6,0,6,0.06,0
