年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,68,32,47,71,29,33,1.54,103
2013-11,114,60,93,226,72,49,1.71,94
2013-12,238,76,166,246,94,103,2.27,65
2014-01,221,141,171,221,109,66,1.81,72
2014-02,144,119,110,147,52,57,1.37,147
2014-03,198,181,155,216,45,64,3.43,174
2014-04,132,163,96,137,41,51,0.95,173
2014-05,131,148,88,185,38,58,0.92,180
2014-06,124,160,93,139,26,43,0.82,147
2014-07,128,158,91,133,30,43,0.88,148
2014-08,110,170,78,117,35,34,1.28,153
2014-09,92,138,43,66,23,33,0.84,156
2014-10,112,126,69,120,43,41,0.73,148
2014-11,179,154,138,200,51,53,1.72,106
2014-12,198,184,153,214,84,55,1.45,65
2015-01,245,318,196,313,82,92,1.85,80
2015-02,270,345,95,400,61,46,1.21,113
2015-03,156,349,105,249,40,60,1.61,125
2015-04,140,347,65,125,24,41,0.77,204
2015-05,94,282,52,128,21,38,0.89,138
2015-06,100,305,74,118,18,25,0.82,142
2015-07,83,288,61,89,22,36,0.74,113
2015-08,114,336,74,123,20,28,1.37,165
2015-09,79,307,47,73,29,33,0.73,120
2015-10,121,302,91,134,35,42,0.93,161
2015-11,148,329,114,132,40,39,1.27,102
2015-12,281,326,230,289,90,81,2.1,62
2016-01,228,301,177,233,61,89,1.77,62
2016-02,121,273,89,149,47,64,1.13,75
2016-03,167,284,102,282,40,59,1.38,123
2016-04,356,363,118,464,33,48,1.29,170
2016-05,111,355,79,125,31,58,0.94,165
2016-06,107,339,53,78,17,30,0.61,170
2016-07,78,281,56,72,16,26,0.69,115
2016-08,61,276,32,52,12,25,0.83,115
2016-09,96,315,59,78,33,25,0.83,139
2016-10,83,286,60,103,17,31,0.79,101
2016-11,123,289,89,181,39,40,1.06,86
2016-12,165,234,125,156,29,43,1.21,78
2017-01,196,274,148,189,28,54,2.44,87
2017-02,162,303,120,150,33,32,1.23,112
2017-03,120,332,91,137,31,58,1.27,122
2017-04,192,365,81,275,27,41,0.97,136
2017-05,245,362,65,346,20,39,0.78,172
2017-06,142,345,73,136,23,29,0.98,206
2017-07,99,314,47,65,12,18,0.92,146
2017-08,110,356,34,51,26,22,0.86,169
2017-09,140,363,52,117,14,20,1.04,191
2017-10,90,274,66,90,12,28,1.01,116
2017-11,103,314,64,131,13,40,0.97,126
2017-12,119,273,88,130,17,46,1.18,75
2018-01,159,265,119,168,20,73,1.92,73
2018-02,144,357,108,143,13,26,1.12,102
2018-03,116,300,87,120,17,42,1.08,170
2018-04,136,348,61,133,15,52,0.83,200
2018-05,113,341,48,132,12,47,0.67,167
2018-06,124,349,49,81,13,31,0.57,184
2018-07,76,322,43,53,12,26,0.63,120
2018-08,94,341,39,59,9,21,0.73,153
2018-09,86,347,30,56,9,21,0.73,140
2018-10,77,310,39,75,8,33,0.75,126
2018-11,267,321,90,347,11,43,0.92,111
2018-12,100,215,73,142,13,61,1.16,69
2019-01,209,303,165,203,23,62,1.92,71
2019-02,230,353,179,237,22,51,1.56,96
2019-03,199,345,153,207,25,54,1.21,136
2019-04,163,348,53,234,5,32,0.74,142
2019-05,127,359,50,190,9,38,0.73,183
2019-06,115,350,40,73,5,32,0.58,171
2019-07,94,360,70,81,4,17,0.81,146
2019-08,77,348,42,59,8,14,0.93,175
2019-09,81,287,45,92,6,26,0.8,164
2019-10,143,341,84,237,11,33,0.95,167
2019-11,80,230,59,101,8,41,0.84,96
2019-12,183,323,139,196,9,40,1.3,75
2020-01,196,316,154,184,15,62,1.73,89
2020-02,145,340,109,130,8,22,1.28,108
2020-03,84,302,53,113,12,29,0.85,147
2020-04,93,335,69,100,9,33,0.93,163
2020-05,71,276,38,91,7,26,0.83,168
2020-06,91,354,56,116,13,25,1.22,175
2020-07,74,357,53,72,8,29,0.78,150
2020-08,54,320,32,47,4,18,0.68,124
2020-09,53,225,28,53,7,24,0.85,152
2020-10,74,270,51,92,8,38,0.73,148
2020-11,101,320,64,140,9,32,0.81,90
2020-12,153,308,117,148,13,49,1.25,67
2021-01,117,283,82,184,11,46,1.58,77
2021-02,116,330,88,134,10,41,1.03,94
2021-03,213,350,120,366,8,46,1.05,136
2021-04,112,327,43,174,19,35,0.61,146
2021-05,207,347,87,327,6,20,0.56,161
2021-06,68,330,30,59,7,21,0.66,158
2021-07,41,260,21,36,4,18,0.58,119
2021-08,52,291,35,52,5,18,0.96,142
2021-09,45,228,25,43,5,22,0.6,133
2021-10,94,304,70,110,8,39,0.74,139
2021-11,119,325,90,139,10,48,0.9,125
2021-12,113,316,80,124,11,49,1.02,80
2022-01,115,237,86,109,7,33,1.0,75
2022-02,121,312,91,113,7,35,0.82,102
2022-03,145,313,70,214,9,38,0.9,138
