年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,160.0,305.0,117.0,191.0,33.0,42.0,2.05,34.0
2015-02,162.5,316.0,123.0,179.0,20.0,25.5,1.815,40.5
2015-03,93.0,261.0,67.0,113.0,11.0,23.0,1.55,53.0
2015-04,86.0,243.0,59.5,97.0,11.5,20.5,1.48,70.0
2015-05,89.0,284.0,63.0,99.0,6.0,18.0,1.44,82.0
2015-06,72.5,246.5,48.0,72.0,5.0,6.0,1.0950000000000002,72.0
2015-07,55.0,163.0,37.0,56.0,6.0,5.0,1.15,61.0
2015-08,65.0,232.0,41.0,61.0,5.0,6.0,1.49,65.0
2015-09,80.0,309.5,48.0,75.5,4.5,14.0,1.32,88.5
2015-10,110.0,300.0,80.0,130.0,10.0,26.0,1.47,79.0
2015-11,81.5,243.0,58.5,85.5,8.0,19.0,1.835,29.0
2015-12,104.0,225.0,69.0,114.0,13.0,36.0,1.88,24.0
2016-01,94.0,224.0,70.0,100.0,16.0,36.0,2.09,24.0
2016-02,83.0,212.0,57.0,99.0,17.0,33.0,1.94,48.0
2016-03,73.0,170.0,48.0,92.0,15.0,31.0,2.28,61.0
2016-04,60.5,161.0,31.5,59.5,7.0,18.0,1.27,77.5
2016-05,65.0,176.0,31.0,67.0,9.0,14.0,1.26,83.0
2016-06,46.5,143.5,19.5,39.5,6.0,12.5,1.225,71.5
2016-07,48.0,136.0,16.0,33.0,5.0,13.0,1.03,77.0
2016-08,59.0,226.0,27.0,46.0,3.0,7.0,1.18,84.0
2016-09,81.0,281.5,48.0,79.5,8.0,14.0,1.29,99.5
2016-10,50.0,115.0,28.0,50.0,4.0,20.0,1.18,38.0
2016-11,66.0,167.5,46.0,73.5,7.5,23.5,1.435,40.5
2016-12,108.0,217.0,79.0,131.0,12.0,43.0,1.9,29.0
2017-01,102.0,222.0,76.0,112.0,12.0,34.0,1.99,39.0
2017-02,78.0,198.5,55.5,87.5,11.5,35.0,2.65,42.0
2017-03,83.0,243.0,51.0,98.0,9.0,34.0,1.96,56.0
2017-04,77.5,240.0,45.5,81.0,7.0,23.0,1.42,83.5
2017-05,86.0,279.0,48.0,88.0,7.0,22.0,1.3,105.0
2017-06,70.5,247.5,34.0,67.0,7.0,14.0,1.005,104.5
2017-07,50.0,165.0,21.0,40.0,8.0,11.0,0.87,80.0
