年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,294,518,243,317,64,85,3.15,63
2015-02,240,363,191,270,54,74,2.79,70
2015-03,204,350,154,228,28,45,2.11,84
2015-04,122,317,90,167,35,60,2.01,120
2015-05,204,366,157,211,19,35,2.06,136
2015-06,135,344,102,146,19,32,1.77,104
2015-07,96,318,70,99,25,16,1.55,103
2015-08,107,343,76,108,23,20,2.14,103
2015-09,125,356,85,138,14,41,2.81,126
2015-10,181,366,140,190,30,57,2.29,123
2015-11,127,317,96,167,29,52,2.8,69
2015-12,277,363,227,307,44,64,3.69,51
2016-01,199,339,157,220,42,82,4.39,52
2016-02,292,352,268,337,123,65,2.81,69
2016-03,123,259,93,169,30,70,3.06,97
2016-04,87,259,52,102,22,40,4.0,128
2016-05,105,303,64,157,29,39,2.02,116
2016-06,81,298,45,80,22,26,1.76,127
2016-07,65,278,27,49,19,93,1.46,105
2016-08,92,360,59,87,27,14,1.55,130
2016-09,124,353,92,144,18,56,1.72,135
2016-10,94,319,70,120,8,40,1.88,91
2016-11,201,356,152,233,22,61,2.39,68
2016-12,183,327,137,209,26,74,2.9,54
2017-01,200,323,152,212,25,81,3.36,57
2017-02,151,331,115,184,23,67,6.4,70
2017-03,183,360,139,216,23,83,3.71,105
2017-04,101,358,75,120,35,65,2.64,128
2017-05,319,339,86,431,14,53,2.07,153
2017-06,104,328,59,108,13,37,1.4,143
2017-07,94,348,69,109,12,21,1.6,114
2017-08,72,318,36,64,15,24,1.23,96
2017-09,84,296,61,98,15,33,1.44,122
2017-10,109,337,81,130,17,33,1.71,75
2017-11,203,360,157,225,23,59,1.89,73
2017-12,226,365,179,223,23,96,2.09,57
2018-01,187,320,141,224,20,70,2.93,79
2018-02,165,360,120,231,19,63,1.66,81
2018-03,105,304,78,129,19,54,1.68,110
2018-04,210,351,89,297,23,43,1.83,109
2018-05,114,341,62,169,16,44,1.3,131
2018-06,136,365,52,78,11,27,1.4,201
2018-07,89,359,33,64,14,24,1.42,114
2018-08,107,357,52,67,9,12,0.96,157
2018-09,82,355,46,85,10,33,1.11,115
2018-10,110,342,64,112,16,47,1.43,140
2018-11,220,336,170,279,13,60,2.1,99
2018-12,175,335,133,233,16,89,1.94,45
2019-01,207,352,160,210,16,58,1.74,52
2019-02,201,341,158,205,11,36,1.96,78
2019-03,102,339,75,130,12,50,1.52,87
2019-04,80,277,58,95,9,38,1.38,97
2019-05,121,347,76,187,16,45,1.25,119
2019-06,110,353,45,86,9,26,0.76,151
2019-07,80,341,32,70,6,17,0.67,126
2019-08,63,277,45,65,8,11,0.9,137
2019-09,86,359,52,105,10,40,1.34,161
2019-10,102,342,53,154,12,60,1.64,125
2019-11,109,340,82,144,13,86,1.79,107
2019-12,164,342,124,197,16,76,2.13,42
2020-01,136,286,103,132,11,48,1.62,84
2020-02,143,352,108,121,13,22,1.59,78
2020-03,80,315,58,104,13,23,1.72,104
2020-04,73,282,50,96,14,34,1.19,117
2020-05,74,346,48,92,34,33,1.29,127
2020-06,67,350,39,55,8,18,1.24,130
2020-07,58,314,41,57,7,18,1.33,95
2020-08,58,342,41,59,7,20,1.1,112
2020-09,75,343,50,86,11,30,1.38,129
2020-10,92,344,60,134,9,39,1.3,114
2020-11,101,327,75,125,15,59,1.48,75
2020-12,167,344,126,196,14,77,1.5,57
2021-01,164,343,125,226,16,58,1.66,53
2021-02,172,345,130,157,11,36,1.31,88
2021-03,128,321,59,207,11,37,1.4,74
2021-04,124,341,54,198,10,33,1.09,98
2021-05,92,334,44,135,9,28,1.24,126
2021-06,70,327,45,68,10,18,1.27,143
2021-07,52,352,29,58,7,23,1.08,113
2021-08,54,309,27,45,7,21,1.28,119
2021-09,77,359,33,58,12,28,1.35,164
2021-10,100,328,75,112,9,44,1.43,119
2021-11,118,335,89,137,19,59,1.44,92
2021-12,121,351,91,147,15,72,2.13,62
2022-01,248,335,198,194,20,83,1.75,55
2022-02,159,327,121,193,15,77,1.53,69
2022-03,236,327,80,332,11,58,1.47,85
