年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,62.0,83.0,40.0,70.0,10.0,13.0,1.12,46.0
2015-02,57.0,73.5,37.5,56.5,8.0,12.5,1.05,49.5
2015-03,52.0,59.0,31.0,47.0,6.0,13.0,0.91,49.0
2015-04,57.5,77.5,33.0,54.5,5.0,19.0,0.86,56.0
2015-05,54.0,97.0,29.0,48.0,4.0,19.0,0.98,66.0
2015-06,41.5,85.0,21.0,33.5,4.0,15.0,0.875,53.0
2015-07,34.0,45.0,13.0,30.0,3.0,13.0,0.75,48.0
2015-08,34.0,54.0,19.0,32.0,3.0,12.0,0.65,42.0
2015-09,37.0,67.5,20.5,33.5,3.0,15.0,0.685,39.5
2015-10,44.0,51.0,26.0,42.0,4.0,20.0,0.79,44.0
2015-11,34.0,42.0,18.5,32.0,3.0,23.5,0.925,30.5
2015-12,41.0,45.0,24.0,40.0,5.0,31.0,1.0,27.0
2016-01,52.0,90.0,33.0,50.0,6.0,32.0,1.12,30.0
2016-02,47.0,63.0,31.0,43.0,5.0,14.0,0.82,50.0
2016-03,55.0,62.0,35.0,52.0,7.0,27.0,0.82,47.0
2016-04,48.5,73.0,27.5,41.5,4.0,29.0,0.965,45.0
2016-05,51.0,67.0,26.0,40.0,3.0,16.0,0.95,63.0
2016-06,41.0,87.0,21.0,34.0,2.0,19.0,0.97,52.5
2016-07,36.0,83.0,17.0,35.0,3.0,16.0,0.73,41.0
2016-08,35.0,38.0,16.0,29.0,4.0,14.0,0.65,44.0
2016-09,38.0,58.5,20.0,32.0,5.0,14.5,0.585,49.5
2016-10,34.0,38.0,16.0,32.0,5.0,21.0,0.74,27.0
2016-11,43.5,51.5,24.0,42.5,5.0,26.0,0.885,31.0
2016-12,56.0,56.0,35.0,60.0,8.0,29.0,0.9,36.0
2017-01,56.0,82.0,36.0,57.0,7.0,23.0,0.84,44.0
2017-02,50.5,69.5,30.0,47.5,6.0,20.0,0.71,66.0
2017-03,49.0,58.0,25.0,38.0,4.0,27.0,0.76,69.0
2017-04,56.0,109.0,28.5,51.5,5.0,23.0,0.78,73.5
2017-05,46.0,48.0,21.0,37.0,4.0,16.0,0.75,73.0
2017-06,41.5,95.0,15.5,31.5,2.0,17.0,0.755,65.0
2017-07,39.0,114.0,16.0,36.0,5.0,14.0,0.73,60.0
2017-08,41.0,113.0,19.0,37.0,4.0,14.0,0.66,56.0
