年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,72,32,48,82,26,50,1.1,66
2013-11,170,100,127,211,72,82,1.52,90
2013-12,453,117,440,545,105,118,2.77,55
2014-01,246,154,196,255,76,117,1.9,83
2014-02,120,158,90,112,40,70,1.86,103
2014-03,134,160,101,147,42,78,1.4,94
2014-04,135,162,101,155,39,66,1.38,104
2014-05,135,169,99,163,39,56,1.46,139
2014-06,105,146,68,103,29,49,1.23,129
2014-07,85,126,58,92,29,42,1.18,115
2014-08,94,143,69,92,32,49,1.33,86
2014-09,104,175,68,92,33,57,1.12,119
2014-10,134,154,99,161,57,89,1.17,121
2014-11,176,183,133,180,46,72,1.47,73
2014-12,146,422,110,175,56,91,1.49,43
2015-01,244,368,193,280,60,118,2.04,75
2015-02,172,331,130,188,33,81,1.34,91
2015-03,101,242,70,111,26,73,1.25,116
2015-04,101,329,75,109,21,67,1.2,118
2015-05,100,316,58,97,22,53,1.0,127
2015-06,102,305,52,74,18,46,1.08,139
2015-07,71,309,48,67,16,38,0.87,110
2015-08,99,323,73,101,20,42,1.14,117
2015-09,118,361,64,86,20,66,1.13,164
2015-10,119,329,81,131,30,77,1.17,114
2015-11,139,317,105,153,27,91,1.65,65
2015-12,235,353,185,246,48,94,1.96,66
2016-01,191,342,146,195,34,93,1.43,68
2016-02,125,303,94,131,23,63,1.11,98
2016-03,114,286,85,139,26,88,1.05,115
2016-04,128,335,74,127,22,73,1.1,161
2016-05,106,350,79,112,18,57,1.2,138
2016-06,94,336,59,77,13,60,1.02,109
2016-07,97,328,49,73,12,53,0.9,128
2016-08,88,357,38,63,16,33,0.85,145
2016-09,95,313,58,79,17,53,0.99,121
2016-10,99,337,72,129,19,59,1.07,97
2016-11,129,301,97,149,25,76,1.26,76
2016-12,150,307,113,167,29,88,1.39,59
2017-01,111,252,83,112,21,68,1.26,71
2017-02,142,342,107,147,18,76,1.26,87
2017-03,125,319,92,151,17,71,0.94,126
2017-04,111,341,80,118,14,59,1.09,147
2017-05,95,313,54,123,13,61,0.82,126
2017-06,105,329,59,90,11,57,1.08,138
2017-07,109,344,52,83,10,40,0.98,145
2017-08,87,317,49,69,8,36,0.97,117
2017-09,91,333,52,81,12,43,0.98,137
2017-10,84,317,60,89,12,55,1.08,116
2017-11,145,300,109,150,18,82,1.5,85
2017-12,275,352,224,287,24,80,1.79,53
2018-01,191,341,147,181,20,87,1.55,69
2018-02,189,352,146,171,23,72,1.53,97
2018-03,87,234,64,83,14,58,0.99,100
2018-04,129,342,72,124,20,75,1.01,161
2018-05,115,360,65,117,13,42,1.16,152
2018-06,102,324,51,76,11,45,1.06,146
2018-07,82,337,43,63,8,33,0.78,106
2018-08,67,257,37,56,8,26,0.79,122
2018-09,91,354,39,67,12,40,0.88,130
2018-10,86,342,58,101,14,61,1.0,115
2018-11,86,255,63,95,13,70,1.11,75
2018-12,143,330,109,152,16,85,1.49,49
2019-01,142,314,104,139,13,79,1.59,58
2019-02,154,304,116,143,13,70,1.52,79
2019-03,98,323,72,99,13,65,1.1,106
2019-04,81,259,42,80,12,58,0.98,118
2019-05,113,335,46,83,12,47,0.81,148
2019-06,85,320,31,45,9,43,0.81,128
2019-07,48,248,30,46,7,37,0.69,94
2019-08,62,303,31,52,11,35,0.74,104
2019-09,86,332,52,81,18,61,1.0,134
2019-10,130,317,56,209,14,65,0.89,94
2019-11,89,293,66,123,16,77,1.25,83
2019-12,123,343,93,128,16,75,1.15,63
2020-01,125,286,95,120,11,71,1.35,98
2020-02,80,269,55,108,8,34,0.83,105
2020-03,61,169,40,71,12,56,0.75,105
2020-04,73,279,52,92,13,54,0.82,128
2020-05,70,287,46,78,13,47,0.95,134
2020-06,42,235,24,41,9,37,0.71,100
2020-07,42,271,27,40,8,46,0.78,102
2020-08,44,225,24,39,9,29,0.78,113
2020-09,79,327,36,61,11,53,0.79,149
2020-10,61,184,34,76,12,52,0.85,107
2020-11,77,228,54,99,19,67,1.03,89
2020-12,123,315,93,133,14,81,1.39,51
2021-01,80,259,57,110,16,71,1.25,67
2021-02,76,228,47,102,11,58,1.12,82
2021-03,100,231,34,128,13,65,0.81,99
2021-04,77,255,38,101,14,52,0.9,110
2021-05,64,326,38,71,10,38,0.8,118
2021-06,54,297,27,41,11,41,0.93,127
2021-07,45,268,23,34,8,28,0.64,96
2021-08,37,209,20,35,9,33,0.65,93
2021-09,69,349,32,53,13,44,0.89,123
2021-10,59,234,37,68,13,53,0.82,111
2021-11,79,301,53,103,18,78,0.88,74
2021-12,86,222,62,110,19,79,1.11,61
2022-01,109,264,82,126,19,67,1.3,81
2022-02,105,306,79,121,10,46,0.95,126
2022-03,75,217,55,81,13,43,0.85,111
