年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,183,299,138,163,32,68,5.11,77
2015-02,150,298,113,163,22,49,3.56,80
2015-03,120,255,89,115,23,47,3.27,93
2015-04,100,298,74,122,39,41,3.39,50
2015-05,216,361,167,198,61,103,1.22,96
2015-06,92,293,67,87,35,62,0.95,115
2015-07,82,303,59,82,23,47,0.9,106
2015-08,80,283,58,80,18,46,0.8,51
2015-09,79,289,57,73,35,35,0.93,54
2015-10,138,346,104,142,32,63,1.04,73
2015-11,125,337,94,127,35,74,1.48,107
2015-12,270,356,219,292,41,88,1.75,90
2016-01,327,365,276,326,51,86,1.63,42
2016-02,215,359,178,225,52,62,1.3,26
2016-03,227,359,181,230,38,99,1.59,28
2016-04,100,290,74,104,32,74,0.94,47
2016-05,124,343,93,116,51,53,0.87,82
2016-06,92,301,67,93,64,48,0.93,102
2016-07,66,252,36,48,24,35,0.83,101
2016-08,83,341,49,79,37,34,0.91,133
2016-09,125,343,92,113,31,42,0.96,125
2016-10,110,336,82,109,25,41,1.05,78
2016-11,160,333,121,164,32,61,1.28,104
2016-12,221,361,171,218,37,90,1.71,73
2017-01,280,340,229,259,50,85,1.91,90
2017-02,176,353,136,165,45,63,1.16,116
2017-03,143,352,108,131,22,69,1.11,101
2017-04,111,312,83,128,25,61,1.54,112
2017-05,164,343,121,263,18,56,0.96,110
2017-06,103,335,71,109,22,44,0.85,128
2017-07,83,305,55,84,20,38,0.84,114
2017-08,84,337,60,80,20,29,0.79,110
2017-09,95,318,70,92,22,55,0.99,121
2017-10,125,355,94,131,20,63,1.01,108
2017-11,183,360,138,193,22,79,1.07,88
2017-12,239,361,192,226,27,112,1.76,74
2018-01,264,359,213,252,18,100,1.7,126
2018-02,199,360,151,205,25,80,1.3,97
2018-03,107,334,80,121,17,83,1.01,106
2018-04,103,326,73,141,16,52,1.1,135
2018-05,106,339,71,155,13,46,1.14,162
2018-06,129,361,51,77,13,38,0.97,196
2018-07,88,333,46,69,12,27,0.84,130
2018-08,121,364,45,79,13,22,0.87,187
2018-09,75,320,43,66,16,33,0.9,118
2018-10,120,354,86,89,12,43,1.03,139
2018-11,140,344,107,141,11,49,1.43,92
2018-12,164,345,124,164,13,56,1.36,64
2019-01,232,363,182,162,10,65,1.32,68
2019-02,236,348,189,250,14,47,1.26,76
2019-03,112,311,84,100,11,48,1.02,91
2019-04,82,316,60,77,10,60,0.97,93
2019-05,90,300,52,100,10,42,0.84,108
2019-06,67,293,35,55,12,48,0.82,159
2019-07,64,329,35,74,11,37,0.83,107
2019-08,73,338,44,73,11,26,0.85,154
2019-09,89,363,57,85,13,32,0.89,164
2019-10,122,346,72,195,18,62,0.9,124
2019-11,117,335,88,130,15,70,0.99,136
2019-12,160,349,121,127,16,67,1.12,66
2020-01,149,320,113,100,13,51,1.3,86
2020-02,118,328,89,94,20,37,0.91,99
2020-03,94,350,61,132,10,53,0.93,94
2020-04,76,299,53,96,12,49,0.86,122
2020-05,72,321,45,76,11,47,0.91,127
2020-06,48,229,26,44,11,28,0.8,101
2020-07,46,253,30,45,8,27,0.83,93
2020-08,54,324,35,58,7,31,0.75,115
2020-09,68,302,45,69,11,41,0.88,139
2020-10,81,306,55,112,11,36,0.86,125
2020-11,95,329,59,130,12,43,0.87,91
2020-12,190,362,148,153,17,81,1.38,70
2021-01,158,343,120,181,13,72,1.55,56
2021-02,136,357,103,119,13,35,1.11,91
2021-03,122,338,60,154,19,46,0.88,88
2021-04,128,346,49,200,8,53,0.79,97
2021-05,71,286,47,90,8,42,0.89,110
2021-06,60,357,33,61,9,42,0.88,137
2021-07,44,290,25,43,10,20,0.7,83
2021-08,57,332,32,63,6,22,0.83,129
2021-09,60,357,34,66,8,31,0.97,129
2021-10,72,332,51,74,8,40,0.86,110
2021-11,106,325,79,109,12,61,0.91,94
2021-12,206,364,157,156,14,60,1.08,79
2022-01,221,330,171,169,14,60,1.3,75
2022-02,152,316,114,150,11,52,0.95,81
2022-03,118,305,54,158,10,60,0.98,90
