年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,32,25,16,22,8,13,0.88,42
2015-02,28,10,11,21,8,8,0.79,33
2015-03,25,7,15,23,7,9,0.97,29
2015-04,39,14,25,33,6,5,0.42,20
2015-05,32,19,17,27,10,14,0.36,32
2015-06,29,25,14,28,10,15,0.3,26
2015-07,26,12,14,23,10,12,0.15,16
2015-08,26,13,14,24,10,12,0.16,14
2015-09,22,3,11,21,11,14,0.39,31
2015-10,27,12,12,22,13,12,0.3,41
2015-11,20,12,8,19,12,18,0.34,27
2015-12,56,137,35,57,13,22,0.38,18
2016-01,42,74,28,34,11,19,0.23,16
2016-02,46,148,32,36,11,14,0.33,15
2016-03,35,27,21,30,15,21,0.15,15
2016-04,24,1,11,21,10,18,0.44,14
2016-05,30,22,17,26,9,15,0.26,31
2016-06,28,33,12,21,13,16,0.3,36
2016-07,28,48,9,21,9,17,0.35,53
2016-08,30,54,14,21,12,12,0.36,55
2016-09,27,20,12,20,12,13,0.22,37
2016-10,29,33,12,23,11,13,0.44,31
2016-11,25,23,9,17,9,17,0.51,27
2016-12,30,26,20,22,7,26,0.49,23
2017-01,35,41,20,24,9,13,0.48,24
2017-02,53,127,33,34,9,13,0.41,35
2017-03,46,66,31,32,7,14,0.36,44
2017-04,44,87,23,23,7,12,0.24,52
2017-05,40,66,17,29,9,10,0.39,61
2017-06,30,52,12,27,9,11,0.44,40
2017-07,26,47,9,23,10,10,0.29,38
2017-08,25,5,12,22,9,15,0.36,41
2017-09,29,29,15,22,9,11,0.47,30
2017-10,21,14,9,12,6,11,0.29,32
2017-11,42,90,27,37,7,14,0.29,33
2017-12,26,21,17,19,7,27,0.5,27
2018-01,30,71,10,12,7,17,0.38,29
2018-02,37,23,23,16,10,13,0.29,30
2018-03,36,36,23,20,5,13,0.43,44
2018-04,34,36,14,11,5,12,0.48,53
2018-05,36,35,13,13,5,10,0.34,42
2018-06,33,49,12,23,5,10,0.46,54
2018-07,32,42,9,15,4,11,0.38,52
2018-08,23,9,5,12,5,9,0.37,43
2018-09,29,63,10,17,5,9,0.53,50
2018-10,45,121,25,35,5,13,0.52,40
2018-11,21,22,7,12,5,12,0.53,36
2018-12,23,27,8,14,5,13,0.47,31
2019-01,31,51,21,26,6,16,0.66,28
2019-02,32,57,18,23,6,9,0.51,36
2019-03,39,20,16,34,6,14,0.49,40
2019-04,35,31,13,22,5,10,0.51,38
2019-05,40,54,10,17,5,11,0.4,56
2019-06,24,59,11,19,5,10,0.49,41
2019-07,31,116,13,22,5,11,0.43,58
2019-08,24,49,8,19,6,7,0.4,39
2019-09,25,90,12,17,5,9,0.33,70
2019-10,30,89,17,28,5,13,0.45,35
2019-11,25,41,15,18,5,17,0.47,23
2019-12,34,35,19,25,4,25,0.4,23
2020-01,23,16,9,11,4,9,0.33,14
2020-02,23,31,9,10,3,8,0.31,25
2020-03,20,41,8,12,4,11,0.39,28
2020-04,26,22,9,18,4,12,0.32,47
2020-05,24,19,11,18,5,9,0.43,54
2020-06,19,38,6,11,5,12,0.28,35
2020-07,18,33,6,9,6,9,0.35,37
2020-08,18,33,7,13,5,10,0.3,43
2020-09,25,69,10,14,4,8,0.41,53
2020-10,20,57,8,10,4,9,0.37,49
2020-11,23,44,12,16,4,15,0.45,8
2020-12,43,129,12,28,7,12,0.43,9
2021-01,43,61,18,31,7,20,0.44,11
2021-02,22,27,9,8,7,10,0.42,22
2021-03,19,19,12,12,4,15,0.32,18
2021-04,20,25,12,17,4,7,0.37,41
2021-05,21,18,8,10,4,9,0.32,48
2021-06,25,88,11,20,4,7,0.44,40
2021-07,12,8,5,10,4,6,0.24,27
2021-08,18,38,4,8,4,5,0.36,44
2021-09,25,39,10,20,4,7,0.4,60
2021-10,19,36,7,14,4,8,0.52,19
2021-11,19,34,8,15,4,12,0.35,32
2021-12,32,88,20,26,4,10,0.37,23
2022-01,17,10,5,10,3,11,0.55,18
2022-02,23,53,11,17,4,7,0.48,31
2022-03,16,2,6,9,4,11,0.52,31
